#: table_doi: 10.17182/hepdata.86565.v1/t25
#: name: Table 24
#: description: Candidate reconstruction efficiency for ID+Calo selection (IDCaloEff).
#: data_file: data24.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO | P P --> SQUARK+ SQUARK- | P P --> STAU+ STAU- | P P --> CHI+ CHI-
#: keyword observables: EFF
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY | LLP
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],,,,,13000.0
ABS(ETA),ABS(ETA) LOW,ABS(ETA) HIGH,TRUE BETA,TRUE BETA LOW,TRUE BETA HIGH,EFF,error +,error -
0.525,0.35,0.7,0.775,0.75,0.8,0.046,0.017,-0.017
0.9,0.7,1.1,0.775,0.75,0.8,0.069,0.025,-0.025
1.175,1.1,1.25,0.775,0.75,0.8,0.022,0.014,-0.014
1.45,1.25,1.65,0.775,0.75,0.8,0.037,0.010,-0.010
1.825,1.65,2.0,0.775,0.75,0.8,0.000,0.000,-0.000
0.175,0.0,0.35,0.825,0.8,0.85,0.000,0.000,-0.000
0.525,0.35,0.7,0.825,0.8,0.85,0.016,0.010,-0.010
0.9,0.7,1.1,0.825,0.8,0.85,0.011,0.006,-0.006
1.175,1.1,1.25,0.825,0.8,0.85,0.014,0.010,-0.010
1.45,1.25,1.65,0.825,0.8,0.85,0.007,0.004,-0.004
1.825,1.65,2.0,0.825,0.8,0.85,0.000,0.000,-0.000
0.175,0.0,0.35,0.875,0.85,0.9,0.000,0.000,-0.000
0.525,0.35,0.7,0.875,0.85,0.9,0.000,0.000,-0.000
0.9,0.7,1.1,0.875,0.85,0.9,0.000,0.000,-0.000
1.175,1.1,1.25,0.875,0.85,0.9,0.000,0.000,-0.000
1.45,1.25,1.65,0.875,0.85,0.9,0.000,0.000,-0.000
1.825,1.65,2.0,0.875,0.85,0.9,0.000,0.000,-0.000
0.175,0.0,0.35,0.925,0.9,0.95,0.000,0.000,-0.000
0.525,0.35,0.7,0.925,0.9,0.95,0.000,0.000,-0.000
0.9,0.7,1.1,0.925,0.9,0.95,0.000,0.000,-0.000
1.175,1.1,1.25,0.925,0.9,0.95,0.000,0.000,-0.000
1.45,1.25,1.65,0.925,0.9,0.95,0.000,0.000,-0.000
1.825,1.65,2.0,0.925,0.9,0.95,0.000,0.000,-0.000
0.175,0.0,0.35,0.975,0.95,1.0,0.000,0.000,-0.000
0.525,0.35,0.7,0.975,0.95,1.0,0.000,0.000,-0.000
0.9,0.7,1.1,0.975,0.95,1.0,0.000,0.000,-0.000
1.175,1.1,1.25,0.975,0.95,1.0,0.000,0.000,-0.000
1.45,1.25,1.65,0.975,0.95,1.0,0.000,0.000,-0.000
1.825,1.65,2.0,0.975,0.95,1.0,0.000,0.000,-0.000

