#: table_doi: 10.17182/hepdata.86565.v1/t22
#: name: Table 21
#: description: Flavor composition of 800 GeV anti-stop R-hadrons simulated using the Regge model as a function of radial distance from the interaction point.
#: data_file: data21.yaml
#: data_license:   
#: keyword reactions: P P --> STOP+ STOP-
#: keyword observables: RATIO
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY | LLP
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],,,13000.0
DISTANCE R [M],DISTANCE R [M] LOW,DISTANCE R [M] HIGH,(ANTISTOP D)-,error +,error -
1.475,1.45,1.5,0.524,0.012,-0.012
1.525,1.5,1.55,0.525,0.012,-0.012
1.575,1.55,1.6,0.525,0.012,-0.012
1.625,1.6,1.65,0.525,0.012,-0.012
1.675,1.65,1.7,0.525,0.012,-0.012
1.725,1.7,1.75,0.526,0.012,-0.012
1.775,1.75,1.8,0.525,0.012,-0.012
1.825,1.8,1.85,0.525,0.012,-0.012
1.875,1.85,1.9,0.523,0.012,-0.012
1.925,1.9,1.95,0.524,0.012,-0.012
1.975,1.95,2.0,0.524,0.012,-0.012
2.025,2.0,2.05,0.525,0.012,-0.012
2.075,2.05,2.1,0.524,0.012,-0.012
2.125,2.1,2.15,0.524,0.012,-0.012
2.175,2.15,2.2,0.525,0.012,-0.012
2.225,2.2,2.25,0.526,0.012,-0.012
2.275,2.25,2.3,0.524,0.012,-0.012
2.325,2.3,2.35,0.524,0.012,-0.012
2.375,2.35,2.4,0.524,0.012,-0.012
2.425,2.4,2.45,0.524,0.012,-0.012
2.475,2.45,2.5,0.524,0.012,-0.012
2.525,2.5,2.55,0.523,0.012,-0.012
2.575,2.55,2.6,0.523,0.012,-0.012
2.625,2.6,2.65,0.525,0.012,-0.012
2.675,2.65,2.7,0.522,0.012,-0.012
2.725,2.7,2.75,0.523,0.012,-0.012
2.775,2.75,2.8,0.523,0.012,-0.012
2.825,2.8,2.85,0.525,0.012,-0.012
2.875,2.85,2.9,0.526,0.012,-0.012
2.925,2.9,2.95,0.524,0.012,-0.012
2.975,2.95,3.0,0.523,0.012,-0.012
3.025,3.0,3.05,0.523,0.012,-0.012
3.075,3.05,3.1,0.523,0.012,-0.012
3.125,3.1,3.15,0.521,0.012,-0.012
3.175,3.15,3.2,0.519,0.012,-0.012
3.225,3.2,3.25,0.518,0.012,-0.012
3.275,3.25,3.3,0.517,0.012,-0.012
3.325,3.3,3.35,0.519,0.012,-0.012
3.375,3.35,3.4,0.520,0.012,-0.012
3.425,3.4,3.45,0.519,0.012,-0.012
3.475,3.45,3.5,0.518,0.012,-0.012
3.525,3.5,3.55,0.521,0.012,-0.012
3.575,3.55,3.6,0.524,0.012,-0.012
3.625,3.6,3.65,0.522,0.012,-0.012
3.675,3.65,3.7,0.526,0.012,-0.012
3.725,3.7,3.75,0.526,0.012,-0.012
3.775,3.75,3.8,0.524,0.012,-0.012
3.825,3.8,3.85,0.526,0.012,-0.012
3.875,3.85,3.9,0.523,0.012,-0.012
3.925,3.9,3.95,0.521,0.012,-0.012
3.975,3.95,4.0,0.523,0.012,-0.012

#: SQRT(S) [GEV],,,13000.0
DISTANCE R [M],DISTANCE R [M] LOW,DISTANCE R [M] HIGH,(ANTISTOP U),error +,error -
0.025,0.0,0.05,0.434,0.011,-0.011
0.075,0.05,0.1,0.434,0.011,-0.011
0.125,0.1,0.15,0.434,0.011,-0.011
0.175,0.15,0.2,0.434,0.011,-0.011
0.225,0.2,0.25,0.434,0.011,-0.011
0.275,0.25,0.3,0.434,0.011,-0.011
0.325,0.3,0.35,0.434,0.011,-0.011
0.375,0.35,0.4,0.434,0.011,-0.011
0.425,0.4,0.45,0.434,0.011,-0.011
0.475,0.45,0.5,0.434,0.011,-0.011
0.525,0.5,0.55,0.434,0.011,-0.011
0.575,0.55,0.6,0.434,0.011,-0.011
0.625,0.6,0.65,0.434,0.011,-0.011
0.675,0.65,0.7,0.434,0.011,-0.011
0.725,0.7,0.75,0.434,0.011,-0.011
0.775,0.75,0.8,0.434,0.011,-0.011
0.825,0.8,0.85,0.434,0.011,-0.011
0.875,0.85,0.9,0.434,0.011,-0.011
0.925,0.9,0.95,0.434,0.011,-0.011
0.975,0.95,1.0,0.434,0.011,-0.011
1.025,1.0,1.05,0.434,0.011,-0.011
1.075,1.05,1.1,0.434,0.011,-0.011
1.125,1.1,1.15,0.434,0.011,-0.011
1.175,1.15,1.2,0.434,0.011,-0.011
1.225,1.2,1.25,0.434,0.011,-0.011
1.275,1.25,1.3,0.434,0.011,-0.011
1.325,1.3,1.35,0.434,0.011,-0.011
1.375,1.35,1.4,0.434,0.011,-0.011
1.425,1.4,1.45,0.434,0.011,-0.011
1.475,1.45,1.5,0.435,0.011,-0.011
1.525,1.5,1.55,0.435,0.011,-0.011
1.575,1.55,1.6,0.436,0.011,-0.011
1.625,1.6,1.65,0.437,0.011,-0.011
1.675,1.65,1.7,0.438,0.011,-0.011
1.725,1.7,1.75,0.438,0.011,-0.011
1.775,1.75,1.8,0.439,0.011,-0.011
1.825,1.8,1.85,0.439,0.011,-0.011
1.875,1.85,1.9,0.442,0.011,-0.011
1.925,1.9,1.95,0.442,0.011,-0.011
1.975,1.95,2.0,0.443,0.011,-0.011
2.025,2.0,2.05,0.443,0.011,-0.011
2.075,2.05,2.1,0.443,0.011,-0.011
2.125,2.1,2.15,0.444,0.011,-0.011
2.175,2.15,2.2,0.444,0.011,-0.011
2.225,2.2,2.25,0.442,0.011,-0.011
2.275,2.25,2.3,0.444,0.011,-0.011
2.325,2.3,2.35,0.445,0.011,-0.011
2.375,2.35,2.4,0.445,0.011,-0.011
2.425,2.4,2.45,0.448,0.011,-0.011
2.475,2.45,2.5,0.449,0.011,-0.011
2.525,2.5,2.55,0.451,0.011,-0.011
2.575,2.55,2.6,0.452,0.011,-0.011
2.625,2.6,2.65,0.452,0.011,-0.011
2.675,2.65,2.7,0.456,0.011,-0.011
2.725,2.7,2.75,0.455,0.011,-0.011
2.775,2.75,2.8,0.455,0.011,-0.011
2.825,2.8,2.85,0.454,0.011,-0.011
2.875,2.85,2.9,0.455,0.011,-0.011
2.925,2.9,2.95,0.458,0.011,-0.011
2.975,2.95,3.0,0.460,0.011,-0.011
3.025,3.0,3.05,0.461,0.011,-0.011
3.075,3.05,3.1,0.462,0.011,-0.011
3.125,3.1,3.15,0.466,0.011,-0.011
3.175,3.15,3.2,0.468,0.011,-0.011
3.225,3.2,3.25,0.470,0.011,-0.011
3.275,3.25,3.3,0.471,0.011,-0.011
3.325,3.3,3.35,0.470,0.011,-0.011
3.375,3.35,3.4,0.470,0.011,-0.011
3.425,3.4,3.45,0.471,0.011,-0.011
3.475,3.45,3.5,0.472,0.011,-0.011
3.525,3.5,3.55,0.470,0.011,-0.011
3.575,3.55,3.6,0.467,0.011,-0.011
3.625,3.6,3.65,0.470,0.011,-0.011
3.675,3.65,3.7,0.466,0.011,-0.011
3.725,3.7,3.75,0.467,0.011,-0.011
3.775,3.75,3.8,0.469,0.011,-0.011
3.825,3.8,3.85,0.467,0.011,-0.011
3.875,3.85,3.9,0.470,0.011,-0.011
3.925,3.9,3.95,0.471,0.011,-0.011
3.975,3.95,4.0,0.470,0.011,-0.011

#: SQRT(S) [GEV],,,13000.0
DISTANCE R [M],DISTANCE R [M] LOW,DISTANCE R [M] HIGH,(ANTISTOP UBAR DBAR)-,error +,error -
0.025,0.0,0.05,0.044,0.003,-0.003
0.075,0.05,0.1,0.044,0.003,-0.003
0.125,0.1,0.15,0.044,0.003,-0.003
0.175,0.15,0.2,0.044,0.003,-0.003
0.225,0.2,0.25,0.044,0.003,-0.003
0.275,0.25,0.3,0.044,0.003,-0.003
0.325,0.3,0.35,0.044,0.003,-0.003
0.375,0.35,0.4,0.044,0.003,-0.003
0.425,0.4,0.45,0.044,0.003,-0.003
0.475,0.45,0.5,0.044,0.003,-0.003
0.525,0.5,0.55,0.044,0.003,-0.003
0.575,0.55,0.6,0.044,0.003,-0.003
0.625,0.6,0.65,0.044,0.003,-0.003
0.675,0.65,0.7,0.044,0.003,-0.003
0.725,0.7,0.75,0.044,0.003,-0.003
0.775,0.75,0.8,0.044,0.003,-0.003
0.825,0.8,0.85,0.044,0.003,-0.003
0.875,0.85,0.9,0.044,0.003,-0.003
0.925,0.9,0.95,0.043,0.003,-0.003
0.975,0.95,1.0,0.043,0.003,-0.003
1.025,1.0,1.05,0.043,0.003,-0.003
1.075,1.05,1.1,0.043,0.003,-0.003
1.125,1.1,1.15,0.043,0.003,-0.003
1.175,1.15,1.2,0.043,0.003,-0.003
1.225,1.2,1.25,0.043,0.003,-0.003
1.275,1.25,1.3,0.042,0.003,-0.003
1.325,1.3,1.35,0.042,0.003,-0.003
1.375,1.35,1.4,0.042,0.003,-0.003
1.425,1.4,1.45,0.041,0.003,-0.003
1.475,1.45,1.5,0.040,0.003,-0.003
1.525,1.5,1.55,0.040,0.003,-0.003
1.575,1.55,1.6,0.039,0.003,-0.003
1.625,1.6,1.65,0.038,0.003,-0.003
1.675,1.65,1.7,0.037,0.003,-0.003
1.725,1.7,1.75,0.036,0.003,-0.003
1.775,1.75,1.8,0.036,0.003,-0.003
1.825,1.8,1.85,0.035,0.003,-0.003
1.875,1.85,1.9,0.034,0.003,-0.003
1.925,1.9,1.95,0.034,0.003,-0.003
1.975,1.95,2.0,0.033,0.003,-0.003
2.025,2.0,2.05,0.032,0.003,-0.003
2.075,2.05,2.1,0.032,0.003,-0.003
2.125,2.1,2.15,0.032,0.003,-0.003
2.175,2.15,2.2,0.032,0.003,-0.003
2.225,2.2,2.25,0.032,0.003,-0.003
2.275,2.25,2.3,0.031,0.003,-0.003
2.325,2.3,2.35,0.031,0.003,-0.003
2.375,2.35,2.4,0.030,0.003,-0.003
2.425,2.4,2.45,0.029,0.003,-0.003
2.475,2.45,2.5,0.027,0.003,-0.003
2.525,2.5,2.55,0.026,0.003,-0.003
2.575,2.55,2.6,0.025,0.003,-0.003
2.625,2.6,2.65,0.023,0.002,-0.002
2.675,2.65,2.7,0.023,0.002,-0.002
2.725,2.7,2.75,0.022,0.002,-0.002
2.775,2.75,2.8,0.022,0.002,-0.002
2.825,2.8,2.85,0.021,0.002,-0.002
2.875,2.85,2.9,0.019,0.002,-0.002
2.925,2.9,2.95,0.018,0.002,-0.002
2.975,2.95,3.0,0.017,0.002,-0.002
3.025,3.0,3.05,0.015,0.002,-0.002
3.075,3.05,3.1,0.015,0.002,-0.002
3.125,3.1,3.15,0.013,0.002,-0.002
3.175,3.15,3.2,0.013,0.002,-0.002
3.225,3.2,3.25,0.012,0.002,-0.002
3.275,3.25,3.3,0.012,0.002,-0.002
3.325,3.3,3.35,0.011,0.002,-0.002
3.375,3.35,3.4,0.010,0.002,-0.002
3.425,3.4,3.45,0.010,0.002,-0.002
3.475,3.45,3.5,0.009,0.002,-0.002
3.525,3.5,3.55,0.009,0.002,-0.002
3.575,3.55,3.6,0.008,0.001,-0.001
3.625,3.6,3.65,0.008,0.001,-0.001
3.675,3.65,3.7,0.008,0.001,-0.001
3.725,3.7,3.75,0.008,0.001,-0.001
3.775,3.75,3.8,0.008,0.001,-0.001
3.825,3.8,3.85,0.007,0.001,-0.001
3.875,3.85,3.9,0.007,0.001,-0.001
3.925,3.9,3.95,0.007,0.001,-0.001
3.975,3.95,4.0,0.007,0.001,-0.001

