#: table_doi: 10.17182/hepdata.86565.v1/t20
#: name: Table 19
#: description: Flavor composition of 800 GeV anti-stop R-hadrons simulated using the generic model as a function of radial distance from the interaction point.
#: data_file: data19.yaml
#: data_license:   
#: keyword reactions: P P --> STOP+ STOP-
#: keyword observables: RATIO
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY | LLP
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],,,13000.0
DISTANCE R [M],DISTANCE R [M] LOW,DISTANCE R [M] HIGH,(ANTISTOP D)-,error +,error -
2.275,2.25,2.3,0.464,0.011,-0.011
2.325,2.3,2.35,0.466,0.011,-0.011
2.375,2.35,2.4,0.473,0.011,-0.011
2.425,2.4,2.45,0.474,0.011,-0.011
2.475,2.45,2.5,0.472,0.011,-0.011
2.525,2.5,2.55,0.476,0.011,-0.011
2.575,2.55,2.6,0.480,0.011,-0.011
2.625,2.6,2.65,0.481,0.011,-0.011
2.675,2.65,2.7,0.482,0.011,-0.011
2.725,2.7,2.75,0.483,0.011,-0.011
2.775,2.75,2.8,0.487,0.011,-0.011
2.825,2.8,2.85,0.491,0.011,-0.011
2.875,2.85,2.9,0.491,0.011,-0.011
2.925,2.9,2.95,0.489,0.011,-0.011
2.975,2.95,3.0,0.488,0.011,-0.011
3.025,3.0,3.05,0.488,0.011,-0.011
3.075,3.05,3.1,0.491,0.011,-0.011
3.125,3.1,3.15,0.494,0.011,-0.011
3.175,3.15,3.2,0.500,0.011,-0.011
3.225,3.2,3.25,0.499,0.011,-0.011
3.275,3.25,3.3,0.500,0.011,-0.011
3.325,3.3,3.35,0.501,0.011,-0.011
3.375,3.35,3.4,0.502,0.011,-0.011
3.425,3.4,3.45,0.501,0.011,-0.011
3.475,3.45,3.5,0.508,0.011,-0.011
3.525,3.5,3.55,0.508,0.011,-0.011
3.575,3.55,3.6,0.510,0.011,-0.011
3.625,3.6,3.65,0.511,0.011,-0.011
3.675,3.65,3.7,0.515,0.011,-0.011
3.725,3.7,3.75,0.511,0.011,-0.011
3.775,3.75,3.8,0.513,0.011,-0.011
3.825,3.8,3.85,0.514,0.011,-0.011
3.875,3.85,3.9,0.516,0.012,-0.012
3.925,3.9,3.95,0.517,0.012,-0.012
3.975,3.95,4.0,0.519,0.012,-0.012

#: SQRT(S) [GEV],,,13000.0
DISTANCE R [M],DISTANCE R [M] LOW,DISTANCE R [M] HIGH,(ANTISTOP U),error +,error -
0.025,0.0,0.05,0.426,0.010,-0.010
0.075,0.05,0.1,0.426,0.010,-0.010
0.125,0.1,0.15,0.426,0.010,-0.010
0.175,0.15,0.2,0.426,0.010,-0.010
0.225,0.2,0.25,0.426,0.010,-0.010
0.275,0.25,0.3,0.426,0.010,-0.010
0.325,0.3,0.35,0.426,0.010,-0.010
0.375,0.35,0.4,0.426,0.010,-0.010
0.425,0.4,0.45,0.426,0.010,-0.010
0.475,0.45,0.5,0.426,0.010,-0.010
0.525,0.5,0.55,0.426,0.010,-0.010
0.575,0.55,0.6,0.426,0.010,-0.010
0.625,0.6,0.65,0.426,0.010,-0.010
0.675,0.65,0.7,0.426,0.010,-0.010
0.725,0.7,0.75,0.426,0.010,-0.010
0.775,0.75,0.8,0.426,0.010,-0.010
0.825,0.8,0.85,0.426,0.010,-0.010
0.875,0.85,0.9,0.426,0.010,-0.010
0.925,0.9,0.95,0.426,0.010,-0.010
0.975,0.95,1.0,0.426,0.010,-0.010
1.025,1.0,1.05,0.426,0.010,-0.010
1.075,1.05,1.1,0.427,0.010,-0.010
1.125,1.1,1.15,0.426,0.010,-0.010
1.175,1.15,1.2,0.426,0.010,-0.010
1.225,1.2,1.25,0.427,0.010,-0.010
1.275,1.25,1.3,0.427,0.010,-0.010
1.325,1.3,1.35,0.427,0.010,-0.010
1.375,1.35,1.4,0.427,0.010,-0.010
1.425,1.4,1.45,0.427,0.010,-0.010
1.475,1.45,1.5,0.426,0.010,-0.010
1.525,1.5,1.55,0.425,0.010,-0.010
1.575,1.55,1.6,0.424,0.010,-0.010
1.625,1.6,1.65,0.424,0.010,-0.010
1.675,1.65,1.7,0.424,0.010,-0.010
1.725,1.7,1.75,0.422,0.010,-0.010
1.775,1.75,1.8,0.422,0.010,-0.010
1.825,1.8,1.85,0.422,0.010,-0.010
1.875,1.85,1.9,0.424,0.010,-0.010
1.925,1.9,1.95,0.421,0.010,-0.010
1.975,1.95,2.0,0.421,0.010,-0.010
2.025,2.0,2.05,0.422,0.010,-0.010
2.075,2.05,2.1,0.422,0.010,-0.010
2.125,2.1,2.15,0.423,0.010,-0.010
2.175,2.15,2.2,0.423,0.010,-0.010
2.225,2.2,2.25,0.422,0.010,-0.010
2.275,2.25,2.3,0.421,0.010,-0.010
2.325,2.3,2.35,0.423,0.010,-0.010
2.375,2.35,2.4,0.421,0.010,-0.010
2.425,2.4,2.45,0.423,0.010,-0.010
2.475,2.45,2.5,0.426,0.010,-0.010
2.525,2.5,2.55,0.426,0.010,-0.010
2.575,2.55,2.6,0.425,0.010,-0.010
2.625,2.6,2.65,0.427,0.010,-0.010
2.675,2.65,2.7,0.429,0.010,-0.010
2.725,2.7,2.75,0.432,0.011,-0.011
2.775,2.75,2.8,0.431,0.011,-0.011
2.825,2.8,2.85,0.429,0.010,-0.010
2.875,2.85,2.9,0.433,0.011,-0.011
2.925,2.9,2.95,0.438,0.011,-0.011
2.975,2.95,3.0,0.441,0.011,-0.011
3.025,3.0,3.05,0.442,0.011,-0.011
3.075,3.05,3.1,0.442,0.011,-0.011
3.125,3.1,3.15,0.442,0.011,-0.011
3.175,3.15,3.2,0.438,0.011,-0.011
3.225,3.2,3.25,0.440,0.011,-0.011
3.275,3.25,3.3,0.440,0.011,-0.011
3.325,3.3,3.35,0.441,0.011,-0.011
3.375,3.35,3.4,0.442,0.011,-0.011
3.425,3.4,3.45,0.444,0.011,-0.011
3.475,3.45,3.5,0.440,0.011,-0.011
3.525,3.5,3.55,0.442,0.011,-0.011
3.575,3.55,3.6,0.441,0.011,-0.011
3.625,3.6,3.65,0.442,0.011,-0.011
3.675,3.65,3.7,0.439,0.011,-0.011
3.725,3.7,3.75,0.444,0.011,-0.011
3.775,3.75,3.8,0.443,0.011,-0.011
3.825,3.8,3.85,0.443,0.011,-0.011
3.875,3.85,3.9,0.442,0.011,-0.011
3.925,3.9,3.95,0.443,0.011,-0.011
3.975,3.95,4.0,0.441,0.011,-0.011

#: SQRT(S) [GEV],,,13000.0
DISTANCE R [M],DISTANCE R [M] LOW,DISTANCE R [M] HIGH,(ANTISTOP S)-,error +,error -
0.025,0.0,0.05,0.080,0.005,-0.005
0.075,0.05,0.1,0.080,0.005,-0.005
0.125,0.1,0.15,0.080,0.005,-0.005
0.175,0.15,0.2,0.080,0.005,-0.005
0.225,0.2,0.25,0.080,0.005,-0.005
0.275,0.25,0.3,0.080,0.005,-0.005
0.325,0.3,0.35,0.080,0.005,-0.005
0.375,0.35,0.4,0.080,0.005,-0.005
0.425,0.4,0.45,0.080,0.005,-0.005
0.475,0.45,0.5,0.080,0.005,-0.005
0.525,0.5,0.55,0.080,0.005,-0.005
0.575,0.55,0.6,0.080,0.005,-0.005
0.625,0.6,0.65,0.080,0.005,-0.005
0.675,0.65,0.7,0.080,0.005,-0.005
0.725,0.7,0.75,0.080,0.005,-0.005
0.775,0.75,0.8,0.080,0.005,-0.005
0.825,0.8,0.85,0.080,0.005,-0.005
0.875,0.85,0.9,0.080,0.005,-0.005
0.925,0.9,0.95,0.080,0.005,-0.005
0.975,0.95,1.0,0.080,0.005,-0.005
1.025,1.0,1.05,0.080,0.005,-0.005
1.075,1.05,1.1,0.080,0.005,-0.005
1.125,1.1,1.15,0.080,0.005,-0.005
1.175,1.15,1.2,0.080,0.005,-0.005
1.225,1.2,1.25,0.079,0.005,-0.005
1.275,1.25,1.3,0.079,0.004,-0.004
1.325,1.3,1.35,0.079,0.004,-0.004
1.375,1.35,1.4,0.079,0.004,-0.004
1.425,1.4,1.45,0.079,0.004,-0.004
1.475,1.45,1.5,0.078,0.004,-0.004
1.525,1.5,1.55,0.077,0.004,-0.004
1.575,1.55,1.6,0.076,0.004,-0.004
1.625,1.6,1.65,0.075,0.004,-0.004
1.675,1.65,1.7,0.074,0.004,-0.004
1.725,1.7,1.75,0.074,0.004,-0.004
1.775,1.75,1.8,0.072,0.004,-0.004
1.825,1.8,1.85,0.071,0.004,-0.004
1.875,1.85,1.9,0.069,0.004,-0.004
1.925,1.9,1.95,0.068,0.004,-0.004
1.975,1.95,2.0,0.067,0.004,-0.004
2.025,2.0,2.05,0.066,0.004,-0.004
2.075,2.05,2.1,0.066,0.004,-0.004
2.125,2.1,2.15,0.065,0.004,-0.004
2.175,2.15,2.2,0.064,0.004,-0.004
2.225,2.2,2.25,0.064,0.004,-0.004
2.275,2.25,2.3,0.063,0.004,-0.004
2.325,2.3,2.35,0.061,0.004,-0.004
2.375,2.35,2.4,0.059,0.004,-0.004
2.425,2.4,2.45,0.057,0.004,-0.004
2.475,2.45,2.5,0.056,0.004,-0.004
2.525,2.5,2.55,0.055,0.004,-0.004
2.575,2.55,2.6,0.052,0.004,-0.004
2.625,2.6,2.65,0.050,0.004,-0.004
2.675,2.65,2.7,0.048,0.004,-0.004
2.725,2.7,2.75,0.045,0.003,-0.003
2.775,2.75,2.8,0.044,0.003,-0.003
2.825,2.8,2.85,0.042,0.003,-0.003
2.875,2.85,2.9,0.040,0.003,-0.003
2.925,2.9,2.95,0.038,0.003,-0.003
2.975,2.95,3.0,0.037,0.003,-0.003
3.025,3.0,3.05,0.036,0.003,-0.003
3.075,3.05,3.1,0.034,0.003,-0.003
3.125,3.1,3.15,0.033,0.003,-0.003
3.175,3.15,3.2,0.032,0.003,-0.003
3.225,3.2,3.25,0.031,0.003,-0.003
3.275,3.25,3.3,0.031,0.003,-0.003
3.325,3.3,3.35,0.030,0.003,-0.003
3.375,3.35,3.4,0.029,0.003,-0.003
3.425,3.4,3.45,0.028,0.003,-0.003
3.475,3.45,3.5,0.025,0.003,-0.003
3.525,3.5,3.55,0.025,0.003,-0.003
3.575,3.55,3.6,0.024,0.002,-0.002
3.625,3.6,3.65,0.023,0.002,-0.002
3.675,3.65,3.7,0.022,0.002,-0.002
3.725,3.7,3.75,0.021,0.002,-0.002
3.775,3.75,3.8,0.020,0.002,-0.002
3.825,3.8,3.85,0.019,0.002,-0.002
3.875,3.85,3.9,0.019,0.002,-0.002
3.925,3.9,3.95,0.018,0.002,-0.002
3.975,3.95,4.0,0.018,0.002,-0.002

#: SQRT(S) [GEV],,,13000.0
DISTANCE R [M],DISTANCE R [M] LOW,DISTANCE R [M] HIGH,(ANTISTOP UBAR DBAR)-,error +,error -
0.025,0.0,0.05,0.038,0.003,-0.003
0.075,0.05,0.1,0.038,0.003,-0.003
0.125,0.1,0.15,0.038,0.003,-0.003
0.175,0.15,0.2,0.038,0.003,-0.003
0.225,0.2,0.25,0.038,0.003,-0.003
0.275,0.25,0.3,0.038,0.003,-0.003
0.325,0.3,0.35,0.038,0.003,-0.003
0.375,0.35,0.4,0.038,0.003,-0.003
0.425,0.4,0.45,0.038,0.003,-0.003
0.475,0.45,0.5,0.038,0.003,-0.003
0.525,0.5,0.55,0.038,0.003,-0.003
0.575,0.55,0.6,0.038,0.003,-0.003
0.625,0.6,0.65,0.038,0.003,-0.003
0.675,0.65,0.7,0.038,0.003,-0.003
0.725,0.7,0.75,0.037,0.003,-0.003
0.775,0.75,0.8,0.037,0.003,-0.003
0.825,0.8,0.85,0.037,0.003,-0.003
0.875,0.85,0.9,0.037,0.003,-0.003
0.925,0.9,0.95,0.037,0.003,-0.003
0.975,0.95,1.0,0.037,0.003,-0.003
1.025,1.0,1.05,0.037,0.003,-0.003
1.075,1.05,1.1,0.037,0.003,-0.003
1.125,1.1,1.15,0.037,0.003,-0.003
1.175,1.15,1.2,0.037,0.003,-0.003
1.225,1.2,1.25,0.036,0.003,-0.003
1.275,1.25,1.3,0.037,0.003,-0.003
1.325,1.3,1.35,0.037,0.003,-0.003
1.375,1.35,1.4,0.037,0.003,-0.003
1.425,1.4,1.45,0.036,0.003,-0.003
1.475,1.45,1.5,0.036,0.003,-0.003
1.525,1.5,1.55,0.035,0.003,-0.003
1.575,1.55,1.6,0.034,0.003,-0.003
1.625,1.6,1.65,0.033,0.003,-0.003
1.675,1.65,1.7,0.032,0.003,-0.003
1.725,1.7,1.75,0.031,0.003,-0.003
1.775,1.75,1.8,0.029,0.003,-0.003
1.825,1.8,1.85,0.028,0.003,-0.003
1.875,1.85,1.9,0.026,0.003,-0.003
1.925,1.9,1.95,0.025,0.003,-0.003
1.975,1.95,2.0,0.024,0.002,-0.002
2.025,2.0,2.05,0.023,0.002,-0.002
2.075,2.05,2.1,0.022,0.002,-0.002
2.125,2.1,2.15,0.022,0.002,-0.002
2.175,2.15,2.2,0.022,0.002,-0.002
2.225,2.2,2.25,0.021,0.002,-0.002
2.275,2.25,2.3,0.021,0.002,-0.002
2.325,2.3,2.35,0.019,0.002,-0.002
2.375,2.35,2.4,0.017,0.002,-0.002
2.425,2.4,2.45,0.015,0.002,-0.002
2.475,2.45,2.5,0.015,0.002,-0.002
2.525,2.5,2.55,0.013,0.002,-0.002
2.575,2.55,2.6,0.013,0.002,-0.002
2.625,2.6,2.65,0.012,0.002,-0.002
2.675,2.65,2.7,0.012,0.002,-0.002
2.725,2.7,2.75,0.012,0.002,-0.002
2.775,2.75,2.8,0.010,0.002,-0.002
2.825,2.8,2.85,0.010,0.002,-0.002
2.875,2.85,2.9,0.010,0.002,-0.002
2.925,2.9,2.95,0.010,0.002,-0.002
2.975,2.95,3.0,0.009,0.002,-0.002
3.025,3.0,3.05,0.010,0.002,-0.002
3.075,3.05,3.1,0.009,0.002,-0.002
3.125,3.1,3.15,0.008,0.001,-0.001
3.175,3.15,3.2,0.008,0.001,-0.001
3.225,3.2,3.25,0.007,0.001,-0.001
3.275,3.25,3.3,0.007,0.001,-0.001
3.325,3.3,3.35,0.006,0.001,-0.001
3.375,3.35,3.4,0.006,0.001,-0.001
3.425,3.4,3.45,0.007,0.001,-0.001
3.475,3.45,3.5,0.007,0.001,-0.001
3.525,3.5,3.55,0.006,0.001,-0.001
3.575,3.55,3.6,0.006,0.001,-0.001
3.625,3.6,3.65,0.006,0.001,-0.001
3.675,3.65,3.7,0.006,0.001,-0.001
3.725,3.7,3.75,0.006,0.001,-0.001
3.775,3.75,3.8,0.006,0.001,-0.001
3.825,3.8,3.85,0.006,0.001,-0.001
3.875,3.85,3.9,0.005,0.001,-0.001
3.925,3.9,3.95,0.005,0.001,-0.001
3.975,3.95,4.0,0.005,0.001,-0.001

