txName: T2tt
constraint: [[['t']],[['t']]]
condition: None
conditionDescription: None
susyProcess: pp --> stop stop, stop  --> top lsp
figureUrl: https://twiki.cern.ch/twiki/pub/CMSPublic/PhysicsResultsSUS13011/fig20a.pdf
dataUrl: https://twiki.cern.ch/twiki/pub/CMSPublic/PhysicsResultsSUS13011/topneutralino_cutbased.root
source: CMS
validated: True
axes: [[x, y], [x, y]]
upperLimits: [[[[100*GeV,0*GeV],[100*GeV,0*GeV]],1142.5*pb],
[[[325*GeV,75*GeV],[325*GeV,75*GeV]],0.40873*pb],
[[[325*GeV,100*GeV],[325*GeV,100*GeV]],0.62456*pb],
[[[325*GeV,125*GeV],[325*GeV,125*GeV]],1.238*pb],
[[[325*GeV,150*GeV],[325*GeV,150*GeV]],2.7723*pb],
[[[325*GeV,175*GeV],[325*GeV,175*GeV]],1.3446*pb],
[[[325*GeV,200*GeV],[325*GeV,200*GeV]],2.319*pb],
[[[325*GeV,225*GeV],[325*GeV,225*GeV]],3.7745*pb],
[[[350*GeV,0*GeV],[350*GeV,0*GeV]],0.1479*pb],
[[[350*GeV,25*GeV],[350*GeV,25*GeV]],0.17999*pb],
[[[350*GeV,50*GeV],[350*GeV,50*GeV]],0.18757*pb],
[[[350*GeV,75*GeV],[350*GeV,75*GeV]],0.23501*pb],
[[[350*GeV,100*GeV],[350*GeV,100*GeV]],0.32571*pb],
[[[350*GeV,125*GeV],[350*GeV,125*GeV]],0.46686*pb],
[[[350*GeV,150*GeV],[350*GeV,150*GeV]],0.99813*pb],
[[[350*GeV,175*GeV],[350*GeV,175*GeV]],1.5175*pb],
[[[350*GeV,200*GeV],[350*GeV,200*GeV]],1.067*pb],
[[[350*GeV,225*GeV],[350*GeV,225*GeV]],1.7354*pb],
[[[350*GeV,250*GeV],[350*GeV,250*GeV]],4.3653*pb],
[[[375*GeV,0*GeV],[375*GeV,0*GeV]],0.097045*pb],
[[[375*GeV,25*GeV],[375*GeV,25*GeV]],0.1057*pb],
[[[375*GeV,50*GeV],[375*GeV,50*GeV]],0.10641*pb],
[[[375*GeV,75*GeV],[375*GeV,75*GeV]],0.1316*pb],
[[[375*GeV,100*GeV],[375*GeV,100*GeV]],0.15915*pb],
[[[375*GeV,125*GeV],[375*GeV,125*GeV]],0.23432*pb],
[[[375*GeV,150*GeV],[375*GeV,150*GeV]],0.37442*pb],
[[[375*GeV,175*GeV],[375*GeV,175*GeV]],0.63132*pb],
[[[375*GeV,200*GeV],[375*GeV,200*GeV]],1.2457*pb],
[[[375*GeV,225*GeV],[375*GeV,225*GeV]],0.69181*pb],
[[[375*GeV,250*GeV],[375*GeV,250*GeV]],1.6638*pb],
[[[375*GeV,275*GeV],[375*GeV,275*GeV]],3.325*pb],
[[[400*GeV,0*GeV],[400*GeV,0*GeV]],0.077783*pb],
[[[400*GeV,25*GeV],[400*GeV,25*GeV]],0.073839*pb],
[[[400*GeV,50*GeV],[400*GeV,50*GeV]],0.073957*pb],
[[[400*GeV,75*GeV],[400*GeV,75*GeV]],0.093467*pb],
[[[400*GeV,100*GeV],[400*GeV,100*GeV]],0.10302*pb],
[[[400*GeV,125*GeV],[400*GeV,125*GeV]],0.14045*pb],
[[[400*GeV,150*GeV],[400*GeV,150*GeV]],0.20889*pb],
[[[400*GeV,175*GeV],[400*GeV,175*GeV]],0.34342*pb],
[[[400*GeV,200*GeV],[400*GeV,200*GeV]],0.65104*pb],
[[[400*GeV,225*GeV],[400*GeV,225*GeV]],0.8983*pb],
[[[400*GeV,250*GeV],[400*GeV,250*GeV]],0.81315*pb],
[[[400*GeV,275*GeV],[400*GeV,275*GeV]],1.2341*pb],
[[[400*GeV,300*GeV],[400*GeV,300*GeV]],2.8221*pb],
[[[425*GeV,0*GeV],[425*GeV,0*GeV]],0.043314*pb],
[[[425*GeV,25*GeV],[425*GeV,25*GeV]],0.045332*pb],
[[[425*GeV,50*GeV],[425*GeV,50*GeV]],0.048249*pb],
[[[425*GeV,75*GeV],[425*GeV,75*GeV]],0.052731*pb],
[[[425*GeV,100*GeV],[425*GeV,100*GeV]],0.07023*pb],
[[[425*GeV,125*GeV],[425*GeV,125*GeV]],0.085856*pb],
[[[425*GeV,150*GeV],[425*GeV,150*GeV]],0.10193*pb],
[[[425*GeV,175*GeV],[425*GeV,175*GeV]],0.15093*pb],
[[[425*GeV,200*GeV],[425*GeV,200*GeV]],0.2304*pb],
[[[425*GeV,225*GeV],[425*GeV,225*GeV]],0.46228*pb],
[[[425*GeV,250*GeV],[425*GeV,250*GeV]],0.66806*pb],
[[[425*GeV,275*GeV],[425*GeV,275*GeV]],0.62323*pb],
[[[425*GeV,300*GeV],[425*GeV,300*GeV]],1.4614*pb],
[[[450*GeV,0*GeV],[450*GeV,0*GeV]],0.033494*pb],
[[[450*GeV,25*GeV],[450*GeV,25*GeV]],0.032973*pb],
[[[450*GeV,50*GeV],[450*GeV,50*GeV]],0.0351*pb],
[[[450*GeV,75*GeV],[450*GeV,75*GeV]],0.03801*pb],
[[[450*GeV,100*GeV],[450*GeV,100*GeV]],0.042533*pb],
[[[450*GeV,125*GeV],[450*GeV,125*GeV]],0.061322*pb],
[[[450*GeV,150*GeV],[450*GeV,150*GeV]],0.076978*pb],
[[[450*GeV,175*GeV],[450*GeV,175*GeV]],0.096184*pb],
[[[450*GeV,200*GeV],[450*GeV,200*GeV]],0.1348*pb],
[[[450*GeV,225*GeV],[450*GeV,225*GeV]],0.20433*pb],
[[[450*GeV,250*GeV],[450*GeV,250*GeV]],0.37377*pb],
[[[450*GeV,275*GeV],[450*GeV,275*GeV]],0.64442*pb],
[[[450*GeV,300*GeV],[450*GeV,300*GeV]],0.75896*pb],
[[[475*GeV,0*GeV],[475*GeV,0*GeV]],0.02706*pb],
[[[475*GeV,25*GeV],[475*GeV,25*GeV]],0.025267*pb],
[[[475*GeV,50*GeV],[475*GeV,50*GeV]],0.030453*pb],
[[[475*GeV,75*GeV],[475*GeV,75*GeV]],0.030786*pb],
[[[475*GeV,100*GeV],[475*GeV,100*GeV]],0.032985*pb],
[[[475*GeV,125*GeV],[475*GeV,125*GeV]],0.037858*pb],
[[[475*GeV,150*GeV],[475*GeV,150*GeV]],0.051499*pb],
[[[475*GeV,175*GeV],[475*GeV,175*GeV]],0.065119*pb],
[[[475*GeV,200*GeV],[475*GeV,200*GeV]],0.087668*pb],
[[[475*GeV,225*GeV],[475*GeV,225*GeV]],0.11548*pb],
[[[475*GeV,250*GeV],[475*GeV,250*GeV]],0.24014*pb],
[[[475*GeV,275*GeV],[475*GeV,275*GeV]],0.32205*pb],
[[[475*GeV,300*GeV],[475*GeV,300*GeV]],0.63469*pb],
[[[500*GeV,0*GeV],[500*GeV,0*GeV]],0.021991*pb],
[[[500*GeV,25*GeV],[500*GeV,25*GeV]],0.030394*pb],
[[[500*GeV,50*GeV],[500*GeV,50*GeV]],0.023514*pb],
[[[500*GeV,75*GeV],[500*GeV,75*GeV]],0.025049*pb],
[[[500*GeV,100*GeV],[500*GeV,100*GeV]],0.025416*pb],
[[[500*GeV,125*GeV],[500*GeV,125*GeV]],0.029253*pb],
[[[500*GeV,150*GeV],[500*GeV,150*GeV]],0.034859*pb],
[[[500*GeV,175*GeV],[500*GeV,175*GeV]],0.034634*pb],
[[[500*GeV,200*GeV],[500*GeV,200*GeV]],0.046765*pb],
[[[500*GeV,225*GeV],[500*GeV,225*GeV]],0.075579*pb],
[[[500*GeV,250*GeV],[500*GeV,250*GeV]],0.10892*pb],
[[[500*GeV,275*GeV],[500*GeV,275*GeV]],0.15517*pb],
[[[500*GeV,300*GeV],[500*GeV,300*GeV]],0.27728*pb],
[[[525*GeV,0*GeV],[525*GeV,0*GeV]],0.024963*pb],
[[[525*GeV,25*GeV],[525*GeV,25*GeV]],0.02344*pb],
[[[525*GeV,50*GeV],[525*GeV,50*GeV]],0.026233*pb],
[[[525*GeV,75*GeV],[525*GeV,75*GeV]],0.02127*pb],
[[[525*GeV,100*GeV],[525*GeV,100*GeV]],0.026502*pb],
[[[525*GeV,125*GeV],[525*GeV,125*GeV]],0.024545*pb],
[[[525*GeV,150*GeV],[525*GeV,150*GeV]],0.025618*pb],
[[[525*GeV,175*GeV],[525*GeV,175*GeV]],0.030661*pb],
[[[525*GeV,200*GeV],[525*GeV,200*GeV]],0.033772*pb],
[[[525*GeV,225*GeV],[525*GeV,225*GeV]],0.04487*pb],
[[[525*GeV,250*GeV],[525*GeV,250*GeV]],0.069478*pb],
[[[525*GeV,275*GeV],[525*GeV,275*GeV]],0.097244*pb],
[[[525*GeV,300*GeV],[525*GeV,300*GeV]],0.14638*pb],
[[[550*GeV,0*GeV],[550*GeV,0*GeV]],0.020893*pb],
[[[550*GeV,25*GeV],[550*GeV,25*GeV]],0.021615*pb],
[[[550*GeV,50*GeV],[550*GeV,50*GeV]],0.02153*pb],
[[[550*GeV,75*GeV],[550*GeV,75*GeV]],0.022694*pb],
[[[550*GeV,100*GeV],[550*GeV,100*GeV]],0.024565*pb],
[[[550*GeV,125*GeV],[550*GeV,125*GeV]],0.025232*pb],
[[[550*GeV,150*GeV],[550*GeV,150*GeV]],0.028957*pb],
[[[550*GeV,175*GeV],[550*GeV,175*GeV]],0.023917*pb],
[[[550*GeV,200*GeV],[550*GeV,200*GeV]],0.026952*pb],
[[[550*GeV,225*GeV],[550*GeV,225*GeV]],0.030387*pb],
[[[550*GeV,250*GeV],[550*GeV,250*GeV]],0.039333*pb],
[[[550*GeV,275*GeV],[550*GeV,275*GeV]],0.063666*pb],
[[[550*GeV,300*GeV],[550*GeV,300*GeV]],0.090402*pb],
[[[575*GeV,0*GeV],[575*GeV,0*GeV]],0.018758*pb],
[[[575*GeV,25*GeV],[575*GeV,25*GeV]],0.018963*pb],
[[[575*GeV,50*GeV],[575*GeV,50*GeV]],0.019138*pb],
[[[575*GeV,75*GeV],[575*GeV,75*GeV]],0.020061*pb],
[[[575*GeV,100*GeV],[575*GeV,100*GeV]],0.019441*pb],
[[[575*GeV,125*GeV],[575*GeV,125*GeV]],0.020611*pb],
[[[575*GeV,150*GeV],[575*GeV,150*GeV]],0.022799*pb],
[[[575*GeV,175*GeV],[575*GeV,175*GeV]],0.024088*pb],
[[[575*GeV,200*GeV],[575*GeV,200*GeV]],0.028314*pb],
[[[575*GeV,225*GeV],[575*GeV,225*GeV]],0.032263*pb],
[[[575*GeV,250*GeV],[575*GeV,250*GeV]],0.031176*pb],
[[[575*GeV,275*GeV],[575*GeV,275*GeV]],0.039066*pb],
[[[575*GeV,300*GeV],[575*GeV,300*GeV]],0.061278*pb],
[[[600*GeV,0*GeV],[600*GeV,0*GeV]],0.017056*pb],
[[[600*GeV,25*GeV],[600*GeV,25*GeV]],0.016651*pb],
[[[600*GeV,50*GeV],[600*GeV,50*GeV]],0.016858*pb],
[[[600*GeV,75*GeV],[600*GeV,75*GeV]],0.017541*pb],
[[[600*GeV,100*GeV],[600*GeV,100*GeV]],0.018246*pb],
[[[600*GeV,125*GeV],[600*GeV,125*GeV]],0.019584*pb],
[[[600*GeV,150*GeV],[600*GeV,150*GeV]],0.020189*pb],
[[[600*GeV,175*GeV],[600*GeV,175*GeV]],0.021069*pb],
[[[600*GeV,200*GeV],[600*GeV,200*GeV]],0.023078*pb],
[[[600*GeV,225*GeV],[600*GeV,225*GeV]],0.025037*pb],
[[[600*GeV,250*GeV],[600*GeV,250*GeV]],0.029311*pb],
[[[600*GeV,275*GeV],[600*GeV,275*GeV]],0.028132*pb],
[[[600*GeV,300*GeV],[600*GeV,300*GeV]],0.035186*pb],
[[[625*GeV,0*GeV],[625*GeV,0*GeV]],0.015538*pb],
[[[625*GeV,25*GeV],[625*GeV,25*GeV]],0.015793*pb],
[[[625*GeV,50*GeV],[625*GeV,50*GeV]],0.016406*pb],
[[[625*GeV,75*GeV],[625*GeV,75*GeV]],0.016753*pb],
[[[625*GeV,100*GeV],[625*GeV,100*GeV]],0.016041*pb],
[[[625*GeV,125*GeV],[625*GeV,125*GeV]],0.017522*pb],
[[[625*GeV,150*GeV],[625*GeV,150*GeV]],0.018298*pb],
[[[625*GeV,175*GeV],[625*GeV,175*GeV]],0.019043*pb],
[[[625*GeV,200*GeV],[625*GeV,200*GeV]],0.020468*pb],
[[[625*GeV,225*GeV],[625*GeV,225*GeV]],0.020813*pb],
[[[625*GeV,250*GeV],[625*GeV,250*GeV]],0.023229*pb],
[[[625*GeV,275*GeV],[625*GeV,275*GeV]],0.023079*pb],
[[[625*GeV,300*GeV],[625*GeV,300*GeV]],0.027234*pb],
[[[650*GeV,0*GeV],[650*GeV,0*GeV]],0.014373*pb],
[[[650*GeV,25*GeV],[650*GeV,25*GeV]],0.014959*pb],
[[[650*GeV,50*GeV],[650*GeV,50*GeV]],0.015216*pb],
[[[650*GeV,75*GeV],[650*GeV,75*GeV]],0.014364*pb],
[[[650*GeV,100*GeV],[650*GeV,100*GeV]],0.015424*pb],
[[[650*GeV,125*GeV],[650*GeV,125*GeV]],0.015693*pb],
[[[650*GeV,150*GeV],[650*GeV,150*GeV]],0.01609*pb],
[[[650*GeV,175*GeV],[650*GeV,175*GeV]],0.016406*pb],
[[[650*GeV,200*GeV],[650*GeV,200*GeV]],0.01772*pb],
[[[650*GeV,225*GeV],[650*GeV,225*GeV]],0.019227*pb],
[[[650*GeV,250*GeV],[650*GeV,250*GeV]],0.019826*pb],
[[[650*GeV,275*GeV],[650*GeV,275*GeV]],0.023777*pb],
[[[650*GeV,300*GeV],[650*GeV,300*GeV]],0.027343*pb],
[[[675*GeV,0*GeV],[675*GeV,0*GeV]],0.013779*pb],
[[[675*GeV,25*GeV],[675*GeV,25*GeV]],0.013788*pb],
[[[675*GeV,50*GeV],[675*GeV,50*GeV]],0.013693*pb],
[[[675*GeV,75*GeV],[675*GeV,75*GeV]],0.013928*pb],
[[[675*GeV,100*GeV],[675*GeV,100*GeV]],0.014075*pb],
[[[675*GeV,125*GeV],[675*GeV,125*GeV]],0.014291*pb],
[[[675*GeV,150*GeV],[675*GeV,150*GeV]],0.014899*pb],
[[[675*GeV,175*GeV],[675*GeV,175*GeV]],0.014759*pb],
[[[675*GeV,200*GeV],[675*GeV,200*GeV]],0.016057*pb],
[[[675*GeV,225*GeV],[675*GeV,225*GeV]],0.016722*pb],
[[[675*GeV,250*GeV],[675*GeV,250*GeV]],0.018044*pb],
[[[675*GeV,275*GeV],[675*GeV,275*GeV]],0.019592*pb],
[[[675*GeV,300*GeV],[675*GeV,300*GeV]],0.022725*pb],
[[[700*GeV,0*GeV],[700*GeV,0*GeV]],0.013083*pb],
[[[700*GeV,25*GeV],[700*GeV,25*GeV]],0.013348*pb],
[[[700*GeV,50*GeV],[700*GeV,50*GeV]],0.013401*pb],
[[[700*GeV,75*GeV],[700*GeV,75*GeV]],0.013144*pb],
[[[700*GeV,100*GeV],[700*GeV,100*GeV]],0.01334*pb],
[[[700*GeV,125*GeV],[700*GeV,125*GeV]],0.013508*pb],
[[[700*GeV,150*GeV],[700*GeV,150*GeV]],0.01419*pb],
[[[700*GeV,175*GeV],[700*GeV,175*GeV]],0.014322*pb],
[[[700*GeV,200*GeV],[700*GeV,200*GeV]],0.014942*pb],
[[[700*GeV,225*GeV],[700*GeV,225*GeV]],0.015029*pb],
[[[700*GeV,250*GeV],[700*GeV,250*GeV]],0.015915*pb],
[[[700*GeV,275*GeV],[700*GeV,275*GeV]],0.017247*pb],
[[[700*GeV,300*GeV],[700*GeV,300*GeV]],0.019068*pb],
[[[725*GeV,0*GeV],[725*GeV,0*GeV]],0.01235*pb],
[[[725*GeV,25*GeV],[725*GeV,25*GeV]],0.012332*pb],
[[[725*GeV,50*GeV],[725*GeV,50*GeV]],0.012063*pb],
[[[725*GeV,75*GeV],[725*GeV,75*GeV]],0.012745*pb],
[[[725*GeV,100*GeV],[725*GeV,100*GeV]],0.012652*pb],
[[[725*GeV,125*GeV],[725*GeV,125*GeV]],0.012877*pb],
[[[725*GeV,150*GeV],[725*GeV,150*GeV]],0.012815*pb],
[[[725*GeV,175*GeV],[725*GeV,175*GeV]],0.013517*pb],
[[[725*GeV,200*GeV],[725*GeV,200*GeV]],0.01395*pb],
[[[725*GeV,225*GeV],[725*GeV,225*GeV]],0.014153*pb],
[[[725*GeV,250*GeV],[725*GeV,250*GeV]],0.015531*pb],
[[[725*GeV,275*GeV],[725*GeV,275*GeV]],0.015344*pb],
[[[725*GeV,300*GeV],[725*GeV,300*GeV]],0.016193*pb],
[[[750*GeV,0*GeV],[750*GeV,0*GeV]],0.012159*pb],
[[[750*GeV,25*GeV],[750*GeV,25*GeV]],0.012306*pb],
[[[750*GeV,50*GeV],[750*GeV,50*GeV]],0.012127*pb],
[[[750*GeV,75*GeV],[750*GeV,75*GeV]],0.012626*pb],
[[[750*GeV,100*GeV],[750*GeV,100*GeV]],0.012724*pb],
[[[750*GeV,125*GeV],[750*GeV,125*GeV]],0.012575*pb],
[[[750*GeV,150*GeV],[750*GeV,150*GeV]],0.012769*pb],
[[[750*GeV,175*GeV],[750*GeV,175*GeV]],0.013249*pb],
[[[750*GeV,200*GeV],[750*GeV,200*GeV]],0.012872*pb],
[[[750*GeV,225*GeV],[750*GeV,225*GeV]],0.013369*pb],
[[[750*GeV,250*GeV],[750*GeV,250*GeV]],0.014488*pb],
[[[750*GeV,275*GeV],[750*GeV,275*GeV]],0.01401*pb],
[[[750*GeV,300*GeV],[750*GeV,300*GeV]],0.015122*pb],
[[[775*GeV,0*GeV],[775*GeV,0*GeV]],0.012237*pb],
[[[775*GeV,25*GeV],[775*GeV,25*GeV]],0.011828*pb],
[[[775*GeV,50*GeV],[775*GeV,50*GeV]],0.012329*pb],
[[[775*GeV,75*GeV],[775*GeV,75*GeV]],0.011866*pb],
[[[775*GeV,100*GeV],[775*GeV,100*GeV]],0.012158*pb],
[[[775*GeV,125*GeV],[775*GeV,125*GeV]],0.012415*pb],
[[[775*GeV,150*GeV],[775*GeV,150*GeV]],0.011781*pb],
[[[775*GeV,175*GeV],[775*GeV,175*GeV]],0.012328*pb],
[[[775*GeV,200*GeV],[775*GeV,200*GeV]],0.012656*pb],
[[[775*GeV,225*GeV],[775*GeV,225*GeV]],0.01249*pb],
[[[775*GeV,250*GeV],[775*GeV,250*GeV]],0.013259*pb],
[[[775*GeV,275*GeV],[775*GeV,275*GeV]],0.013512*pb],
[[[775*GeV,300*GeV],[775*GeV,300*GeV]],0.014122*pb],
[[[800*GeV,0*GeV],[800*GeV,0*GeV]],0.011893*pb],
[[[800*GeV,25*GeV],[800*GeV,25*GeV]],0.011573*pb],
[[[800*GeV,50*GeV],[800*GeV,50*GeV]],0.011852*pb],
[[[800*GeV,75*GeV],[800*GeV,75*GeV]],0.011718*pb],
[[[800*GeV,100*GeV],[800*GeV,100*GeV]],0.012009*pb],
[[[800*GeV,125*GeV],[800*GeV,125*GeV]],0.011586*pb],
[[[800*GeV,150*GeV],[800*GeV,150*GeV]],0.012282*pb],
[[[800*GeV,175*GeV],[800*GeV,175*GeV]],0.011861*pb],
[[[800*GeV,200*GeV],[800*GeV,200*GeV]],0.011927*pb],
[[[800*GeV,225*GeV],[800*GeV,225*GeV]],0.012282*pb],
[[[800*GeV,250*GeV],[800*GeV,250*GeV]],0.012563*pb],
[[[800*GeV,275*GeV],[800*GeV,275*GeV]],0.012737*pb],
[[[800*GeV,300*GeV],[800*GeV,300*GeV]],0.013225*pb]]
