txName: T4tbWoff
conditionDescription: not yet assigned
condition: not yet assigned
constraint: not yet assigned
figureUrl: https://twiki.cern.ch/twiki/pub/CMSPublic/PhysicsResultsSUS14011/T2tbHybridNew0Lp1Lp2LXSEC.pdf
validated: None
axes: Eq(mother,x)_Eq(inter0,y+5.0)_Eq(lsp,y)+Eq(mother,x)_Eq(lsp,y)
publishedData: True
upperLimits: [[[[100.0*GeV, 5.0*GeV, 0.0*GeV], [100.0*GeV, 0.0*GeV]], 164.008232158*pb],
[[[275.0*GeV, 5.0*GeV, 0.0*GeV], [275.0*GeV, 0.0*GeV]], 2.0471734748*pb],
[[[275.0*GeV, 30.0*GeV, 25.0*GeV], [275.0*GeV, 25.0*GeV]], 2.47869303246*pb],
[[[275.0*GeV, 55.0*GeV, 50.0*GeV], [275.0*GeV, 50.0*GeV]], 4.48650628465*pb],
[[[275.0*GeV, 80.0*GeV, 75.0*GeV], [275.0*GeV, 75.0*GeV]], 7.61013780363*pb],
[[[275.0*GeV, 105.0*GeV, 100.0*GeV], [275.0*GeV, 100.0*GeV]], 12.0996426409*pb],
[[[275.0*GeV, 130.0*GeV, 125.0*GeV], [275.0*GeV, 125.0*GeV]], 18.2328959259*pb],
[[[275.0*GeV, 155.0*GeV, 150.0*GeV], [275.0*GeV, 150.0*GeV]], 25.8334535247*pb],
[[[275.0*GeV, 180.0*GeV, 175.0*GeV], [275.0*GeV, 175.0*GeV]], 29.9840925839*pb],
[[[300.0*GeV, 5.0*GeV, 0.0*GeV], [300.0*GeV, 0.0*GeV]], 0.967529146994*pb],
[[[300.0*GeV, 30.0*GeV, 25.0*GeV], [300.0*GeV, 25.0*GeV]], 1.18052017994*pb],
[[[300.0*GeV, 55.0*GeV, 50.0*GeV], [300.0*GeV, 50.0*GeV]], 1.75804771483*pb],
[[[300.0*GeV, 80.0*GeV, 75.0*GeV], [300.0*GeV, 75.0*GeV]], 3.11283468517*pb],
[[[300.0*GeV, 105.0*GeV, 100.0*GeV], [300.0*GeV, 100.0*GeV]], 5.17006212859*pb],
[[[300.0*GeV, 130.0*GeV, 125.0*GeV], [300.0*GeV, 125.0*GeV]], 8.0127777924*pb],
[[[300.0*GeV, 155.0*GeV, 150.0*GeV], [300.0*GeV, 150.0*GeV]], 11.3437003417*pb],
[[[300.0*GeV, 180.0*GeV, 175.0*GeV], [300.0*GeV, 175.0*GeV]], 15.1286999804*pb],
[[[300.0*GeV, 205.0*GeV, 200.0*GeV], [300.0*GeV, 200.0*GeV]], 18.6897257191*pb],
[[[325.0*GeV, 5.0*GeV, 0.0*GeV], [325.0*GeV, 0.0*GeV]], 0.486137618366*pb],
[[[325.0*GeV, 30.0*GeV, 25.0*GeV], [325.0*GeV, 25.0*GeV]], 0.558906610416*pb],
[[[325.0*GeV, 55.0*GeV, 50.0*GeV], [325.0*GeV, 50.0*GeV]], 0.876852771074*pb],
[[[325.0*GeV, 80.0*GeV, 75.0*GeV], [325.0*GeV, 75.0*GeV]], 1.40576791539*pb],
[[[325.0*GeV, 105.0*GeV, 100.0*GeV], [325.0*GeV, 100.0*GeV]], 2.2893879485*pb],
[[[325.0*GeV, 130.0*GeV, 125.0*GeV], [325.0*GeV, 125.0*GeV]], 3.59981606952*pb],
[[[325.0*GeV, 155.0*GeV, 150.0*GeV], [325.0*GeV, 150.0*GeV]], 5.39056878989*pb],
[[[325.0*GeV, 180.0*GeV, 175.0*GeV], [325.0*GeV, 175.0*GeV]], 7.55004902802*pb],
[[[325.0*GeV, 205.0*GeV, 200.0*GeV], [325.0*GeV, 200.0*GeV]], 10.153674094*pb],
[[[325.0*GeV, 230.0*GeV, 225.0*GeV], [325.0*GeV, 225.0*GeV]], 13.1749824943*pb],
[[[350.0*GeV, 5.0*GeV, 0.0*GeV], [350.0*GeV, 0.0*GeV]], 0.263956598679*pb],
[[[350.0*GeV, 30.0*GeV, 25.0*GeV], [350.0*GeV, 25.0*GeV]], 0.294101024194*pb],
[[[350.0*GeV, 55.0*GeV, 50.0*GeV], [350.0*GeV, 50.0*GeV]], 0.422310360099*pb],
[[[350.0*GeV, 80.0*GeV, 75.0*GeV], [350.0*GeV, 75.0*GeV]], 0.670703800759*pb],
[[[350.0*GeV, 105.0*GeV, 100.0*GeV], [350.0*GeV, 100.0*GeV]], 1.06803629776*pb],
[[[350.0*GeV, 130.0*GeV, 125.0*GeV], [350.0*GeV, 125.0*GeV]], 1.67416824788*pb],
[[[350.0*GeV, 155.0*GeV, 150.0*GeV], [350.0*GeV, 150.0*GeV]], 2.54856755237*pb],
[[[350.0*GeV, 180.0*GeV, 175.0*GeV], [350.0*GeV, 175.0*GeV]], 3.74660302061*pb],
[[[350.0*GeV, 205.0*GeV, 200.0*GeV], [350.0*GeV, 200.0*GeV]], 5.37748378521*pb],
[[[350.0*GeV, 230.0*GeV, 225.0*GeV], [350.0*GeV, 225.0*GeV]], 7.59339212659*pb],
[[[350.0*GeV, 255.0*GeV, 250.0*GeV], [350.0*GeV, 250.0*GeV]], 10.3109748434*pb],
[[[375.0*GeV, 5.0*GeV, 0.0*GeV], [375.0*GeV, 0.0*GeV]], 0.156013933584*pb],
[[[375.0*GeV, 30.0*GeV, 25.0*GeV], [375.0*GeV, 25.0*GeV]], 0.168224790951*pb],
[[[375.0*GeV, 55.0*GeV, 50.0*GeV], [375.0*GeV, 50.0*GeV]], 0.230454948328*pb],
[[[375.0*GeV, 80.0*GeV, 75.0*GeV], [375.0*GeV, 75.0*GeV]], 0.34488135509*pb],
[[[375.0*GeV, 105.0*GeV, 100.0*GeV], [375.0*GeV, 100.0*GeV]], 0.526422381767*pb],
[[[375.0*GeV, 130.0*GeV, 125.0*GeV], [375.0*GeV, 125.0*GeV]], 0.802541177711*pb],
[[[375.0*GeV, 155.0*GeV, 150.0*GeV], [375.0*GeV, 150.0*GeV]], 1.23128969926*pb],
[[[375.0*GeV, 180.0*GeV, 175.0*GeV], [375.0*GeV, 175.0*GeV]], 1.83542282897*pb],
[[[375.0*GeV, 205.0*GeV, 200.0*GeV], [375.0*GeV, 200.0*GeV]], 2.75885003708*pb],
[[[375.0*GeV, 230.0*GeV, 225.0*GeV], [375.0*GeV, 225.0*GeV]], 4.12640679753*pb],
[[[375.0*GeV, 255.0*GeV, 250.0*GeV], [375.0*GeV, 250.0*GeV]], 6.03288771736*pb],
[[[375.0*GeV, 280.0*GeV, 275.0*GeV], [375.0*GeV, 275.0*GeV]], 7.67423780523*pb],
[[[400.0*GeV, 5.0*GeV, 0.0*GeV], [400.0*GeV, 0.0*GeV]], 0.100290028363*pb],
[[[400.0*GeV, 30.0*GeV, 25.0*GeV], [400.0*GeV, 25.0*GeV]], 0.10632651227*pb],
[[[400.0*GeV, 55.0*GeV, 50.0*GeV], [400.0*GeV, 50.0*GeV]], 0.137024418488*pb],
[[[400.0*GeV, 80.0*GeV, 75.0*GeV], [400.0*GeV, 75.0*GeV]], 0.19260384535*pb],
[[[400.0*GeV, 105.0*GeV, 100.0*GeV], [400.0*GeV, 100.0*GeV]], 0.276229979542*pb],
[[[400.0*GeV, 130.0*GeV, 125.0*GeV], [400.0*GeV, 125.0*GeV]], 0.396845250108*pb],
[[[400.0*GeV, 155.0*GeV, 150.0*GeV], [400.0*GeV, 150.0*GeV]], 0.571291877523*pb],
[[[400.0*GeV, 180.0*GeV, 175.0*GeV], [400.0*GeV, 175.0*GeV]], 0.891093153147*pb],
[[[400.0*GeV, 205.0*GeV, 200.0*GeV], [400.0*GeV, 200.0*GeV]], 1.3861848632*pb],
[[[400.0*GeV, 230.0*GeV, 225.0*GeV], [400.0*GeV, 225.0*GeV]], 2.11803556138*pb],
[[[400.0*GeV, 255.0*GeV, 250.0*GeV], [400.0*GeV, 250.0*GeV]], 3.10301110457*pb],
[[[400.0*GeV, 280.0*GeV, 275.0*GeV], [400.0*GeV, 275.0*GeV]], 4.39838145285*pb],
[[[400.0*GeV, 305.0*GeV, 300.0*GeV], [400.0*GeV, 300.0*GeV]], 5.29007311343*pb],
[[[425.0*GeV, 5.0*GeV, 0.0*GeV], [425.0*GeV, 0.0*GeV]], 0.0692527779985*pb],
[[[425.0*GeV, 30.0*GeV, 25.0*GeV], [425.0*GeV, 25.0*GeV]], 0.0728331232378*pb],
[[[425.0*GeV, 55.0*GeV, 50.0*GeV], [425.0*GeV, 50.0*GeV]], 0.0892945995077*pb],
[[[425.0*GeV, 80.0*GeV, 75.0*GeV], [425.0*GeV, 75.0*GeV]], 0.116634684059*pb],
[[[425.0*GeV, 105.0*GeV, 100.0*GeV], [425.0*GeV, 100.0*GeV]], 0.155774194894*pb],
[[[425.0*GeV, 130.0*GeV, 125.0*GeV], [425.0*GeV, 125.0*GeV]], 0.210816605958*pb],
[[[425.0*GeV, 155.0*GeV, 150.0*GeV], [425.0*GeV, 150.0*GeV]], 0.296042986297*pb],
[[[425.0*GeV, 180.0*GeV, 175.0*GeV], [425.0*GeV, 175.0*GeV]], 0.451030017393*pb],
[[[425.0*GeV, 205.0*GeV, 200.0*GeV], [425.0*GeV, 200.0*GeV]], 0.706315387526*pb],
[[[425.0*GeV, 230.0*GeV, 225.0*GeV], [425.0*GeV, 225.0*GeV]], 1.09228335553*pb],
[[[425.0*GeV, 255.0*GeV, 250.0*GeV], [425.0*GeV, 250.0*GeV]], 1.64407069049*pb],
[[[425.0*GeV, 280.0*GeV, 275.0*GeV], [425.0*GeV, 275.0*GeV]], 2.35155628461*pb],
[[[425.0*GeV, 305.0*GeV, 300.0*GeV], [425.0*GeV, 300.0*GeV]], 3.08132037823*pb],
[[[425.0*GeV, 330.0*GeV, 325.0*GeV], [425.0*GeV, 325.0*GeV]], 3.76520573806*pb],
[[[450.0*GeV, 5.0*GeV, 0.0*GeV], [450.0*GeV, 0.0*GeV]], 0.0504371219172*pb],
[[[450.0*GeV, 30.0*GeV, 25.0*GeV], [450.0*GeV, 25.0*GeV]], 0.0526212927433*pb],
[[[450.0*GeV, 55.0*GeV, 50.0*GeV], [450.0*GeV, 50.0*GeV]], 0.0621707688279*pb],
[[[450.0*GeV, 80.0*GeV, 75.0*GeV], [450.0*GeV, 75.0*GeV]], 0.0757723777613*pb],
[[[450.0*GeV, 105.0*GeV, 100.0*GeV], [450.0*GeV, 100.0*GeV]], 0.0942885832919*pb],
[[[450.0*GeV, 130.0*GeV, 125.0*GeV], [450.0*GeV, 125.0*GeV]], 0.1199150364*pb],
[[[450.0*GeV, 155.0*GeV, 150.0*GeV], [450.0*GeV, 150.0*GeV]], 0.159441851293*pb],
[[[450.0*GeV, 180.0*GeV, 175.0*GeV], [450.0*GeV, 175.0*GeV]], 0.239853423146*pb],
[[[450.0*GeV, 205.0*GeV, 200.0*GeV], [450.0*GeV, 200.0*GeV]], 0.373622546318*pb],
[[[450.0*GeV, 230.0*GeV, 225.0*GeV], [450.0*GeV, 225.0*GeV]], 0.580189054189*pb],
[[[450.0*GeV, 255.0*GeV, 250.0*GeV], [450.0*GeV, 250.0*GeV]], 0.87609368234*pb],
[[[450.0*GeV, 280.0*GeV, 275.0*GeV], [450.0*GeV, 275.0*GeV]], 1.29590445192*pb],
[[[450.0*GeV, 305.0*GeV, 300.0*GeV], [450.0*GeV, 300.0*GeV]], 1.7991371422*pb],
[[[450.0*GeV, 330.0*GeV, 325.0*GeV], [450.0*GeV, 325.0*GeV]], 2.34775373877*pb],
[[[450.0*GeV, 355.0*GeV, 350.0*GeV], [450.0*GeV, 350.0*GeV]], 2.88202679775*pb],
[[[475.0*GeV, 5.0*GeV, 0.0*GeV], [475.0*GeV, 0.0*GeV]], 0.0383062999494*pb],
[[[475.0*GeV, 30.0*GeV, 25.0*GeV], [475.0*GeV, 25.0*GeV]], 0.0394495488559*pb],
[[[475.0*GeV, 55.0*GeV, 50.0*GeV], [475.0*GeV, 50.0*GeV]], 0.0452433235556*pb],
[[[475.0*GeV, 80.0*GeV, 75.0*GeV], [475.0*GeV, 75.0*GeV]], 0.0520642873678*pb],
[[[475.0*GeV, 105.0*GeV, 100.0*GeV], [475.0*GeV, 100.0*GeV]], 0.0608288451601*pb],
[[[475.0*GeV, 130.0*GeV, 125.0*GeV], [475.0*GeV, 125.0*GeV]], 0.0730013803017*pb],
[[[475.0*GeV, 155.0*GeV, 150.0*GeV], [475.0*GeV, 150.0*GeV]], 0.0933931553593*pb],
[[[475.0*GeV, 180.0*GeV, 175.0*GeV], [475.0*GeV, 175.0*GeV]], 0.134936421447*pb],
[[[475.0*GeV, 205.0*GeV, 200.0*GeV], [475.0*GeV, 200.0*GeV]], 0.206687670125*pb],
[[[475.0*GeV, 230.0*GeV, 225.0*GeV], [475.0*GeV, 225.0*GeV]], 0.321449361652*pb],
[[[475.0*GeV, 255.0*GeV, 250.0*GeV], [475.0*GeV, 250.0*GeV]], 0.49846885187*pb],
[[[475.0*GeV, 280.0*GeV, 275.0*GeV], [475.0*GeV, 275.0*GeV]], 0.741281442045*pb],
[[[475.0*GeV, 305.0*GeV, 300.0*GeV], [475.0*GeV, 300.0*GeV]], 1.07121425909*pb],
[[[475.0*GeV, 330.0*GeV, 325.0*GeV], [475.0*GeV, 325.0*GeV]], 1.48422415953*pb],
[[[475.0*GeV, 355.0*GeV, 350.0*GeV], [475.0*GeV, 350.0*GeV]], 1.92528624415*pb],
[[[475.0*GeV, 380.0*GeV, 375.0*GeV], [475.0*GeV, 375.0*GeV]], 2.28546288734*pb],
[[[500.0*GeV, 5.0*GeV, 0.0*GeV], [500.0*GeV, 0.0*GeV]], 0.0301023951396*pb],
[[[500.0*GeV, 30.0*GeV, 25.0*GeV], [500.0*GeV, 25.0*GeV]], 0.0311886972898*pb],
[[[500.0*GeV, 55.0*GeV, 50.0*GeV], [500.0*GeV, 50.0*GeV]], 0.0341471499804*pb],
[[[500.0*GeV, 80.0*GeV, 75.0*GeV], [500.0*GeV, 75.0*GeV]], 0.0375750139329*pb],
[[[500.0*GeV, 105.0*GeV, 100.0*GeV], [500.0*GeV, 100.0*GeV]], 0.0416054748903*pb],
[[[500.0*GeV, 130.0*GeV, 125.0*GeV], [500.0*GeV, 125.0*GeV]], 0.047228771434*pb],
[[[500.0*GeV, 155.0*GeV, 150.0*GeV], [500.0*GeV, 150.0*GeV]], 0.0567973111498*pb],
[[[500.0*GeV, 180.0*GeV, 175.0*GeV], [500.0*GeV, 175.0*GeV]], 0.0800206789611*pb],
[[[500.0*GeV, 205.0*GeV, 200.0*GeV], [500.0*GeV, 200.0*GeV]], 0.119260159276*pb],
[[[500.0*GeV, 230.0*GeV, 225.0*GeV], [500.0*GeV, 225.0*GeV]], 0.182337079047*pb],
[[[500.0*GeV, 255.0*GeV, 250.0*GeV], [500.0*GeV, 250.0*GeV]], 0.282184690839*pb],
[[[500.0*GeV, 280.0*GeV, 275.0*GeV], [500.0*GeV, 275.0*GeV]], 0.427260749788*pb],
[[[500.0*GeV, 305.0*GeV, 300.0*GeV], [500.0*GeV, 300.0*GeV]], 0.642445898338*pb],
[[[500.0*GeV, 330.0*GeV, 325.0*GeV], [500.0*GeV, 325.0*GeV]], 0.945516068476*pb],
[[[500.0*GeV, 355.0*GeV, 350.0*GeV], [500.0*GeV, 350.0*GeV]], 1.31084255438*pb],
[[[500.0*GeV, 380.0*GeV, 375.0*GeV], [500.0*GeV, 375.0*GeV]], 1.57348115396*pb],
[[[500.0*GeV, 405.0*GeV, 400.0*GeV], [500.0*GeV, 400.0*GeV]], 1.75433491943*pb],
[[[525.0*GeV, 5.0*GeV, 0.0*GeV], [525.0*GeV, 0.0*GeV]], 0.0240515901541*pb],
[[[525.0*GeV, 30.0*GeV, 25.0*GeV], [525.0*GeV, 25.0*GeV]], 0.0243426035363*pb],
[[[525.0*GeV, 55.0*GeV, 50.0*GeV], [525.0*GeV, 50.0*GeV]], 0.0269323596226*pb],
[[[525.0*GeV, 80.0*GeV, 75.0*GeV], [525.0*GeV, 75.0*GeV]], 0.0283326914099*pb],
[[[525.0*GeV, 105.0*GeV, 100.0*GeV], [525.0*GeV, 100.0*GeV]], 0.0300916331681*pb],
[[[525.0*GeV, 130.0*GeV, 125.0*GeV], [525.0*GeV, 125.0*GeV]], 0.032793320648*pb],
[[[525.0*GeV, 155.0*GeV, 150.0*GeV], [525.0*GeV, 150.0*GeV]], 0.0380682128527*pb],
[[[525.0*GeV, 180.0*GeV, 175.0*GeV], [525.0*GeV, 175.0*GeV]], 0.0507095958116*pb],
[[[525.0*GeV, 205.0*GeV, 200.0*GeV], [525.0*GeV, 200.0*GeV]], 0.071891473351*pb],
[[[525.0*GeV, 230.0*GeV, 225.0*GeV], [525.0*GeV, 225.0*GeV]], 0.104930961987*pb],
[[[525.0*GeV, 255.0*GeV, 250.0*GeV], [525.0*GeV, 250.0*GeV]], 0.158760815917*pb],
[[[525.0*GeV, 280.0*GeV, 275.0*GeV], [525.0*GeV, 275.0*GeV]], 0.243716122053*pb],
[[[525.0*GeV, 305.0*GeV, 300.0*GeV], [525.0*GeV, 300.0*GeV]], 0.382026964507*pb],
[[[525.0*GeV, 330.0*GeV, 325.0*GeV], [525.0*GeV, 325.0*GeV]], 0.591146773615*pb],
[[[525.0*GeV, 355.0*GeV, 350.0*GeV], [525.0*GeV, 350.0*GeV]], 0.860858798176*pb],
[[[525.0*GeV, 380.0*GeV, 375.0*GeV], [525.0*GeV, 375.0*GeV]], 1.05149800765*pb],
[[[525.0*GeV, 405.0*GeV, 400.0*GeV], [525.0*GeV, 400.0*GeV]], 1.19692681943*pb],
[[[525.0*GeV, 430.0*GeV, 425.0*GeV], [525.0*GeV, 425.0*GeV]], 1.32052321693*pb],
[[[550.0*GeV, 5.0*GeV, 0.0*GeV], [550.0*GeV, 0.0*GeV]], 0.0197166039305*pb],
[[[550.0*GeV, 30.0*GeV, 25.0*GeV], [550.0*GeV, 25.0*GeV]], 0.019849796818*pb],
[[[550.0*GeV, 55.0*GeV, 50.0*GeV], [550.0*GeV, 50.0*GeV]], 0.0210376478399*pb],
[[[550.0*GeV, 80.0*GeV, 75.0*GeV], [550.0*GeV, 75.0*GeV]], 0.0220398596725*pb],
[[[550.0*GeV, 105.0*GeV, 100.0*GeV], [550.0*GeV, 100.0*GeV]], 0.0229317760489*pb],
[[[550.0*GeV, 130.0*GeV, 125.0*GeV], [550.0*GeV, 125.0*GeV]], 0.0243039346693*pb],
[[[550.0*GeV, 155.0*GeV, 150.0*GeV], [550.0*GeV, 150.0*GeV]], 0.0271170976775*pb],
[[[550.0*GeV, 180.0*GeV, 175.0*GeV], [550.0*GeV, 175.0*GeV]], 0.0343878604597*pb],
[[[550.0*GeV, 205.0*GeV, 200.0*GeV], [550.0*GeV, 200.0*GeV]], 0.0458384275383*pb],
[[[550.0*GeV, 230.0*GeV, 225.0*GeV], [550.0*GeV, 225.0*GeV]], 0.0623279547422*pb],
[[[550.0*GeV, 255.0*GeV, 250.0*GeV], [550.0*GeV, 250.0*GeV]], 0.0869783686195*pb],
[[[550.0*GeV, 280.0*GeV, 275.0*GeV], [550.0*GeV, 275.0*GeV]], 0.139334628151*pb],
[[[550.0*GeV, 305.0*GeV, 300.0*GeV], [550.0*GeV, 300.0*GeV]], 0.226044718874*pb],
[[[550.0*GeV, 330.0*GeV, 325.0*GeV], [550.0*GeV, 325.0*GeV]], 0.359700922934*pb],
[[[550.0*GeV, 355.0*GeV, 350.0*GeV], [550.0*GeV, 350.0*GeV]], 0.535235944299*pb],
[[[550.0*GeV, 380.0*GeV, 375.0*GeV], [550.0*GeV, 375.0*GeV]], 0.677911396723*pb],
[[[550.0*GeV, 405.0*GeV, 400.0*GeV], [550.0*GeV, 400.0*GeV]], 0.796963756185*pb],
[[[550.0*GeV, 430.0*GeV, 425.0*GeV], [550.0*GeV, 425.0*GeV]], 0.90368021586*pb],
[[[550.0*GeV, 455.0*GeV, 450.0*GeV], [550.0*GeV, 450.0*GeV]], 0.993651037336*pb],
[[[575.0*GeV, 5.0*GeV, 0.0*GeV], [575.0*GeV, 0.0*GeV]], 0.0166307422158*pb],
[[[575.0*GeV, 30.0*GeV, 25.0*GeV], [575.0*GeV, 25.0*GeV]], 0.0162883357614*pb],
[[[575.0*GeV, 55.0*GeV, 50.0*GeV], [575.0*GeV, 50.0*GeV]], 0.017431410918*pb],
[[[575.0*GeV, 80.0*GeV, 75.0*GeV], [575.0*GeV, 75.0*GeV]], 0.0179118621539*pb],
[[[575.0*GeV, 105.0*GeV, 100.0*GeV], [575.0*GeV, 100.0*GeV]], 0.0184062478129*pb],
[[[575.0*GeV, 130.0*GeV, 125.0*GeV], [575.0*GeV, 125.0*GeV]], 0.0191940456778*pb],
[[[575.0*GeV, 155.0*GeV, 150.0*GeV], [575.0*GeV, 150.0*GeV]], 0.0209239047287*pb],
[[[575.0*GeV, 180.0*GeV, 175.0*GeV], [575.0*GeV, 175.0*GeV]], 0.0250937592414*pb],
[[[575.0*GeV, 205.0*GeV, 200.0*GeV], [575.0*GeV, 200.0*GeV]], 0.031471573141*pb],
[[[575.0*GeV, 230.0*GeV, 225.0*GeV], [575.0*GeV, 225.0*GeV]], 0.0403711746143*pb],
[[[575.0*GeV, 255.0*GeV, 250.0*GeV], [575.0*GeV, 250.0*GeV]], 0.05444168058*pb],
[[[575.0*GeV, 280.0*GeV, 275.0*GeV], [575.0*GeV, 275.0*GeV]], 0.0844403394093*pb],
[[[575.0*GeV, 305.0*GeV, 300.0*GeV], [575.0*GeV, 300.0*GeV]], 0.135946668642*pb],
[[[575.0*GeV, 330.0*GeV, 325.0*GeV], [575.0*GeV, 325.0*GeV]], 0.216175545677*pb],
[[[575.0*GeV, 355.0*GeV, 350.0*GeV], [575.0*GeV, 350.0*GeV]], 0.326547143652*pb],
[[[575.0*GeV, 380.0*GeV, 375.0*GeV], [575.0*GeV, 375.0*GeV]], 0.424476303302*pb],
[[[575.0*GeV, 405.0*GeV, 400.0*GeV], [575.0*GeV, 400.0*GeV]], 0.519646194855*pb],
[[[575.0*GeV, 430.0*GeV, 425.0*GeV], [575.0*GeV, 425.0*GeV]], 0.612650719415*pb],
[[[575.0*GeV, 455.0*GeV, 450.0*GeV], [575.0*GeV, 450.0*GeV]], 0.693631995286*pb],
[[[575.0*GeV, 480.0*GeV, 475.0*GeV], [575.0*GeV, 475.0*GeV]], 0.751031860237*pb],
[[[600.0*GeV, 5.0*GeV, 0.0*GeV], [600.0*GeV, 0.0*GeV]], 0.0146086860333*pb],
[[[600.0*GeV, 30.0*GeV, 25.0*GeV], [600.0*GeV, 25.0*GeV]], 0.0146261076801*pb],
[[[600.0*GeV, 55.0*GeV, 50.0*GeV], [600.0*GeV, 50.0*GeV]], 0.0147320937613*pb],
[[[600.0*GeV, 80.0*GeV, 75.0*GeV], [600.0*GeV, 75.0*GeV]], 0.0151954207867*pb],
[[[600.0*GeV, 105.0*GeV, 100.0*GeV], [600.0*GeV, 100.0*GeV]], 0.0155181246911*pb],
[[[600.0*GeV, 130.0*GeV, 125.0*GeV], [600.0*GeV, 125.0*GeV]], 0.0160214513417*pb],
[[[600.0*GeV, 155.0*GeV, 150.0*GeV], [600.0*GeV, 150.0*GeV]], 0.0170779391914*pb],
[[[600.0*GeV, 180.0*GeV, 175.0*GeV], [600.0*GeV, 175.0*GeV]], 0.0196066907289*pb],
[[[600.0*GeV, 205.0*GeV, 200.0*GeV], [600.0*GeV, 200.0*GeV]], 0.0233197570945*pb],
[[[600.0*GeV, 230.0*GeV, 225.0*GeV], [600.0*GeV, 225.0*GeV]], 0.0285090946471*pb],
[[[600.0*GeV, 255.0*GeV, 250.0*GeV], [600.0*GeV, 250.0*GeV]], 0.0368034936657*pb],
[[[600.0*GeV, 280.0*GeV, 275.0*GeV], [600.0*GeV, 275.0*GeV]], 0.0545576817299*pb],
[[[600.0*GeV, 305.0*GeV, 300.0*GeV], [600.0*GeV, 300.0*GeV]], 0.0843055468874*pb],
[[[600.0*GeV, 330.0*GeV, 325.0*GeV], [600.0*GeV, 325.0*GeV]], 0.12968860793*pb],
