#  Mass(GeV)    Width(GeV)   c000   c100   c200   c300
1800.0  2e-17  0.0246431  0.0246431  0.0246431  0.0246428
1800.0  5e-17  0.00604995  0.00604995  0.00604995  0.0060499
1800.0  7e-17  0.00250929  0.00250929  0.00250929  0.00250927
1800.0  1e-16  0.000717269  0.000717269  0.000717269  0.000717267
1800.0  1e-15  6.58959e-16  6.58959e-16  6.58959e-16  6.58959e-16
1800.0  1e-14  1.38121e-120  1.38121e-120  1.38121e-120  1.38121e-120
1800.0  1e-12  0  0  0  0
1800.0  1e-10  0  0  0  0
1050.0  1e-22  0.340711  0.340711  0.340694  0.340505
1050.0  1e-20  0.34056  0.34056  0.340543  0.340354
1050.0  1e-19  0.33919  0.33919  0.339173  0.338985
1050.0  2e-19  0.337674  0.337674  0.337657  0.33747
1050.0  5e-19  0.33317  0.33317  0.333154  0.332969
1050.0  7e-19  0.330203  0.330203  0.330187  0.330004
1050.0  1e-18  0.325806  0.325806  0.32579  0.32561
1050.0  2e-18  0.311594  0.311594  0.311579  0.311407
1050.0  5e-18  0.272791  0.272791  0.272778  0.272631
1050.0  7e-18  0.249811  0.249811  0.249801  0.249667
1050.0  1e-17  0.219135  0.219135  0.219126  0.219011
1050.0  2e-17  0.142754  0.142754  0.142749  0.142678
1050.0  5e-17  0.0422101  0.0422101  0.0422094  0.0421918
1050.0  7e-17  0.0196411  0.0196411  0.0196409  0.0196336
1050.0  1e-16  0.00659417  0.00659417  0.00659414  0.00659213
1050.0  1e-15  8.09702e-13  8.09702e-13  8.09702e-13  8.09702e-13
1050.0  1e-14  3.7926e-81  3.7926e-81  3.7926e-81  3.7926e-81
1050.0  1e-12  0  0  0  0
1050.0  1e-10  0  0  0  0
1450.0  1e-22  0.121401  0.121401  0.121401  0.121376
1450.0  1e-20  0.121344  0.121344  0.121344  0.121318
1450.0  1e-19  0.120826  0.120826  0.120826  0.120801
1450.0  2e-19  0.120254  0.120254  0.120254  0.120229
1450.0  5e-19  0.118554  0.118554  0.118554  0.11853
1450.0  7e-19  0.117436  0.117436  0.117436  0.117411
1450.0  1e-18  0.115778  0.115778  0.115778  0.115755
1450.0  2e-18  0.110434  0.110434  0.110434  0.110411
1450.0  5e-18  0.095925  0.095925  0.095925  0.0959069
1450.0  7e-18  0.0873955  0.0873955  0.0873955  0.0873797
1450.0  1e-17  0.0760882  0.0760882  0.0760882  0.0760752
1450.0  2e-17  0.048397  0.048397  0.048397  0.0483904
1450.0  5e-17  0.0134316  0.0134316  0.0134316  0.0134306
1450.0  7e-17  0.00601823  0.00601823  0.00601823  0.00601795
1450.0  1e-16  0.00191722  0.00191722  0.00191722  0.00191716
1450.0  1e-15  3.14578e-14  3.14578e-14  3.14578e-14  3.14578e-14
1450.0  1e-14  8.12069e-103  8.12069e-103  8.12069e-103  8.12069e-103
1450.0  1e-12  0  0  0  0
1450.0  1e-10  0  0  0  0
950.0  1e-22  0.384351  0.384351  0.384321  0.38405
950.0  1e-20  0.384182  0.384182  0.384152  0.383881
950.0  1e-19  0.382648  0.382648  0.382618  0.382349
950.0  2e-19  0.380952  0.380952  0.380922  0.380654
950.0  5e-19  0.37591  0.37591  0.375881  0.375617
950.0  7e-19  0.372589  0.372589  0.37256  0.372299
950.0  1e-18  0.367666  0.367666  0.367638  0.36738
950.0  2e-18  0.351752  0.351752  0.351725  0.35148
950.0  5e-18  0.308279  0.308279  0.308256  0.308044
950.0  7e-18  0.282514  0.282514  0.282494  0.282301
950.0  1e-17  0.248094  0.248094  0.248077  0.24791
950.0  2e-17  0.162232  0.162232  0.162222  0.162118
950.0  5e-17  0.0485743  0.0485743  0.0485725  0.0485457
950.0  7e-17  0.0228149  0.0228149  0.0228143  0.0228029
950.0  1e-16  0.0077779  0.0077779  0.00777778  0.00777443
950.0  1e-15  1.93293e-12  1.93293e-12  1.93293e-12  1.93293e-12
950.0  1e-14  2.20967e-80  2.20967e-80  2.20967e-80  2.20967e-80
950.0  1e-12  0  0  0  0
950.0  1e-10  0  0  0  0
650.0  1e-22  0.448304  0.448304  0.448102  0.447294
650.0  1e-20  0.448125  0.448125  0.447922  0.447115
650.0  1e-19  0.446496  0.446496  0.446294  0.44549
650.0  2e-19  0.444694  0.444694  0.444493  0.443692
650.0  5e-19  0.439334  0.439334  0.439136  0.438345
650.0  7e-19  0.435799  0.435799  0.435604  0.434819
650.0  1e-18  0.430554  0.430554  0.430361  0.429586
650.0  2e-18  0.413553  0.413553  0.41337  0.412626
650.0  5e-18  0.366726  0.366726  0.366569  0.36591
650.0  7e-18  0.338684  0.338684  0.338541  0.337933
650.0  1e-17  0.300838  0.300838  0.300715  0.300176
650.0  2e-17  0.204072  0.204072  0.203997  0.203633
650.0  5e-17  0.0673836  0.0673836  0.0673654  0.0672484
650.0  7e-17  0.0334848  0.0334848  0.0334775  0.0334206
650.0  1e-16  0.0122962  0.0122962  0.0122942  0.0122741
650.0  1e-15  1.3902e-11  1.3902e-11  1.3902e-11  1.39012e-11
650.0  1e-14  1.72155e-59  1.72155e-59  1.72155e-59  1.72155e-59
650.0  1e-12  0  0  0  0
650.0  1e-10  0  0  0  0
800.0  1e-22  0.453903  0.453903  0.453812  0.453368
800.0  1e-20  0.453711  0.45371  0.45362  0.453176
800.0  1e-19  0.451968  0.451968  0.451877  0.451436
800.0  2e-19  0.45004  0.450039  0.44995  0.44951
800.0  5e-19  0.444308  0.444308  0.444219  0.443785
800.0  7e-19  0.44053  0.44053  0.440442  0.440012
800.0  1e-18  0.434927  0.434927  0.434841  0.434417
800.0  2e-18  0.416795  0.416794  0.416713  0.416307
800.0  5e-18  0.367077  0.367077  0.367009  0.366653
800.0  7e-18  0.337476  0.337476  0.337415  0.337089
800.0  1e-17  0.297752  0.297752  0.2977  0.297415
800.0  2e-17  0.197588  0.197588  0.197558  0.197373
800.0  5e-17  0.0613409  0.0613409  0.0613348  0.0612815
800.0  7e-17  0.02935  0.02935  0.0293478  0.0293237
800.0  1e-16  0.0102267  0.0102267  0.0102262  0.0102185
800.0  1e-15  2.86464e-12  2.86464e-12  2.86464e-12  2.86455e-12
800.0  1e-14  1.75347e-67  1.75347e-67  1.75347e-67  1.75347e-67
800.0  1e-12  0  0  0  0
800.0  1e-10  0  0  0  0
200.0  1e-22  0.231772  0.231226  0  0
200.0  1e-20  0.23169  0.231144  0  0
200.0  1e-19  0.230943  0.230399  0  0
200.0  2e-19  0.230116  0.229574  0  0
200.0  5e-19  0.227655  0.227119  0  0
200.0  7e-19  0.226029  0.225498  0  0
200.0  1e-18  0.223615  0.223089  0  0
200.0  2e-18  0.215764  0.215258  0  0
200.0  5e-18  0.193934  0.193483  0  0
200.0  7e-18  0.180703  0.180285  0  0
200.0  1e-17  0.162638  0.162265  0  0
200.0  2e-17  0.115108  0.114851  0  0
200.0  5e-17  0.0426203  0.0425321  0  0
200.0  7e-17  0.0226303  0.0225858  0  0
200.0  1e-16  0.00905375  0.00903715  0  0
200.0  1e-15  1.1959e-10  1.19589e-10  0  0
200.0  1e-14  1.2643e-50  1.2643e-50  0  0
200.0  1e-12  0  0  0  0
200.0  1e-10  0  0  0  0
850.0  1e-22  0.42198  0.42198  0.421922  0.421547
850.0  1e-20  0.421797  0.421797  0.421738  0.421364
850.0  1e-19  0.420135  0.420135  0.420076  0.419703
850.0  2e-19  0.418295  0.418295  0.418237  0.417866
850.0  5e-19  0.41283  0.41283  0.412772  0.412407
850.0  7e-19  0.409228  0.409228  0.409172  0.408809
850.0  1e-18  0.403889  0.403889  0.403833  0.403476
850.0  2e-18  0.386623  0.386623  0.38657  0.386229
850.0  5e-18  0.339396  0.339396  0.339352  0.339055
850.0  7e-18  0.311363  0.311363  0.311324  0.311053
850.0  1e-17  0.273856  0.273856  0.273822  0.273587
850.0  2e-17  0.17995  0.17995  0.179931  0.179781
850.0  5e-17  0.05451  0.05451  0.0545064  0.0544655
850.0  7e-17  0.0257506  0.0257506  0.0257493  0.0257314
850.0  1e-16  0.00883884  0.00883884  0.00883857  0.00883303
850.0  1e-15  2.64066e-12  2.64066e-12  2.64066e-12  2.64062e-12
850.0  1e-14  1.88404e-70  1.88404e-70  1.88404e-70  1.88404e-70
850.0  1e-12  0  0  0  0
850.0  1e-10  0  0  0  0
300.0  1e-22  0.316308  0.316188  0  0
300.0  1e-20  0.316195  0.316076  0  0
300.0  1e-19  0.315172  0.315053  0  0
300.0  2e-19  0.31404  0.313921  0  0
300.0  5e-19  0.310668  0.310551  0  0
300.0  7e-19  0.308441  0.308325  0  0
300.0  1e-18  0.305133  0.305019  0  0
300.0  2e-18  0.294376  0.294267  0  0
300.0  5e-18  0.264451  0.264356  0  0
300.0  7e-18  0.246307  0.24622  0  0
300.0  1e-17  0.221524  0.221449  0  0
300.0  2e-17  0.1563  0.156253  0  0
300.0  5e-17  0.0570839  0.0570714  0  0
300.0  7e-17  0.0299876  0.0299823  0  0
300.0  1e-16  0.0118143  0.0118127  0  0
300.0  1e-15  5.68668e-11  5.68668e-11  0  0
300.0  1e-14  1.02393e-57  1.02393e-57  0  0
300.0  1e-12  0  0  0  0
300.0  1e-10  0  0  0  0
1250.0  1e-22  0.25348  0.25348  0.25348  0.253375
1250.0  1e-20  0.253361  0.253361  0.25336  0.253256
1250.0  1e-19  0.252281  0.252281  0.25228  0.252177
1250.0  2e-19  0.251086  0.251086  0.251086  0.250983
1250.0  5e-19  0.247539  0.247539  0.247539  0.247438
1250.0  7e-19  0.245204  0.245204  0.245204  0.245104
1250.0  1e-18  0.241746  0.241746  0.241746  0.241648
1250.0  2e-18  0.23059  0.23059  0.23059  0.230497
1250.0  5e-18  0.200297  0.200297  0.200297  0.20022
1250.0  7e-18  0.182483  0.182483  0.182482  0.182414
1250.0  1e-17  0.158861  0.158861  0.158861  0.158804
1250.0  2e-17  0.100996  0.100996  0.100996  0.100964
1250.0  5e-17  0.0279773  0.0279773  0.0279773  0.0279716
1250.0  7e-17  0.0125332  0.0125332  0.0125332  0.0125313
1250.0  1e-16  0.00400099  0.00400099  0.00400099  0.00400059
1250.0  1e-15  2.32191e-13  2.32191e-13  2.32191e-13  2.32191e-13
1250.0  1e-14  6.66378e-83  6.66378e-83  6.66378e-83  6.66378e-83
1250.0  1e-12  0  0  0  0
1250.0  1e-10  0  0  0  0
1350.0  1e-22  0.189334  0.189334  0.189334  0.189233
1350.0  1e-20  0.189242  0.189242  0.189242  0.189141
1350.0  1e-19  0.188407  0.188407  0.188407  0.188307
1350.0  2e-19  0.187485  0.187485  0.187485  0.187385
1350.0  5e-19  0.184746  0.184746  0.184746  0.184649
1350.0  7e-19  0.182944  0.182944  0.182944  0.182848
1350.0  1e-18  0.180277  0.180277  0.180277  0.180183
1350.0  2e-18  0.171684  0.171684  0.171684  0.171596
1350.0  5e-18  0.14845  0.14845  0.14845  0.148377
1350.0  7e-18  0.134856  0.134856  0.134856  0.134793
1350.0  1e-17  0.116919  0.116919  0.116919  0.116867
1350.0  2e-17  0.0734628  0.0734628  0.0734628  0.073436
1350.0  5e-17  0.0199265  0.0199265  0.0199265  0.0199227
1350.0  7e-17  0.00887053  0.00887053  0.00887053  0.00886944
1350.0  1e-16  0.00281914  0.00281914  0.00281914  0.00281897
1350.0  1e-15  5.45412e-14  5.45412e-14  5.45412e-14  5.45412e-14
1350.0  1e-14  2.73653e-101  2.73653e-101  2.73653e-101  2.73653e-101
1350.0  1e-12  0  0  0  0
1350.0  1e-10  0  0  0  0
3500.0  1e-22  0  0  0  0
3500.0  1e-20  0  0  0  0
3500.0  1e-19  0  0  0  0
3500.0  2e-19  0  0  0  0
3500.0  5e-19  0  0  0  0
3500.0  7e-19  0  0  0  0
3500.0  1e-18  0  0  0  0
3500.0  2e-18  0  0  0  0
3500.0  5e-18  0  0  0  0
3500.0  7e-18  0  0  0  0
3500.0  1e-17  0  0  0  0
3500.0  2e-17  0  0  0  0
3500.0  5e-17  0  0  0  0
3500.0  7e-17  0  0  0  0
3500.0  1e-16  0  0  0  0
3500.0  1e-15  0  0  0  0
3500.0  1e-14  0  0  0  0
3500.0  1e-12  0  0  0  0
3500.0  1e-10  0  0  0  0
400.0  1e-22  0.378704  0.378675  0.377684  0
400.0  1e-20  0.378563  0.378534  0.377544  0
400.0  1e-19  0.377288  0.377259  0.376272  0
400.0  2e-19  0.375877  0.375849  0.374866  0
400.0  5e-19  0.371678  0.37165  0.370679  0
400.0  7e-19  0.368907  0.368879  0.367915  0
400.0  1e-18  0.364791  0.364764  0.363812  0
400.0  2e-18  0.351427  0.351401  0.350486  0
400.0  5e-18  0.314396  0.314374  0.313563  0
400.0  7e-18  0.292053  0.292033  0.291284  0
400.0  1e-17  0.261676  0.261659  0.260992  0
400.0  2e-17  0.18257  0.18256  0.182108  0
400.0  5e-17  0.0650966  0.0650944  0.0649462  0
400.0  7e-17  0.0338307  0.0338299  0.0337571  0
400.0  1e-16  0.0131719  0.0131717  0.0131455  0
400.0  1e-15  4.47005e-11  4.47005e-11  4.46985e-11  0
400.0  1e-14  1.09186e-57  1.09186e-57  1.09186e-57  0
400.0  1e-12  0  0  0  0
400.0  1e-10  0  0  0  0
1900.0  1e-22  0.0407244  0.0407244  0.0407244  0.0407242
1900.0  1e-20  0.040704  0.040704  0.040704  0.0407039
1900.0  1e-19  0.0405197  0.0405197  0.0405197  0.0405196
1900.0  2e-19  0.040316  0.040316  0.040316  0.0403158
1900.0  5e-19  0.0397112  0.0397112  0.0397112  0.039711
1900.0  7e-19  0.0393133  0.0393133  0.0393133  0.0393132
1900.0  1e-18  0.0387244  0.0387244  0.0387244  0.0387243
1900.0  2e-18  0.0368279  0.0368279  0.0368279  0.0368277
1900.0  5e-18  0.0317046  0.0317046  0.0317046  0.0317045
1900.0  7e-18  0.0287115  0.0287115  0.0287115  0.0287114
1900.0  1e-17  0.0247685  0.0247685  0.0247685  0.0247684
1900.0  2e-17  0.0152648  0.0152648  0.0152648  0.0152647
1900.0  5e-17  0.00382067  0.00382067  0.00382067  0.00382066
1900.0  7e-17  0.0015882  0.0015882  0.0015882  0.00158819
1900.0  1e-16  0.000449033  0.000449033  0.000449033  0.000449032
1900.0  1e-15  2.07896e-16  2.07896e-16  2.07896e-16  2.07896e-16
1900.0  1e-14  6.64422e-126  6.64422e-126  6.64422e-126  6.64422e-126
1900.0  1e-12  0  0  0  0
1900.0  1e-10  0  0  0  0
1500.0  1e-22  0.113676  0.113676  0.113676  0.113663
1500.0  1e-20  0.113624  0.113624  0.113624  0.113611
1500.0  1e-19  0.113149  0.113149  0.113149  0.113136
1500.0  2e-19  0.112623  0.112623  0.112623  0.11261
1500.0  5e-19  0.111063  0.111063  0.111063  0.11105
1500.0  7e-19  0.110036  0.110036  0.110036  0.110023
1500.0  1e-18  0.108513  0.108513  0.108513  0.108501
1500.0  2e-18  0.103599  0.103599  0.103599  0.103587
1500.0  5e-18  0.0902244  0.0902244  0.0902244  0.0902147
1500.0  7e-18  0.0823366  0.0823366  0.0823366  0.082328
1500.0  1e-17  0.0718491  0.0718491  0.0718491  0.0718418
1500.0  2e-17  0.0459963  0.0459963  0.0459963  0.0459922
1500.0  5e-17  0.0129029  0.0129029  0.0129029  0.0129021
