#  Mass(GeV)   Width(GeV)   c000(Andre)   c100(Andre)   c200(Andre)   c300(Andre)   c000(Suchi)   c100(Suchi)   c200(Suchi)   c300(Suchi)
4.000000e+02  1.000000e-15  3.532545e-11  3.532545e-11  3.526096e-11  0.000000e+00  3.605782e-11  3.605782e-11  0.000000e+00  0.000000e+00
4.000000e+02  1.000000e-14  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
4.000000e+02  1.000000e-12  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
4.000000e+02  1.000000e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
5.000000e+02  1.000000e-22  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  5.657054e-01  5.656914e-01  5.651925e-01  5.630684e-01
5.000000e+02  1.000000e-20  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  5.655060e-01  5.654921e-01  5.649931e-01  5.628693e-01
5.000000e+02  1.000000e-19  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  5.636970e-01  5.636831e-01  5.631843e-01  5.610628e-01
5.000000e+02  2.000000e-19  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  5.616940e-01  5.616801e-01  5.611816e-01  5.590626e-01
5.000000e+02  5.000000e-19  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  5.557294e-01  5.557156e-01  5.552179e-01  5.531068e-01
5.000000e+02  7.000000e-19  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  5.517895e-01  5.517757e-01  5.512787e-01  5.491731e-01
5.000000e+02  1.000000e-18  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  5.459335e-01  5.459198e-01  5.454238e-01  5.433268e-01
5.000000e+02  2.000000e-18  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  5.268689e-01  5.268555e-01  5.263640e-01  5.242976e-01
5.000000e+02  5.000000e-18  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  4.735971e-01  4.735849e-01  4.731139e-01  4.711565e-01
5.000000e+02  7.000000e-18  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  4.410771e-01  4.410657e-01  4.406127e-01  4.387378e-01
5.000000e+02  1.000000e-17  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  3.963457e-01  3.963357e-01  3.959135e-01  3.941702e-01
5.000000e+02  2.000000e-17  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.769343e-01  2.769281e-01  2.766157e-01  2.753135e-01
5.000000e+02  5.000000e-17  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  9.471346e-02  9.471237e-02  9.461094e-02  9.415429e-02
5.000000e+02  7.000000e-17  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  4.727673e-02  4.727641e-02  4.722993e-02  4.700780e-02
5.000000e+02  1.000000e-16  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.735385e-02  1.735379e-02  1.733894e-02  1.726125e-02
5.000000e+02  1.000000e-15  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.199514e-11  1.199514e-11  1.199506e-11  1.198282e-11
5.000000e+02  1.000000e-14  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
5.000000e+02  1.000000e-12  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
5.000000e+02  1.000000e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
5.500000e+02  1.000000e-22  5.718982e-01  5.718982e-01  5.714982e-01  5.702982e-01  5.638118e-01  5.638048e-01  5.634622e-01  5.623007e-01
5.500000e+02  1.000000e-20  5.717246e-01  5.717246e-01  5.713247e-01  5.701250e-01  5.636175e-01  5.636104e-01  5.632679e-01  5.621064e-01
5.500000e+02  1.000000e-19  5.701472e-01  5.701472e-01  5.697485e-01  5.685521e-01  5.618538e-01  5.618468e-01  5.615041e-01  5.603430e-01
5.500000e+02  2.000000e-19  5.683972e-01  5.683972e-01  5.679996e-01  5.668069e-01  5.599006e-01  5.598936e-01  5.595509e-01  5.583901e-01
5.500000e+02  5.000000e-19  5.631627e-01  5.631627e-01  5.627688e-01  5.615871e-01  5.540812e-01  5.540743e-01  5.537314e-01  5.525720e-01
5.500000e+02  7.000000e-19  5.596867e-01  5.596867e-01  5.592952e-01  5.581208e-01  5.502349e-01  5.502280e-01  5.498852e-01  5.487267e-01
5.500000e+02  1.000000e-18  5.544937e-01  5.544937e-01  5.541058e-01  5.529423e-01  5.445147e-01  5.445079e-01  5.441653e-01  5.430086e-01
5.500000e+02  2.000000e-18  5.373747e-01  5.373747e-01  5.369989e-01  5.358713e-01  5.258659e-01  5.258594e-01  5.255181e-01  5.243692e-01
5.500000e+02  5.000000e-18  4.879729e-01  4.879729e-01  4.876316e-01  4.866077e-01  4.735643e-01  4.735585e-01  4.732274e-01  4.721172e-01
5.500000e+02  7.000000e-18  4.568287e-01  4.568287e-01  4.565091e-01  4.555506e-01  4.415161e-01  4.415108e-01  4.411905e-01  4.401152e-01
5.500000e+02  1.000000e-17  4.129778e-01  4.129778e-01  4.126889e-01  4.118224e-01  3.973065e-01  3.973020e-01  3.970014e-01  3.959870e-01
5.500000e+02  2.000000e-17  2.916842e-01  2.916842e-01  2.914802e-01  2.908681e-01  2.786703e-01  2.786677e-01  2.784425e-01  2.776561e-01
5.500000e+02  5.000000e-17  1.000963e-01  1.000963e-01  1.000263e-01  9.981625e-02  9.595158e-02  9.595115e-02  9.587794e-02  9.558146e-02
5.500000e+02  7.000000e-17  4.974196e-02  4.974196e-02  4.970717e-02  4.960279e-02  4.799620e-02  4.799608e-02  4.796293e-02  4.781411e-02
5.500000e+02  1.000000e-16  1.808317e-02  1.808317e-02  1.807052e-02  1.803258e-02  1.764796e-02  1.764794e-02  1.763766e-02  1.758400e-02
5.500000e+02  1.000000e-15  1.356832e-11  1.356832e-11  1.355883e-11  1.353036e-11  1.390988e-11  1.390988e-11  1.390986e-11  1.389634e-11
5.500000e+02  1.000000e-14  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
5.500000e+02  1.000000e-12  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
5.500000e+02  1.000000e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
6.000000e+02  1.000000e-22  5.741982e-01  5.741982e-01  5.738982e-01  5.730982e-01  5.704492e-01  5.704414e-01  5.701584e-01  5.692891e-01
6.000000e+02  1.000000e-20  5.740216e-01  5.740216e-01  5.737216e-01  5.729219e-01  5.702454e-01  5.702376e-01  5.699546e-01  5.690853e-01
6.000000e+02  1.000000e-19  5.724172e-01  5.724172e-01  5.721182e-01  5.713206e-01  5.683963e-01  5.683885e-01  5.681058e-01  5.672364e-01
6.000000e+02  2.000000e-19  5.706371e-01  5.706371e-01  5.703390e-01  5.695440e-01  5.663495e-01  5.663418e-01  5.660594e-01  5.651899e-01
6.000000e+02  5.000000e-19  5.653140e-01  5.653140e-01  5.650187e-01  5.642310e-01  5.602582e-01  5.602505e-01  5.599692e-01  5.590996e-01
6.000000e+02  7.000000e-19  5.617796e-01  5.617796e-01  5.614861e-01  5.607034e-01  5.562375e-01  5.562299e-01  5.559493e-01  5.550798e-01
6.000000e+02  1.000000e-18  5.565003e-01  5.565003e-01  5.562096e-01  5.554342e-01  5.502655e-01  5.502580e-01  5.499785e-01  5.491094e-01
6.000000e+02  2.000000e-18  5.391042e-01  5.391042e-01  5.388225e-01  5.380714e-01  5.308532e-01  5.308461e-01  5.305707e-01  5.297047e-01
6.000000e+02  5.000000e-18  4.889645e-01  4.889645e-01  4.887090e-01  4.880278e-01  4.767947e-01  4.767886e-01  4.765289e-01  4.756855e-01
6.000000e+02  7.000000e-18  4.574023e-01  4.574023e-01  4.571633e-01  4.565260e-01  4.438848e-01  4.438793e-01  4.436318e-01  4.428121e-01
6.000000e+02  1.000000e-17  4.130253e-01  4.130253e-01  4.128095e-01  4.122341e-01  3.986858e-01  3.986811e-01  3.984533e-01  3.976774e-01
6.000000e+02  2.000000e-17  2.906701e-01  2.906701e-01  2.905182e-01  2.901132e-01  2.782452e-01  2.782426e-01  2.780798e-01  2.774766e-01
6.000000e+02  5.000000e-17  9.882279e-02  9.882279e-02  9.877117e-02  9.863348e-02  9.483463e-02  9.483422e-02  9.478602e-02  9.456152e-02
6.000000e+02  7.000000e-17  4.884538e-02  4.884538e-02  4.881986e-02  4.875180e-02  4.719867e-02  4.719855e-02  4.717781e-02  4.706613e-02
6.000000e+02  1.000000e-16  1.763074e-02  1.763074e-02  1.762153e-02  1.759697e-02  1.723886e-02  1.723884e-02  1.723283e-02  1.719294e-02
6.000000e+02  1.000000e-15  1.255841e-11  1.255841e-11  1.255185e-11  1.253436e-11  1.193822e-11  1.193822e-11  1.193822e-11  1.193139e-11
6.000000e+02  1.000000e-14  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
6.000000e+02  1.000000e-12  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
6.000000e+02  1.000000e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
7.000000e+02  1.000000e-22  5.691981e-01  5.691981e-01  5.689982e-01  5.684981e-01  5.737997e-01  5.737622e-01  5.735918e-01  5.730528e-01
7.000000e+02  1.000000e-20  5.690203e-01  5.690203e-01  5.688204e-01  5.683206e-01  5.735847e-01  5.735471e-01  5.733768e-01  5.728378e-01
7.000000e+02  1.000000e-19  5.674050e-01  5.674050e-01  5.672057e-01  5.667072e-01  5.716339e-01  5.715964e-01  5.714265e-01  5.708876e-01
7.000000e+02  2.000000e-19  5.656127e-01  5.656127e-01  5.654140e-01  5.649171e-01  5.694750e-01  5.694376e-01  5.692679e-01  5.687293e-01
7.000000e+02  5.000000e-19  5.602523e-01  5.602523e-01  5.600554e-01  5.595633e-01  5.630515e-01  5.630143e-01  5.628458e-01  5.623077e-01
7.000000e+02  7.000000e-19  5.566926e-01  5.566926e-01  5.564970e-01  5.560080e-01  5.588130e-01  5.587760e-01  5.586082e-01  5.580707e-01
7.000000e+02  1.000000e-18  5.513749e-01  5.513749e-01  5.511811e-01  5.506968e-01  5.525199e-01  5.524831e-01  5.523165e-01  5.517797e-01
7.000000e+02  2.000000e-18  5.338468e-01  5.338468e-01  5.336592e-01  5.331903e-01  5.320846e-01  5.320486e-01  5.318861e-01  5.313531e-01
7.000000e+02  5.000000e-18  4.833022e-01  4.833022e-01  4.831325e-01  4.827079e-01  4.753744e-01  4.753414e-01  4.751918e-01  4.746773e-01
7.000000e+02  7.000000e-18  4.514833e-01  4.514833e-01  4.513247e-01  4.509281e-01  4.410132e-01  4.409825e-01  4.408419e-01  4.403443e-01
7.000000e+02  1.000000e-17  4.067688e-01  4.067688e-01  4.066259e-01  4.062686e-01  3.940448e-01  3.940174e-01  3.938904e-01  3.934225e-01
7.000000e+02  2.000000e-17  2.838523e-01  2.838523e-01  2.837526e-01  2.835032e-01  2.703243e-01  2.703073e-01  2.702211e-01  2.698645e-01
7.000000e+02  5.000000e-17  9.381065e-02  9.381065e-02  9.377769e-02  9.369528e-02  8.770104e-02  8.769799e-02  8.767571e-02  8.755033e-02
7.000000e+02  7.000000e-17  4.552147e-02  4.552147e-02  4.550548e-02  4.546549e-02  4.237697e-02  4.237608e-02  4.236735e-02  4.230725e-02
7.000000e+02  1.000000e-16  1.601541e-02  1.601541e-02  1.600979e-02  1.599572e-02  1.489160e-02  1.489147e-02  1.488929e-02  1.486894e-02
7.000000e+02  1.000000e-15  6.733032e-12  6.733032e-12  6.730667e-12  6.724752e-12  5.116130e-12  5.116130e-12  5.116130e-12  5.115291e-12
7.000000e+02  1.000000e-14  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
7.000000e+02  1.000000e-12  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
7.000000e+02  1.000000e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
8.000000e+02  1.000000e-22  5.413982e-01  5.413982e-01  5.412982e-01  5.408981e-01  5.383936e-01  5.383907e-01  5.383036e-01  5.379405e-01
8.000000e+02  1.000000e-20  5.412162e-01  5.412162e-01  5.411162e-01  5.407164e-01  5.381733e-01  5.381703e-01  5.380833e-01  5.377203e-01
8.000000e+02  1.000000e-19  5.395637e-01  5.395637e-01  5.394639e-01  5.390653e-01  5.361751e-01  5.361720e-01  5.360852e-01  5.357227e-01
8.000000e+02  2.000000e-19  5.377310e-01  5.377310e-01  5.376316e-01  5.372344e-01  5.339655e-01  5.339621e-01  5.338756e-01  5.335136e-01
8.000000e+02  5.000000e-19  5.322557e-01  5.322557e-01  5.321574e-01  5.317641e-01  5.274016e-01  5.273978e-01  5.273120e-01  5.269517e-01
8.000000e+02  7.000000e-19  5.286245e-01  5.286245e-01  5.285269e-01  5.281363e-01  5.230792e-01  5.230750e-01  5.229898e-01  5.226306e-01
8.000000e+02  1.000000e-18  5.232069e-01  5.232069e-01  5.231103e-01  5.227237e-01  5.166742e-01  5.166695e-01  5.165851e-01  5.162276e-01
8.000000e+02  2.000000e-18  5.054075e-01  5.054075e-01  5.053141e-01  5.049406e-01  4.959784e-01  4.959722e-01  4.958905e-01  4.955392e-01
8.000000e+02  5.000000e-18  4.545440e-01  4.545440e-01  4.544600e-01  4.541242e-01  4.393390e-01  4.393300e-01  4.392564e-01  4.389259e-01
8.000000e+02  7.000000e-18  4.228524e-01  4.228524e-01  4.227743e-01  4.224618e-01  4.055575e-01  4.055474e-01  4.054791e-01  4.051639e-01
8.000000e+02  1.000000e-17  3.787151e-01  3.787151e-01  3.786452e-01  3.783653e-01  3.599861e-01  3.599756e-01  3.599150e-01  3.596237e-01
8.000000e+02  2.000000e-17  2.596465e-01  2.596465e-01  2.595986e-01  2.594067e-01  2.428806e-01  2.428721e-01  2.428330e-01  2.426205e-01
8.000000e+02  5.000000e-17  8.243990e-02  8.243990e-02  8.242467e-02  8.236376e-02  7.642575e-02  7.642395e-02  7.641508e-02  7.634699e-02
8.000000e+02  7.000000e-17  3.922060e-02  3.922060e-02  3.921336e-02  3.918438e-02  3.634764e-02  3.634711e-02  3.634391e-02  3.631296e-02
8.000000e+02  1.000000e-16  1.348444e-02  1.348444e-02  1.348195e-02  1.347198e-02  1.249503e-02  1.249495e-02  1.249423e-02  1.248449e-02
8.000000e+02  1.000000e-15  3.234487e-12  3.234487e-12  3.233889e-12  3.231499e-12  5.309570e-12  5.309570e-12  5.309570e-12  5.309471e-12
8.000000e+02  1.000000e-14  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
8.000000e+02  1.000000e-12  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
8.000000e+02  1.000000e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
9.000000e+02  1.000000e-22  5.139982e-01  5.139982e-01  5.139982e-01  5.136982e-01  4.901847e-01  4.901738e-01  4.901217e-01  4.898541e-01
9.000000e+02  1.000000e-20  5.138130e-01  5.138130e-01  5.138130e-01  5.135131e-01  4.899790e-01  4.899682e-01  4.899161e-01  4.896485e-01
9.000000e+02  1.000000e-19  5.121320e-01  5.121320e-01  5.121320e-01  5.118331e-01  4.881140e-01  4.881031e-01  4.880511e-01  4.877839e-01
9.000000e+02  2.000000e-19  5.102689e-01  5.102689e-01  5.102689e-01  5.099711e-01  4.860511e-01  4.860401e-01  4.859882e-01  4.857214e-01
9.000000e+02  5.000000e-19  5.047084e-01  5.047084e-01  5.047084e-01  5.044138e-01  4.799209e-01  4.799098e-01  4.798582e-01  4.795926e-01
9.000000e+02  7.000000e-19  5.010256e-01  5.010256e-01  5.010256e-01  5.007332e-01  4.758821e-01  4.758710e-01  4.758196e-01  4.755549e-01
9.000000e+02  1.000000e-18  4.955382e-01  4.955382e-01  4.955382e-01  4.952490e-01  4.698949e-01  4.698836e-01  4.698326e-01  4.695692e-01
9.000000e+02  2.000000e-18  4.775684e-01  4.775684e-01  4.775684e-01  4.772896e-01  4.505316e-01  4.505200e-01  4.504702e-01  4.502114e-01
9.000000e+02  5.000000e-18  4.266834e-01  4.266834e-01  4.266834e-01  4.264343e-01  3.974658e-01  3.974539e-01  3.974083e-01  3.971655e-01
9.000000e+02  7.000000e-18  3.953006e-01  3.953006e-01  3.953006e-01  3.950698e-01  3.658205e-01  3.658089e-01  3.657663e-01  3.655354e-01
9.000000e+02  1.000000e-17  3.519743e-01  3.519743e-01  3.519743e-01  3.517689e-01  3.232143e-01  3.232034e-01  3.231655e-01  3.229532e-01
9.000000e+02  2.000000e-17  2.371674e-01  2.371674e-01  2.371674e-01  2.370290e-01  2.147165e-01  2.147091e-01  2.146850e-01  2.145330e-01
9.000000e+02  5.000000e-17  7.226927e-02  7.226927e-02  7.226927e-02  7.222709e-02  6.525521e-02  6.525387e-02  6.524888e-02  6.520289e-02
9.000000e+02  7.000000e-17  3.361438e-02  3.361438e-02  3.361438e-02  3.359476e-02  3.063291e-02  3.063254e-02  3.063085e-02  3.061063e-02
9.000000e+02  1.000000e-16  1.121933e-02  1.121933e-02  1.121933e-02  1.121279e-02  1.043024e-02  1.043020e-02  1.042986e-02  1.042375e-02
9.000000e+02  1.000000e-15  1.801100e-12  1.801100e-12  1.801100e-12  1.800049e-12  2.184762e-12  2.184762e-12  2.184762e-12  2.184748e-12
9.000000e+02  1.000000e-14  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
9.000000e+02  1.000000e-12  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
9.000000e+02  1.000000e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
1.000000e+03  1.000000e-22  4.639981e-01  4.639981e-01  4.639981e-01  4.637982e-01  4.277576e-01  4.277576e-01  4.277181e-01  4.275458e-01
