#  Mass(GeV)    Width(GeV)   c000   c100   c200   c300
950.0  5e-19  0.617694  0.617694  0.617657  0.617387
950.0  7e-19  0.613449  0.613449  0.613412  0.613141
950.0  1e-18  0.607116  0.607116  0.607079  0.606809
950.0  2e-18  0.586324  0.586324  0.586288  0.586019
950.0  5e-18  0.527004  0.527004  0.526971  0.526711
950.0  7e-18  0.490106  0.490106  0.490076  0.489825
950.0  1e-17  0.438783  0.438783  0.438756  0.438522
950.0  2e-17  0.300616  0.300616  0.300598  0.300427
950.0  5e-17  0.0954159  0.0954159  0.095412  0.0953597
950.0  7e-17  0.0453868  0.0453868  0.0453854  0.0453626
950.0  1e-16  0.0155894  0.0155894  0.0155891  0.0155823
950.0  1e-15  3.82916e-12  3.82916e-12  3.82916e-12  3.82915e-12
950.0  1e-14  3.28357e-70  3.28357e-70  3.28357e-70  3.28357e-70
950.0  1e-12  0  0  0  0
950.0  1e-10  0  0  0  0
2000.0  1e-22  0.0357674  0.0357674  0.0357674  0.0357674
2000.0  1e-20  0.0357495  0.0357495  0.0357495  0.0357495
2000.0  1e-19  0.0355869  0.0355869  0.0355869  0.0355869
2000.0  2e-19  0.0354072  0.0354072  0.0354072  0.0354072
2000.0  5e-19  0.0348739  0.0348739  0.0348739  0.0348739
2000.0  7e-19  0.0345232  0.0345232  0.0345232  0.0345232
2000.0  1e-18  0.0340044  0.0340044  0.0340044  0.0340044
2000.0  2e-18  0.0323352  0.0323352  0.0323352  0.0323352
2000.0  5e-18  0.0278373  0.0278373  0.0278373  0.0278373
2000.0  7e-18  0.025216  0.025216  0.025216  0.025216
2000.0  1e-17  0.0217681  0.0217681  0.0217681  0.0217681
2000.0  2e-17  0.0134667  0.0134667  0.0134667  0.0134667
2000.0  5e-17  0.00341105  0.00341105  0.00341105  0.00341105
2000.0  7e-17  0.00142291  0.00142291  0.00142291  0.00142291
2000.0  1e-16  0.000401489  0.000401489  0.000401489  0.000401489
2000.0  1e-15  4.6427e-17  4.6427e-17  4.6427e-17  4.6427e-17
2000.0  1e-14  9.65699e-135  9.65699e-135  9.65699e-135  9.65699e-135
2000.0  1e-12  0  0  0  0
2000.0  1e-10  0  0  0  0
1300.0  1e-22  0.427129  0.427129  0.427129  0.426981
1300.0  1e-20  0.426935  0.426935  0.426935  0.426786
1300.0  1e-19  0.425168  0.425168  0.425168  0.42502
1300.0  2e-19  0.423214  0.423214  0.423214  0.423067
1300.0  5e-19  0.417408  0.417408  0.417408  0.417262
1300.0  7e-19  0.413583  0.413583  0.413583  0.413438
1300.0  1e-18  0.407913  0.407913  0.407913  0.40777
1300.0  2e-18  0.389588  0.389588  0.389588  0.389451
1300.0  5e-18  0.339563  0.339563  0.339563  0.339443
1300.0  7e-18  0.309961  0.309961  0.309961  0.309853
1300.0  1e-17  0.270505  0.270505  0.270505  0.270412
1300.0  2e-17  0.172898  0.172898  0.172898  0.172844
1300.0  5e-17  0.0480929  0.0480929  0.0480929  0.048084
1300.0  7e-17  0.0215479  0.0215479  0.0215479  0.0215452
1300.0  1e-16  0.00687464  0.00687464  0.00687464  0.00687418
1300.0  1e-15  1.82054e-13  1.82054e-13  1.82054e-13  1.82054e-13
1300.0  1e-14  1.13079e-90  1.13079e-90  1.13079e-90  1.13079e-90
1300.0  1e-12  0  0  0  0
1300.0  1e-10  0  0  0  0
350.0  1e-22  0.535995  0.535924  0.534324  0
350.0  1e-20  0.53586  0.535788  0.534188  0
350.0  1e-19  0.534625  0.534554  0.532955  0
350.0  2e-19  0.533254  0.533183  0.531585  0
350.0  5e-19  0.529146  0.529075  0.527482  0
350.0  7e-19  0.526413  0.526342  0.524752  0
350.0  1e-18  0.522321  0.52225  0.520665  0
350.0  2e-18  0.508758  0.508687  0.507122  0
350.0  5e-18  0.468993  0.468925  0.467431  0
350.0  7e-18  0.443442  0.443377  0.441938  0
350.0  1e-17  0.406817  0.406757  0.405407  0
350.0  2e-17  0.301193  0.30115  0.300106  0
350.0  5e-17  0.116699  0.116688  0.116276  0
350.0  7e-17  0.0619509  0.0619465  0.0617323  0
350.0  1e-16  0.0244587  0.0244576  0.0243766  0
350.0  1e-15  1.22443e-10  1.22443e-10  1.22439e-10  0
350.0  1e-14  1.64482e-57  1.64482e-57  1.64482e-57  0
350.0  1e-12  0  0  0  0
350.0  1e-10  0  0  0  0
1400.0  1e-22  0.305957  0.305957  0.305957  0.305889
1400.0  1e-20  0.305808  0.305808  0.305808  0.30574
1400.0  1e-19  0.304457  0.304457  0.304457  0.30439
1400.0  2e-19  0.302964  0.302964  0.302964  0.302897
1400.0  5e-19  0.298533  0.298533  0.298533  0.298467
1400.0  7e-19  0.295619  0.295619  0.295619  0.295554
1400.0  1e-18  0.291309  0.291309  0.291309  0.291244
1400.0  2e-18  0.27744  0.27744  0.27744  0.277379
1400.0  5e-18  0.240059  0.240059  0.240059  0.240008
1400.0  7e-18  0.218254  0.218254  0.218254  0.218209
1400.0  1e-17  0.189531  0.189531  0.189531  0.189493
1400.0  2e-17  0.119956  0.119956  0.119956  0.119936
1400.0  5e-17  0.0332331  0.0332331  0.0332331  0.0332302
1400.0  7e-17  0.0149181  0.0149181  0.0149181  0.0149173
1400.0  1e-16  0.00477136  0.00477136  0.00477136  0.00477122
1400.0  1e-15  1.27044e-13  1.27044e-13  1.27044e-13  1.27044e-13
1400.0  1e-14  1.31923e-90  1.31923e-90  1.31923e-90  1.31923e-90
1400.0  1e-12  0  0  0  0
1400.0  1e-10  0  0  0  0
1250.0  1e-22  0.469698  0.469698  0.469697  0.469554
1250.0  1e-20  0.469492  0.469492  0.469491  0.469348
1250.0  1e-19  0.467625  0.467625  0.467625  0.467482
1250.0  2e-19  0.46556  0.46556  0.46556  0.465418
1250.0  5e-19  0.45942  0.45942  0.45942  0.45928
1250.0  7e-19  0.455373  0.455373  0.455372  0.455233
1250.0  1e-18  0.449369  0.449369  0.449368  0.449231
1250.0  2e-18  0.42993  0.42993  0.429929  0.429798
1250.0  5e-18  0.37659  0.37659  0.376589  0.376474
1250.0  7e-18  0.344829  0.344829  0.344829  0.344724
1250.0  1e-17  0.30225  0.30225  0.30225  0.302159
1250.0  2e-17  0.195583  0.195583  0.195583  0.195528
1250.0  5e-17  0.0556792  0.0556792  0.0556791  0.0556684
1250.0  7e-17  0.0251837  0.0251837  0.0251837  0.02518
1250.0  1e-16  0.00812667  0.00812667  0.00812667  0.00812587
1250.0  1e-15  3.69351e-13  3.69351e-13  3.69351e-13  3.69351e-13
1250.0  1e-14  1.87543e-80  1.87543e-80  1.87543e-80  1.87543e-80
1250.0  1e-12  0  0  0  0
1250.0  1e-10  0  0  0  0
1800.0  1e-22  0.148248  0.148248  0.148248  0.148245
1800.0  1e-20  0.148166  0.148166  0.148166  0.148163
1800.0  1e-19  0.147423  0.147423  0.147423  0.14742
1800.0  2e-19  0.146602  0.146602  0.146602  0.146599
1800.0  5e-19  0.144173  0.144173  0.144173  0.14417
1800.0  7e-19  0.142579  0.142579  0.142579  0.142576
1800.0  1e-18  0.140226  0.140226  0.140226  0.140223
1800.0  2e-18  0.132698  0.132698  0.132698  0.132695
1800.0  5e-18  0.112741  0.112741  0.112741  0.112738
1800.0  7e-18  0.101327  0.101327  0.101327  0.101325
1800.0  1e-17  0.086558  0.086558  0.086558  0.0865564
1800.0  2e-17  0.0521317  0.0521317  0.0521317  0.0521308
1800.0  5e-17  0.0127196  0.0127196  0.0127196  0.0127194
1800.0  7e-17  0.00528629  0.00528629  0.00528629  0.00528625
1800.0  1e-16  0.00151532  0.00151532  0.00151532  0.00151531
1800.0  1e-15  1.77201e-15  1.77201e-15  1.77201e-15  1.77201e-15
1800.0  1e-14  3.35535e-114  3.35535e-114  3.35535e-114  3.35535e-114
1800.0  1e-12  0  0  0  0
1800.0  1e-10  0  0  0  0
450.0  1e-22  0.588899  0.588884  0.588362  0
450.0  1e-20  0.588746  0.588731  0.58821  0
450.0  1e-19  0.587358  0.587343  0.586821  0
450.0  2e-19  0.585817  0.585802  0.585279  0
450.0  5e-19  0.581198  0.581183  0.580659  0
450.0  7e-19  0.578124  0.578109  0.577584  0
450.0  1e-18  0.573521  0.573506  0.57298  0
450.0  2e-18  0.55826  0.558245  0.557717  0
450.0  5e-18  0.513501  0.513487  0.512963  0
450.0  7e-18  0.484756  0.484743  0.484228  0
450.0  1e-17  0.443609  0.443597  0.443104  0
450.0  2e-17  0.325601  0.325593  0.325199  0
450.0  5e-17  0.123397  0.123395  0.123241  0
450.0  7e-17  0.0648249  0.0648244  0.0647464  0
450.0  1e-16  0.0253085  0.0253084  0.0252801  0
450.0  1e-15  4.40161e-11  4.40161e-11  4.40152e-11  0
450.0  1e-14  2.76141e-60  2.76141e-60  2.76141e-60  0
450.0  1e-12  0  0  0  0
450.0  1e-10  0  0  0  0
3000.0  1e-22  0.00182138  0.00182138  0.00182138  0.00182138
3000.0  1e-20  0.00182002  0.00182002  0.00182002  0.00182002
3000.0  1e-19  0.0018077  0.0018077  0.0018077  0.0018077
3000.0  2e-19  0.00179412  0.00179412  0.00179412  0.00179412
3000.0  5e-19  0.00175401  0.00175401  0.00175401  0.00175401
3000.0  7e-19  0.00172778  0.00172778  0.00172778  0.00172778
3000.0  1e-18  0.00168921  0.00168921  0.00168921  0.00168921
3000.0  2e-18  0.001567  0.001567  0.001567  0.001567
3000.0  5e-18  0.00125251  0.00125251  0.00125251  0.00125251
3000.0  7e-18  0.00107982  0.00107982  0.00107982  0.00107982
3000.0  1e-17  0.000865522  0.000865522  0.000865522  0.000865522
3000.0  2e-17  0.000417935  0.000417935  0.000417935  0.000417935
3000.0  5e-17  5.00547e-05  5.00547e-05  5.00547e-05  5.00547e-05
3000.0  7e-17  1.26882e-05  1.26882e-05  1.26882e-05  1.26882e-05
3000.0  1e-16  1.7211e-06  1.7211e-06  1.7211e-06  1.7211e-06
3000.0  1e-15  1.87097e-28  1.87097e-28  1.87097e-28  1.87097e-28
3000.0  1e-14  8.02612e-237  8.02612e-237  8.02612e-237  8.02612e-237
3000.0  1e-12  0  0  0  0
3000.0  1e-10  0  0  0  0
2800.0  1e-22  0.00738747  0.00738747  0.00738747  0.00738747
2800.0  1e-20  0.00738227  0.00738227  0.00738227  0.00738227
2800.0  1e-19  0.00733523  0.00733523  0.00733523  0.00733523
2800.0  2e-19  0.00728336  0.00728336  0.00728336  0.00728336
2800.0  5e-19  0.00713014  0.00713014  0.00713014  0.00713014
2800.0  7e-19  0.00702996  0.00702996  0.00702996  0.00702996
2800.0  1e-18  0.00688259  0.00688259  0.00688259  0.00688259
2800.0  2e-18  0.00641531  0.00641531  0.00641531  0.00641531
2800.0  5e-18  0.00520925  0.00520925  0.00520925  0.00520925
2800.0  7e-18  0.00454302  0.00454302  0.00454302  0.00454302
2800.0  1e-17  0.00370954  0.00370954  0.00370954  0.00370954
2800.0  2e-17  0.00192086  0.00192086  0.00192086  0.00192086
2800.0  5e-17  0.000293496  0.000293496  0.000293496  0.000293496
2800.0  7e-17  8.81277e-05  8.81277e-05  8.81277e-05  8.81277e-05
2800.0  1e-16  1.52928e-05  1.52928e-05  1.52928e-05  1.52928e-05
2800.0  1e-15  1.30454e-24  1.30454e-24  1.30454e-24  1.30454e-24
2800.0  1e-14  6.1089e-201  6.1089e-201  6.1089e-201  6.1089e-201
2800.0  1e-12  0  0  0  0
2800.0  1e-10  0  0  0  0
1050.0  1e-22  0.579696  0.579696  0.579662  0.579429
1050.0  1e-20  0.579478  0.579478  0.579443  0.579211
1050.0  1e-19  0.577492  0.577492  0.577458  0.577226
1050.0  2e-19  0.575292  0.575292  0.575258  0.575027
1050.0  5e-19  0.568736  0.568736  0.568703  0.568474
1050.0  7e-19  0.564401  0.564401  0.564369  0.56414
1050.0  1e-18  0.557952  0.557952  0.55792  0.557693
1050.0  2e-18  0.53691  0.53691  0.53688  0.53666
1050.0  5e-18  0.477924  0.477924  0.4779  0.477698
1050.0  7e-18  0.441927  0.441927  0.441907  0.441718
1050.0  1e-17  0.392634  0.392634  0.392619  0.392448
1050.0  2e-17  0.263741  0.263741  0.263733  0.263616
1050.0  5e-17  0.0808682  0.0808682  0.080867  0.0808345
1050.0  7e-17  0.0378812  0.0378812  0.0378809  0.0378672
1050.0  1e-16  0.0127629  0.0127629  0.0127628  0.012759
1050.0  1e-15  1.37215e-12  1.37215e-12  1.37215e-12  1.37215e-12
1050.0  1e-14  3.79346e-81  3.79346e-81  3.79346e-81  3.79346e-81
1050.0  1e-12  0  0  0  0
1050.0  1e-10  0  0  0  0
850.0  1e-22  0.662133  0.662133  0.662073  0.661737
850.0  1e-20  0.661925  0.661925  0.661866  0.661529
850.0  1e-19  0.66004  0.66004  0.65998  0.659643
850.0  2e-19  0.657948  0.657948  0.657888  0.657551
850.0  5e-19  0.65169  0.65169  0.65163  0.651292
850.0  7e-19  0.647533  0.647533  0.647474  0.647135
850.0  1e-18  0.641322  0.641322  0.641263  0.640925
850.0  2e-18  0.620843  0.620843  0.620785  0.620445
850.0  5e-18  0.561734  0.561734  0.56168  0.561347
850.0  7e-18  0.524501  0.524501  0.52445  0.524126
850.0  1e-17  0.472169  0.472169  0.472123  0.471817
850.0  2e-17  0.328428  0.328428  0.328398  0.328165
850.0  5e-17  0.107345  0.107345  0.107339  0.107261
850.0  7e-17  0.0516893  0.0516893  0.0516869  0.0516511
850.0  1e-16  0.0179702  0.0179702  0.0179697  0.0179582
850.0  1e-15  4.88599e-12  4.88599e-12  4.88599e-12  4.88593e-12
850.0  1e-14  1.88404e-70  1.88404e-70  1.88404e-70  1.88404e-70
850.0  1e-12  0  0  0  0
850.0  1e-10  0  0  0  0
2600.0  1e-22  0.0149861  0.0149861  0.0149861  0.0149861
2600.0  1e-20  0.0149762  0.0149762  0.0149762  0.0149762
2600.0  1e-19  0.0148871  0.0148871  0.0148871  0.0148871
2600.0  2e-19  0.0147887  0.0147887  0.0147887  0.0147887
2600.0  5e-19  0.014498  0.014498  0.014498  0.014498
2600.0  7e-19  0.0143079  0.0143079  0.0143079  0.0143079
2600.0  1e-18  0.0140279  0.0140279  0.0140279  0.0140279
2600.0  2e-18  0.0131387  0.0131387  0.0131387  0.0131387
2600.0  5e-18  0.0108302  0.0108302  0.0108302  0.0108302
2600.0  7e-18  0.00954438  0.00954438  0.00954438  0.00954438
2600.0  1e-17  0.0079212  0.0079212  0.0079212  0.0079212
2600.0  2e-17  0.00434757  0.00434757  0.00434757  0.00434757
2600.0  5e-17  0.000804231  0.000804231  0.000804231  0.000804231
2600.0  7e-17  0.000274999  0.000274999  0.000274999  0.000274999
2600.0  1e-16  5.78542e-05  5.78542e-05  5.78542e-05  5.78542e-05
2600.0  1e-15  1.5819e-21  1.5819e-21  1.5819e-21  1.5819e-21
2600.0  1e-14  3.13137e-173  3.13137e-173  3.13137e-173  3.13137e-173
2600.0  1e-12  0  0  0  0
2600.0  1e-10  0  0  0  0
50.0  1e-22  6.90514e-07  0  0  0
50.0  1e-20  6.90492e-07  0  0  0
50.0  1e-19  6.90294e-07  0  0  0
50.0  2e-19  6.90075e-07  0  0  0
50.0  5e-19  6.89415e-07  0  0  0
50.0  7e-19  6.88976e-07  0  0  0
50.0  1e-18  6.88318e-07  0  0  0
50.0  2e-18  6.86129e-07  0  0  0
50.0  5e-18  6.79609e-07  0  0  0
50.0  7e-18  6.753e-07  0  0  0
50.0  1e-17  6.68891e-07  0  0  0
50.0  2e-17  6.48005e-07  0  0  0
50.0  5e-17  5.89489e-07  0  0  0
50.0  7e-17  5.53672e-07  0  0  0
50.0  1e-16  5.04267e-07  0  0  0
50.0  1e-15  3.48017e-08  0  0  0
50.0  1e-14  1.39386e-19  0  0  0
50.0  1e-12  0  0  0  0
50.0  1e-10  0  0  0  0
2400.0  1e-22  0.0178982  0.0178982  0.0178982  0.0178982
2400.0  1e-20  0.0178869  0.0178869  0.0178869  0.0178869
2400.0  1e-19  0.0177844  0.0177844  0.0177844  0.0177844
2400.0  2e-19  0.0176713  0.0176713  0.0176713  0.0176713
2400.0  5e-19  0.017337  0.017337  0.017337  0.017337
2400.0  7e-19  0.0171181  0.0171181  0.0171181  0.0171181
2400.0  1e-18  0.0167958  0.0167958  0.0167958  0.0167958
2400.0  2e-18  0.0157707  0.0157707  0.0157707  0.0157707
2400.0  5e-18  0.0130989  0.0130989  0.0130989  0.0130989
2400.0  7e-18  0.0116034  0.0116034  0.0116034  0.0116034
2400.0  1e-17  0.00970633  0.00970633  0.00970633  0.00970633
2400.0  2e-17  0.00547814  0.00547814  0.00547814  0.00547814
2400.0  5e-17  0.00111383  0.00111383  0.00111383  0.00111383
2400.0  7e-17  0.000406937  0.000406937  0.000406937  0.000406937
2400.0  1e-16  9.44975e-05  9.44975e-05  9.44975e-05  9.44975e-05
2400.0  1e-15  6.73155e-20  6.73155e-20  6.73155e-20  6.73155e-20
2400.0  1e-14  8.97627e-152  8.97627e-152  8.97627e-152  8.97627e-152
2400.0  1e-12  0  0  0  0
2400.0  1e-10  0  0  0  0
300.0  1e-22  0.481545  0.48145  0  0
300.0  1e-20  0.481424  0.481329  0  0
300.0  1e-19  0.480327  0.480232  0  0
300.0  2e-19  0.479109  0.479014  0  0
300.0  5e-19  0.475459  0.475363  0  0
300.0  7e-19  0.473029  0.472933  0  0
300.0  1e-18  0.46939  0.469294  0  0
300.0  2e-18  0.457325  0.457228  0  0
300.0  5e-18  0.421897  0.421802  0  0
300.0  7e-18  0.399096  0.399004  0  0
300.0  1e-17  0.36637  0.366283  0  0
300.0  2e-17  0.27175  0.271684  0  0
300.0  5e-17  0.105772  0.105751  0  0
300.0  7e-17  0.0563107  0.0563014  0  0
300.0  1e-16  0.0223223  0.0223196  0  0
300.0  1e-15  1.12486e-10  1.12486e-10  0  0
300.0  1e-14  1.6271e-57  1.6271e-57  0  0
300.0  1e-12  0  0  0  0
300.0  1e-10  0  0  0  0
1200.0  1e-22  0.493916  0.493916  0.493908  0.493785
1200.0  1e-20  0.493706  0.493706  0.493698  0.493575
1200.0  1e-19  0.4918  0.4918  0.491793  0.49167
1200.0  2e-19  0.489692  0.489692  0.489684  0.489562
1200.0  5e-19  0.483419  0.483419  0.483411  0.48329
1200.0  7e-19  0.479281  0.479281  0.479273  0.479152
1200.0  1e-18  0.473139  0.473139  0.473131  0.473011
1200.0  2e-18  0.453219  0.453219  0.453212  0.453096
1200.0  5e-18  0.398312  0.398312  0.398306  0.3982
1200.0  7e-18  0.365447  0.365447  0.365441  0.365344
1200.0  1e-17  0.321193  0.321193  0.321189  0.321102
1200.0  2e-17  0.209375  0.209375  0.209372  0.209316
1200.0  5e-17  0.0605215  0.0605215  0.0605212  0.0605071
1200.0  7e-17  0.0276073  0.0276073  0.0276072  0.0276017
1200.0  1e-16  0.00901616  0.00901616  0.00901614  0.00901472
1200.0  1e-15  6.47187e-13  6.47187e-13  6.47187e-13  6.47187e-13
1200.0  1e-14  2.35416e-80  2.35416e-80  2.35416e-80  2.35416e-80
1200.0  1e-12  0  0  0  0
1200.0  1e-10  0  0  0  0
500.0  1e-22  0.63527  0.635265  0.634868  0.633285
500.0  1e-20  0.635114  0.635109  0.634712  0.633129
500.0  1e-19  0.633698  0.633693  0.633295  0.63171
500.0  2e-19  0.632124  0.632119  0.63172  0.630133
500.0  5e-19  0.627402  0.627396  0.626996  0.625402
500.0  7e-19  0.624253  0.624248  0.623845  0.622247
500.0  1e-18  0.61953  0.619525  0.619121  0.617517
500.0  2e-18  0.603808  0.603802  0.603393  0.601775
500.0  5e-18  0.557189  0.557183  0.556772  0.555146
500.0  7e-18  0.526913  0.526908  0.526501  0.524895
500.0  1e-17  0.483199  0.483194  0.482803  0.481249
500.0  2e-17  0.355973  0.35597  0.355656  0.35438
500.0  5e-17  0.134276  0.134275  0.134158  0.13363
500.0  7e-17  0.0699213  0.0699211  0.0698633  0.0695879
