txName: T2ttoff
constraint: [[['b','W']],[['b','W']]]
condition: None
conditionDescription: None
susyProcess: pp --> stop stop, stop  --> top^* lsp
figureUrl: https://twiki.cern.ch/twiki/pub/CMSPublic/PhysicsResultsSUS13019/T2tt-SUS13019-final_XSEC.png
dataUrl: https://twiki.cern.ch/twiki/pub/CMSPublic/PhysicsResultsSUS13019/T2tt-SUS13019-final_XSEC.root
source: CMS
validated: True
axes: [[x, y], [x, y]]
upperLimits: [[[[150*GeV,0*GeV],[150*GeV,0*GeV]],19.425*pb],
[[[400*GeV,300*GeV],[400*GeV,300*GeV]],5.2093*pb],
[[[425*GeV,275*GeV],[425*GeV,275*GeV]],2.153*pb],
[[[425*GeV,300*GeV],[425*GeV,300*GeV]],3.3432*pb],
[[[425*GeV,325*GeV],[425*GeV,325*GeV]],5.5607*pb],
[[[450*GeV,300*GeV],[450*GeV,300*GeV]],2.1752*pb],
[[[450*GeV,325*GeV],[450*GeV,325*GeV]],3.471*pb],
[[[450*GeV,350*GeV],[450*GeV,350*GeV]],7.9204*pb],
[[[475*GeV,325*GeV],[475*GeV,325*GeV]],2.3552*pb],
[[[475*GeV,350*GeV],[475*GeV,350*GeV]],3.2284*pb],
[[[475*GeV,375*GeV],[475*GeV,375*GeV]],7.1153*pb],
[[[500*GeV,350*GeV],[500*GeV,350*GeV]],2.1604*pb],
[[[500*GeV,375*GeV],[500*GeV,375*GeV]],2.3412*pb],
[[[500*GeV,400*GeV],[500*GeV,400*GeV]],7.6505*pb],
[[[525*GeV,375*GeV],[525*GeV,375*GeV]],1.9395*pb],
[[[525*GeV,400*GeV],[525*GeV,400*GeV]],2.6814*pb],
[[[525*GeV,425*GeV],[525*GeV,425*GeV]],4.9638*pb],
[[[550*GeV,400*GeV],[550*GeV,400*GeV]],1.3872*pb],
[[[550*GeV,425*GeV],[550*GeV,425*GeV]],2.2909*pb],
[[[550*GeV,450*GeV],[550*GeV,450*GeV]],3.7108*pb],
[[[575*GeV,425*GeV],[575*GeV,425*GeV]],1.2619*pb],
[[[575*GeV,450*GeV],[575*GeV,450*GeV]],2.9503*pb],
[[[575*GeV,475*GeV],[575*GeV,475*GeV]],5.181*pb],
[[[600*GeV,450*GeV],[600*GeV,450*GeV]],1.5996*pb],
[[[600*GeV,475*GeV],[600*GeV,475*GeV]],2.1674*pb],
[[[600*GeV,500*GeV],[600*GeV,500*GeV]],3.0609*pb],
[[[625*GeV,475*GeV],[625*GeV,475*GeV]],1.1763*pb],
[[[625*GeV,500*GeV],[625*GeV,500*GeV]],2.7355*pb],
[[[625*GeV,525*GeV],[625*GeV,525*GeV]],3.4588*pb],
[[[650*GeV,500*GeV],[650*GeV,500*GeV]],1.1061*pb],
[[[650*GeV,525*GeV],[650*GeV,525*GeV]],1.6777*pb],
[[[650*GeV,550*GeV],[650*GeV,550*GeV]],4.5744*pb],
[[[675*GeV,525*GeV],[675*GeV,525*GeV]],1.3409*pb],
[[[675*GeV,550*GeV],[675*GeV,550*GeV]],2.0684*pb],
[[[675*GeV,575*GeV],[675*GeV,575*GeV]],3.4095*pb],
[[[700*GeV,550*GeV],[700*GeV,550*GeV]],1.0741*pb],
[[[700*GeV,575*GeV],[700*GeV,575*GeV]],2.3944*pb],
[[[700*GeV,600*GeV],[700*GeV,600*GeV]],3.0098*pb],
[[[725*GeV,575*GeV],[725*GeV,575*GeV]],1.1123*pb],
[[[725*GeV,600*GeV],[725*GeV,600*GeV]],2.1631*pb],
[[[725*GeV,625*GeV],[725*GeV,625*GeV]],2.8057*pb],
[[[750*GeV,600*GeV],[750*GeV,600*GeV]],1.0513*pb],
[[[750*GeV,625*GeV],[750*GeV,625*GeV]],1.8033*pb],
[[[750*GeV,650*GeV],[750*GeV,650*GeV]],2.4462*pb],
[[[775*GeV,625*GeV],[775*GeV,625*GeV]],1.1287*pb],
[[[775*GeV,650*GeV],[775*GeV,650*GeV]],1.7432*pb],
[[[775*GeV,675*GeV],[775*GeV,675*GeV]],2.7433*pb],
[[[800*GeV,650*GeV],[800*GeV,650*GeV]],1.1517*pb],
[[[800*GeV,675*GeV],[800*GeV,675*GeV]],1.9423*pb],
[[[825*GeV,675*GeV],[825*GeV,675*GeV]],1.1245*pb],
[[[825*GeV,700*GeV],[825*GeV,700*GeV]],1.5668*pb],
[[[850*GeV,700*GeV],[850*GeV,700*GeV]],1.1648*pb],
[[[875*GeV,725*GeV],[875*GeV,725*GeV]],0.96986*pb],
[[[900*GeV,750*GeV],[900*GeV,750*GeV]],0.91558*pb]]
