#          mHc_GeV            mH0_GeV          width_GeV                eff
     3.0000000e+02      2.9984300e+02      2.1940000e-14      2.3930000e-05
     3.0000000e+02      2.9984300e+02      1.6455000e-14      7.9311000e-05
     3.0000000e+02      2.9984300e+02      1.3164000e-14      1.7871000e-04
     3.0000000e+02      2.9984300e+02      1.0970000e-14      3.1378000e-04
     3.0000000e+02      2.9984300e+02      9.4028571e-15      4.8470000e-04
     3.0000000e+02      2.9984300e+02      8.2275000e-15      6.8647000e-04
     3.0000000e+02      2.9984300e+02      7.3133333e-15      9.0088000e-04
     3.0000000e+02      2.9984300e+02      6.5820000e-15      1.1315000e-03
     3.0000000e+02      2.9984300e+02      4.3880000e-15      2.2868000e-03
     3.0000000e+02      2.9984300e+02      3.2910000e-15      3.2605000e-03
     3.0000000e+02      2.9984300e+02      2.6328000e-15      3.9890000e-03
     3.0000000e+02      2.9984300e+02      2.1940000e-15      4.5198000e-03
     3.0000000e+02      2.9984300e+02      1.6455000e-15      5.1272000e-03
     3.0000000e+02      2.9984300e+02      1.3164000e-15      5.3746000e-03
     3.0000000e+02      2.9984300e+02      1.0970000e-15      5.4122000e-03
     3.0000000e+02      2.9984300e+02      9.4028571e-16      5.3584000e-03
     3.0000000e+02      2.9984300e+02      8.2275000e-16      5.2360000e-03
     3.0000000e+02      2.9984300e+02      7.3133333e-16      5.0836000e-03
     3.0000000e+02      2.9984300e+02      6.5820000e-16      4.9204000e-03
     3.0000000e+02      2.9984300e+02      4.3880000e-16      4.1145000e-03
     3.0000000e+02      2.9984300e+02      3.2910000e-16      3.4877000e-03
     3.0000000e+02      2.9984300e+02      2.6328000e-16      3.0004000e-03
     3.0000000e+02      2.9984300e+02      2.1940000e-16      2.6395000e-03
     3.0000000e+02      2.9984300e+02      1.6455000e-16      2.1057000e-03
     3.0000000e+02      2.9984300e+02      1.3164000e-16      1.7552000e-03
     3.0000000e+02      2.9984300e+02      1.0970000e-16      1.4963000e-03
     3.0000000e+02      2.9984300e+02      9.4028571e-17      1.3121000e-03
     3.0000000e+02      2.9984300e+02      8.2275000e-17      1.1584000e-03
     3.0000000e+02      2.9984300e+02      7.3133333e-17      1.0455000e-03
     3.0000000e+02      2.9984300e+02      6.5820000e-17      9.5125000e-04
     4.0000000e+02      3.9984300e+02      6.5820000e-14      3.9322000e-09
     4.0000000e+02      3.9984300e+02      4.3880000e-14      2.7733000e-07
     4.0000000e+02      3.9984300e+02      3.2910000e-14      1.5675000e-06
     4.0000000e+02      3.9984300e+02      2.6328000e-14      6.2017000e-06
     4.0000000e+02      3.9984300e+02      2.1940000e-14      1.6634000e-05
     4.0000000e+02      3.9984300e+02      1.6455000e-14      6.2448000e-05
     4.0000000e+02      3.9984300e+02      1.3164000e-14      1.4809000e-04
     4.0000000e+02      3.9984300e+02      1.0970000e-14      2.7729000e-04
     4.0000000e+02      3.9984300e+02      9.4028571e-15      4.4768000e-04
     4.0000000e+02      3.9984300e+02      8.2275000e-15      6.4384000e-04
     4.0000000e+02      3.9984300e+02      7.3133333e-15      8.6884000e-04
     4.0000000e+02      3.9984300e+02      6.5820000e-15      1.1122000e-03
     4.0000000e+02      3.9984300e+02      4.3880000e-15      2.3969000e-03
     4.0000000e+02      3.9984300e+02      3.2910000e-15      3.5624000e-03
     4.0000000e+02      3.9984300e+02      2.6328000e-15      4.4751000e-03
     4.0000000e+02      3.9984300e+02      2.1940000e-15      5.1764000e-03
     4.0000000e+02      3.9984300e+02      1.6455000e-15      6.0158000e-03
     4.0000000e+02      3.9984300e+02      1.3164000e-15      6.4250000e-03
     4.0000000e+02      3.9984300e+02      1.0970000e-15      6.5556000e-03
     4.0000000e+02      3.9984300e+02      9.4028571e-16      6.5592000e-03
     4.0000000e+02      3.9984300e+02      8.2275000e-16      6.4515000e-03
     4.0000000e+02      3.9984300e+02      7.3133333e-16      6.3085000e-03
     4.0000000e+02      3.9984300e+02      6.5820000e-16      6.1497000e-03
     4.0000000e+02      3.9984300e+02      4.3880000e-16      5.2432000e-03
     4.0000000e+02      3.9984300e+02      3.2910000e-16      4.4870000e-03
     4.0000000e+02      3.9984300e+02      2.6328000e-16      3.8973000e-03
     4.0000000e+02      3.9984300e+02      2.1940000e-16      3.4302000e-03
     4.0000000e+02      3.9984300e+02      1.6455000e-16      2.7630000e-03
     4.0000000e+02      3.9984300e+02      1.3164000e-16      2.3106000e-03
     4.0000000e+02      3.9984300e+02      1.0970000e-16      1.9811000e-03
     4.0000000e+02      3.9984300e+02      9.4028571e-17      1.7383000e-03
     4.0000000e+02      3.9984300e+02      8.2275000e-17      1.5455000e-03
     4.0000000e+02      3.9984300e+02      7.3133333e-17      1.3925000e-03
     4.0000000e+02      3.9984300e+02      6.5820000e-17      1.2638000e-03
     5.0000000e+02      4.9984300e+02      6.5820000e-14      1.4473000e-08
     5.0000000e+02      4.9984300e+02      4.3880000e-14      2.9571000e-07
     5.0000000e+02      4.9984300e+02      3.2910000e-14      1.3960000e-06
     5.0000000e+02      4.9984300e+02      2.6328000e-14      5.4389000e-06
     5.0000000e+02      4.9984300e+02      2.1940000e-14      1.2932000e-05
     5.0000000e+02      4.9984300e+02      1.6455000e-14      5.0119000e-05
     5.0000000e+02      4.9984300e+02      1.3164000e-14      1.2226000e-04
     5.0000000e+02      4.9984300e+02      1.0970000e-14      2.3618000e-04
     5.0000000e+02      4.9984300e+02      9.4028571e-15      3.8784000e-04
     5.0000000e+02      4.9984300e+02      8.2275000e-15      5.7602000e-04
     5.0000000e+02      4.9984300e+02      7.3133333e-15      7.8764000e-04
     5.0000000e+02      4.9984300e+02      6.5820000e-15      1.0284000e-03
     5.0000000e+02      4.9984300e+02      4.3880000e-15      2.3491000e-03
     5.0000000e+02      4.9984300e+02      3.2910000e-15      3.6126000e-03
     5.0000000e+02      4.9984300e+02      2.6328000e-15      4.6613000e-03
     5.0000000e+02      4.9984300e+02      2.1940000e-15      5.4817000e-03
     5.0000000e+02      4.9984300e+02      1.6455000e-15      6.5560000e-03
     5.0000000e+02      4.9984300e+02      1.3164000e-15      7.1176000e-03
     5.0000000e+02      4.9984300e+02      1.0970000e-15      7.3682000e-03
     5.0000000e+02      4.9984300e+02      9.4028571e-16      7.4189000e-03
     5.0000000e+02      4.9984300e+02      8.2275000e-16      7.3688000e-03
     5.0000000e+02      4.9984300e+02      7.3133333e-16      7.2580000e-03
     5.0000000e+02      4.9984300e+02      6.5820000e-16      7.1040000e-03
     5.0000000e+02      4.9984300e+02      4.3880000e-16      6.1640000e-03
     5.0000000e+02      4.9984300e+02      3.2910000e-16      5.3267000e-03
     5.0000000e+02      4.9984300e+02      2.6328000e-16      4.6574000e-03
     5.0000000e+02      4.9984300e+02      2.1940000e-16      4.1221000e-03
     5.0000000e+02      4.9984300e+02      1.6455000e-16      3.3316000e-03
     5.0000000e+02      4.9984300e+02      1.3164000e-16      2.7990000e-03
     5.0000000e+02      4.9984300e+02      1.0970000e-16      2.4144000e-03
     5.0000000e+02      4.9984300e+02      9.4028571e-17      2.1154000e-03
     5.0000000e+02      4.9984300e+02      8.2275000e-17      1.8805000e-03
     5.0000000e+02      4.9984300e+02      7.3133333e-17      1.6967000e-03
     5.0000000e+02      4.9984300e+02      6.5820000e-17      1.5470000e-03
     6.0000000e+02      5.9984300e+02      6.5820000e-14      4.7081000e-12
     6.0000000e+02      5.9984300e+02      4.3880000e-14      7.3541000e-08
     6.0000000e+02      5.9984300e+02      3.2910000e-14      5.7707000e-07
     6.0000000e+02      5.9984300e+02      2.6328000e-14      2.4907000e-06
     6.0000000e+02      5.9984300e+02      2.1940000e-14      7.7381000e-06
     6.0000000e+02      5.9984300e+02      1.6455000e-14      3.5746000e-05
     6.0000000e+02      5.9984300e+02      1.3164000e-14      9.5658000e-05
     6.0000000e+02      5.9984300e+02      1.0970000e-14      1.9487000e-04
     6.0000000e+02      5.9984300e+02      9.4028571e-15      3.3371000e-04
     6.0000000e+02      5.9984300e+02      8.2275000e-15      5.1074000e-04
     6.0000000e+02      5.9984300e+02      7.3133333e-15      7.1912000e-04
     6.0000000e+02      5.9984300e+02      6.5820000e-15      9.5399000e-04
     6.0000000e+02      5.9984300e+02      4.3880000e-15      2.3352000e-03
     6.0000000e+02      5.9984300e+02      3.2910000e-15      3.7200000e-03
     6.0000000e+02      5.9984300e+02      2.6328000e-15      4.9148000e-03
     6.0000000e+02      5.9984300e+02      2.1940000e-15      5.8776000e-03
     6.0000000e+02      5.9984300e+02      1.6455000e-15      7.1777000e-03
     6.0000000e+02      5.9984300e+02      1.3164000e-15      7.8970000e-03
     6.0000000e+02      5.9984300e+02      1.0970000e-15      8.2523000e-03
     6.0000000e+02      5.9984300e+02      9.4028571e-16      8.3808000e-03
     6.0000000e+02      5.9984300e+02      8.2275000e-16      8.3582000e-03
     6.0000000e+02      5.9984300e+02      7.3133333e-16      8.2630000e-03
     6.0000000e+02      5.9984300e+02      6.5820000e-16      8.1188000e-03
     6.0000000e+02      5.9984300e+02      4.3880000e-16      7.1347000e-03
     6.0000000e+02      5.9984300e+02      3.2910000e-16      6.1967000e-03
     6.0000000e+02      5.9984300e+02      2.6328000e-16      5.4410000e-03
     6.0000000e+02      5.9984300e+02      2.1940000e-16      4.8330000e-03
     6.0000000e+02      5.9984300e+02      1.6455000e-16      3.9384000e-03
     6.0000000e+02      5.9984300e+02      1.3164000e-16      3.3095000e-03
     6.0000000e+02      5.9984300e+02      1.0970000e-16      2.8559000e-03
     6.0000000e+02      5.9984300e+02      9.4028571e-17      2.5043000e-03
     6.0000000e+02      5.9984300e+02      8.2275000e-17      2.2381000e-03
     6.0000000e+02      5.9984300e+02      7.3133333e-17      2.0176000e-03
     6.0000000e+02      5.9984300e+02      6.5820000e-17      1.8380000e-03
     7.0000000e+02      6.9984300e+02      6.5820000e-14      0.0000000e+00
     7.0000000e+02      6.9984300e+02      4.3880000e-14      7.5999000e-10
     7.0000000e+02      6.9984300e+02      3.2910000e-14      3.3857000e-07
     7.0000000e+02      6.9984300e+02      2.6328000e-14      1.4702000e-06
     7.0000000e+02      6.9984300e+02      2.1940000e-14      5.1117000e-06
     7.0000000e+02      6.9984300e+02      1.6455000e-14      2.3492000e-05
     7.0000000e+02      6.9984300e+02      1.3164000e-14      7.3764000e-05
     7.0000000e+02      6.9984300e+02      1.0970000e-14      1.5492000e-04
     7.0000000e+02      6.9984300e+02      9.4028571e-15      2.8358000e-04
     7.0000000e+02      6.9984300e+02      8.2275000e-15      4.4025000e-04
     7.0000000e+02      6.9984300e+02      7.3133333e-15      6.3628000e-04
     7.0000000e+02      6.9984300e+02      6.5820000e-15      8.5664000e-04
     7.0000000e+02      6.9984300e+02      4.3880000e-15      2.2321000e-03
     7.0000000e+02      6.9984300e+02      3.2910000e-15      3.6891000e-03
     7.0000000e+02      6.9984300e+02      2.6328000e-15      4.9976000e-03
     7.0000000e+02      6.9984300e+02      2.1940000e-15      6.0625000e-03
     7.0000000e+02      6.9984300e+02      1.6455000e-15      7.5237000e-03
     7.0000000e+02      6.9984300e+02      1.3164000e-15      8.4121000e-03
     7.0000000e+02      6.9984300e+02      1.0970000e-15      8.8662000e-03
     7.0000000e+02      6.9984300e+02      9.4028571e-16      9.0889000e-03
     7.0000000e+02      6.9984300e+02      8.2275000e-16      9.1138000e-03
     7.0000000e+02      6.9984300e+02      7.3133333e-16      9.0418000e-03
     7.0000000e+02      6.9984300e+02      6.5820000e-16      8.8987000e-03
     7.0000000e+02      6.9984300e+02      4.3880000e-16      7.8866000e-03
     7.0000000e+02      6.9984300e+02      3.2910000e-16      6.9226000e-03
     7.0000000e+02      6.9984300e+02      2.6328000e-16      6.1217000e-03
     7.0000000e+02      6.9984300e+02      2.1940000e-16      5.4217000e-03
     7.0000000e+02      6.9984300e+02      1.6455000e-16      4.4173000e-03
     7.0000000e+02      6.9984300e+02      1.3164000e-16      3.7248000e-03
     7.0000000e+02      6.9984300e+02      1.0970000e-16      3.1971000e-03
     7.0000000e+02      6.9984300e+02      9.4028571e-17      2.8190000e-03
     7.0000000e+02      6.9984300e+02      8.2275000e-17      2.5125000e-03
     7.0000000e+02      6.9984300e+02      7.3133333e-17      2.2878000e-03
     7.0000000e+02      6.9984300e+02      6.5820000e-17      2.0606000e-03
