#          mC1_GeV            mN1_GeV          width_GeV                eff
     9.0678000e+01      9.0505000e+01      6.5820000e-17      3.2202000e-04
     1.9971600e+02      1.9954400e+02      6.5820000e-14      1.3620000e-07
     1.9971600e+02      1.9954400e+02      4.3880000e-14      1.3421000e-06
     1.9971600e+02      1.9954400e+02      3.2910000e-14      5.3645000e-06
     1.9971600e+02      1.9954400e+02      2.6328000e-14      1.3338000e-05
     1.9971600e+02      1.9954400e+02      2.1940000e-14      2.8978000e-05
     1.9971600e+02      1.9954400e+02      1.6455000e-14      8.2678000e-05
     1.9971600e+02      1.9954400e+02      1.3164000e-14      1.7313000e-04
     1.9971600e+02      1.9954400e+02      1.0970000e-14      2.9931000e-04
     1.9971600e+02      1.9954400e+02      9.4028571e-15      4.5165000e-04
     1.9971600e+02      1.9954400e+02      8.2275000e-15      6.2834000e-04
     1.9971600e+02      1.9954400e+02      7.3133333e-15      8.2310000e-04
     1.9971600e+02      1.9954400e+02      6.5820000e-15      1.0248000e-03
     1.9971600e+02      1.9954400e+02      4.3880000e-15      2.0770000e-03
     1.9971600e+02      1.9954400e+02      3.2910000e-15      3.0057000e-03
     1.9971600e+02      1.9954400e+02      2.6328000e-15      3.7449000e-03
     1.9971600e+02      1.9954400e+02      2.1940000e-15      4.3045000e-03
     1.9971600e+02      1.9954400e+02      1.6455000e-15      5.0141000e-03
     1.9971600e+02      1.9954400e+02      1.3164000e-15      5.3721000e-03
     1.9971600e+02      1.9954400e+02      1.0970000e-15      5.5195000e-03
     1.9971600e+02      1.9954400e+02      9.4028571e-16      5.5445000e-03
     1.9971600e+02      1.9954400e+02      8.2275000e-16      5.4968000e-03
     1.9971600e+02      1.9954400e+02      7.3133333e-16      5.4034000e-03
     1.9971600e+02      1.9954400e+02      6.5820000e-16      5.2863000e-03
     1.9971600e+02      1.9954400e+02      4.3880000e-16      4.6270000e-03
     1.9971600e+02      1.9954400e+02      3.2910000e-16      4.0417000e-03
     1.9971600e+02      1.9954400e+02      2.6328000e-16      3.5513000e-03
     1.9971600e+02      1.9954400e+02      2.1940000e-16      3.1728000e-03
     1.9971600e+02      1.9954400e+02      1.6455000e-16      2.5989000e-03
     1.9971600e+02      1.9954400e+02      1.3164000e-16      2.1946000e-03
     1.9971600e+02      1.9954400e+02      1.0970000e-16      1.9061000e-03
     1.9971600e+02      1.9954400e+02      9.4028571e-17      1.6782000e-03
     1.9971600e+02      1.9954400e+02      8.2275000e-17      1.5029000e-03
     1.9971600e+02      1.9954400e+02      7.3133333e-17      1.3547000e-03
     1.9971600e+02      1.9954400e+02      6.5820000e-17      1.2390000e-03
     2.9982200e+02      2.9965000e+02      6.5820000e-14      5.6595000e-09
     2.9982200e+02      2.9965000e+02      4.3880000e-14      1.6072000e-07
     2.9982200e+02      2.9965000e+02      3.2910000e-14      1.5510000e-06
     2.9982200e+02      2.9965000e+02      2.6328000e-14      5.5602000e-06
     2.9982200e+02      2.9965000e+02      2.1940000e-14      1.4304000e-05
     2.9982200e+02      2.9965000e+02      1.6455000e-14      5.2831000e-05
     2.9982200e+02      2.9965000e+02      1.3164000e-14      1.2820000e-04
     2.9982200e+02      2.9965000e+02      1.0970000e-14      2.4049000e-04
     2.9982200e+02      2.9965000e+02      9.4028571e-15      3.9012000e-04
     2.9982200e+02      2.9965000e+02      8.2275000e-15      5.6536000e-04
     2.9982200e+02      2.9965000e+02      7.3133333e-15      7.6942000e-04
     2.9982200e+02      2.9965000e+02      6.5820000e-15      9.9532000e-04
     2.9982200e+02      2.9965000e+02      4.3880000e-15      2.2548000e-03
     2.9982200e+02      2.9965000e+02      3.2910000e-15      3.4838000e-03
     2.9982200e+02      2.9965000e+02      2.6328000e-15      4.5386000e-03
     2.9982200e+02      2.9965000e+02      2.1940000e-15      5.3877000e-03
     2.9982200e+02      2.9965000e+02      1.6455000e-15      6.5865000e-03
     2.9982200e+02      2.9965000e+02      1.3164000e-15      7.2947000e-03
     2.9982200e+02      2.9965000e+02      1.0970000e-15      7.6781000e-03
     2.9982200e+02      2.9965000e+02      9.4028571e-16      7.8453000e-03
     2.9982200e+02      2.9965000e+02      8.2275000e-16      7.9058000e-03
     2.9982200e+02      2.9965000e+02      7.3133333e-16      7.8629000e-03
     2.9982200e+02      2.9965000e+02      6.5820000e-16      7.7820000e-03
     2.9982200e+02      2.9965000e+02      4.3880000e-16      7.0337000e-03
     2.9982200e+02      2.9965000e+02      3.2910000e-16      6.2471000e-03
     2.9982200e+02      2.9965000e+02      2.6328000e-16      5.5641000e-03
     2.9982200e+02      2.9965000e+02      2.1940000e-16      4.9955000e-03
     2.9982200e+02      2.9965000e+02      1.6455000e-16      4.1431000e-03
     2.9982200e+02      2.9965000e+02      1.3164000e-16      3.5417000e-03
     2.9982200e+02      2.9965000e+02      1.0970000e-16      3.0724000e-03
     2.9982200e+02      2.9965000e+02      9.4028571e-17      2.7283000e-03
     2.9982200e+02      2.9965000e+02      8.2275000e-17      2.4469000e-03
     2.9982200e+02      2.9965000e+02      7.3133333e-17      2.2119000e-03
     2.9982200e+02      2.9965000e+02      6.5820000e-17      2.0253000e-03
     4.0026800e+02      4.0009600e+02      6.5820000e-14      3.8658000e-09
     4.0026800e+02      4.0009600e+02      4.3880000e-14      1.2030000e-07
     4.0026800e+02      4.0009600e+02      3.2910000e-14      1.0133000e-06
     4.0026800e+02      4.0009600e+02      2.6328000e-14      3.8487000e-06
     4.0026800e+02      4.0009600e+02      2.1940000e-14      1.0429000e-05
     4.0026800e+02      4.0009600e+02      1.6455000e-14      4.2177000e-05
     4.0026800e+02      4.0009600e+02      1.3164000e-14      1.0865000e-04
     4.0026800e+02      4.0009600e+02      1.0970000e-14      2.1113000e-04
     4.0026800e+02      4.0009600e+02      9.4028571e-15      3.5193000e-04
     4.0026800e+02      4.0009600e+02      8.2275000e-15      5.3171000e-04
     4.0026800e+02      4.0009600e+02      7.3133333e-15      7.4011000e-04
     4.0026800e+02      4.0009600e+02      6.5820000e-15      9.7968000e-04
     4.0026800e+02      4.0009600e+02      4.3880000e-15      2.4161000e-03
     4.0026800e+02      4.0009600e+02      3.2910000e-15      3.9342000e-03
     4.0026800e+02      4.0009600e+02      2.6328000e-15      5.3208000e-03
     4.0026800e+02      4.0009600e+02      2.1940000e-15      6.5126000e-03
     4.0026800e+02      4.0009600e+02      1.6455000e-15      8.2609000e-03
     4.0026800e+02      4.0009600e+02      1.3164000e-15      9.3928000e-03
     4.0026800e+02      4.0009600e+02      1.0970000e-15      1.0069000e-02
     4.0026800e+02      4.0009600e+02      9.4028571e-16      1.0464000e-02
     4.0026800e+02      4.0009600e+02      8.2275000e-16      1.0647000e-02
     4.0026800e+02      4.0009600e+02      7.3133333e-16      1.0705000e-02
     4.0026800e+02      4.0009600e+02      6.5820000e-16      1.0674000e-02
     4.0026800e+02      4.0009600e+02      4.3880000e-16      9.9145000e-03
     4.0026800e+02      4.0009600e+02      3.2910000e-16      8.9443000e-03
     4.0026800e+02      4.0009600e+02      2.6328000e-16      8.0608000e-03
     4.0026800e+02      4.0009600e+02      2.1940000e-16      7.3038000e-03
     4.0026800e+02      4.0009600e+02      1.6455000e-16      6.1201000e-03
     4.0026800e+02      4.0009600e+02      1.3164000e-16      5.2577000e-03
     4.0026800e+02      4.0009600e+02      1.0970000e-16      4.5968000e-03
     4.0026800e+02      4.0009600e+02      9.4028571e-17      4.0806000e-03
     4.0026800e+02      4.0009600e+02      8.2275000e-17      3.6752000e-03
     4.0026800e+02      4.0009600e+02      7.3133333e-17      3.3385000e-03
     4.0026800e+02      4.0009600e+02      6.5820000e-17      3.0635000e-03
     5.0023500e+02      5.0006200e+02      6.5820000e-14      1.0035000e-11
     5.0023500e+02      5.0006200e+02      4.3880000e-14      5.4624000e-08
     5.0023500e+02      5.0006200e+02      3.2910000e-14      4.4632000e-07
     5.0023500e+02      5.0006200e+02      2.6328000e-14      2.1589000e-06
     5.0023500e+02      5.0006200e+02      2.1940000e-14      6.1584000e-06
     5.0023500e+02      5.0006200e+02      1.6455000e-14      2.6621000e-05
     5.0023500e+02      5.0006200e+02      1.3164000e-14      7.1699000e-05
     5.0023500e+02      5.0006200e+02      1.0970000e-14      1.5008000e-04
     5.0023500e+02      5.0006200e+02      9.4028571e-15      2.6188000e-04
     5.0023500e+02      5.0006200e+02      8.2275000e-15      4.0964000e-04
     5.0023500e+02      5.0006200e+02      7.3133333e-15      5.8898000e-04
     5.0023500e+02      5.0006200e+02      6.5820000e-15      7.9999000e-04
     5.0023500e+02      5.0006200e+02      4.3880000e-15      2.1417000e-03
     5.0023500e+02      5.0006200e+02      3.2910000e-15      3.6681000e-03
     5.0023500e+02      5.0006200e+02      2.6328000e-15      5.1165000e-03
     5.0023500e+02      5.0006200e+02      2.1940000e-15      6.3842000e-03
     5.0023500e+02      5.0006200e+02      1.6455000e-15      8.3763000e-03
     5.0023500e+02      5.0006200e+02      1.3164000e-15      9.7140000e-03
     5.0023500e+02      5.0006200e+02      1.0970000e-15      1.0588000e-02
     5.0023500e+02      5.0006200e+02      9.4028571e-16      1.1116000e-02
     5.0023500e+02      5.0006200e+02      8.2275000e-16      1.1428000e-02
     5.0023500e+02      5.0006200e+02      7.3133333e-16      1.1573000e-02
     5.0023500e+02      5.0006200e+02      6.5820000e-16      1.1619000e-02
     5.0023500e+02      5.0006200e+02      4.3880000e-16      1.1011000e-02
     5.0023500e+02      5.0006200e+02      3.2910000e-16      1.0058000e-02
     5.0023500e+02      5.0006200e+02      2.6328000e-16      9.1251000e-03
     5.0023500e+02      5.0006200e+02      2.1940000e-16      8.3106000e-03
     5.0023500e+02      5.0006200e+02      1.6455000e-16      7.0188000e-03
     5.0023500e+02      5.0006200e+02      1.3164000e-16      6.0482000e-03
     5.0023500e+02      5.0006200e+02      1.0970000e-16      5.3076000e-03
     5.0023500e+02      5.0006200e+02      9.4028571e-17      4.7257000e-03
     5.0023500e+02      5.0006200e+02      8.2275000e-17      4.2546000e-03
     5.0023500e+02      5.0006200e+02      7.3133333e-17      3.8745000e-03
     5.0023500e+02      5.0006200e+02      6.5820000e-17      3.5586000e-03
     5.9989000e+02      5.9971700e+02      6.5820000e-14      0.0000000e+00
     5.9989000e+02      5.9971700e+02      4.3880000e-14      2.8729000e-08
     5.9989000e+02      5.9971700e+02      3.2910000e-14      1.8173000e-07
     5.9989000e+02      5.9971700e+02      2.6328000e-14      8.9630000e-07
     5.9989000e+02      5.9971700e+02      2.1940000e-14      3.0801000e-06
     5.9989000e+02      5.9971700e+02      1.6455000e-14      1.3775000e-05
     5.9989000e+02      5.9971700e+02      1.3164000e-14      4.7644000e-05
     5.9989000e+02      5.9971700e+02      1.0970000e-14      1.0349000e-04
     5.9989000e+02      5.9971700e+02      9.4028571e-15      1.9551000e-04
     5.9989000e+02      5.9971700e+02      8.2275000e-15      3.1991000e-04
     5.9989000e+02      5.9971700e+02      7.3133333e-15      4.7927000e-04
     5.9989000e+02      5.9971700e+02      6.5820000e-15      6.6630000e-04
     5.9989000e+02      5.9971700e+02      4.3880000e-15      1.9507000e-03
     5.9989000e+02      5.9971700e+02      3.2910000e-15      3.5086000e-03
     5.9989000e+02      5.9971700e+02      2.6328000e-15      5.0720000e-03
     5.9989000e+02      5.9971700e+02      2.1940000e-15      6.4956000e-03
     5.9989000e+02      5.9971700e+02      1.6455000e-15      8.7949000e-03
     5.9989000e+02      5.9971700e+02      1.3164000e-15      1.0364000e-02
     5.9989000e+02      5.9971700e+02      1.0970000e-15      1.1446000e-02
     5.9989000e+02      5.9971700e+02      9.4028571e-16      1.2139000e-02
     5.9989000e+02      5.9971700e+02      8.2275000e-16      1.2586000e-02
     5.9989000e+02      5.9971700e+02      7.3133333e-16      1.2848000e-02
     5.9989000e+02      5.9971700e+02      6.5820000e-16      1.2965000e-02
     5.9989000e+02      5.9971700e+02      4.3880000e-16      1.2510000e-02
     5.9989000e+02      5.9971700e+02      3.2910000e-16      1.1530000e-02
     5.9989000e+02      5.9971700e+02      2.6328000e-16      1.0552000e-02
     5.9989000e+02      5.9971700e+02      2.1940000e-16      9.6205000e-03
     5.9989000e+02      5.9971700e+02      1.6455000e-16      8.1894000e-03
     5.9989000e+02      5.9971700e+02      1.3164000e-16      7.0985000e-03
     5.9989000e+02      5.9971700e+02      1.0970000e-16      6.2197000e-03
     5.9989000e+02      5.9971700e+02      9.4028571e-17      5.5450000e-03
     5.9989000e+02      5.9971700e+02      8.2275000e-17      5.0210000e-03
     5.9989000e+02      5.9971700e+02      7.3133333e-17      4.5766000e-03
     5.9989000e+02      5.9971700e+02      6.5820000e-17      4.2000000e-03
     7.0006500e+02      6.9989100e+02      6.5820000e-14      0.0000000e+00
     7.0006500e+02      6.9989100e+02      4.3880000e-14      2.6031000e-10
     7.0006500e+02      6.9989100e+02      3.2910000e-14      8.6784000e-08
     7.0006500e+02      6.9989100e+02      2.6328000e-14      7.0123000e-07
     7.0006500e+02      6.9989100e+02      2.1940000e-14      2.3860000e-06
     7.0006500e+02      6.9989100e+02      1.6455000e-14      1.1187000e-05
     7.0006500e+02      6.9989100e+02      1.3164000e-14      3.7128000e-05
     7.0006500e+02      6.9989100e+02      1.0970000e-14      8.6663000e-05
     7.0006500e+02      6.9989100e+02      9.4028571e-15      1.6622000e-04
     7.0006500e+02      6.9989100e+02      8.2275000e-15      2.7743000e-04
     7.0006500e+02      6.9989100e+02      7.3133333e-15      4.2435000e-04
     7.0006500e+02      6.9989100e+02      6.5820000e-15      6.0128000e-04
     7.0006500e+02      6.9989100e+02      4.3880000e-15      1.8787000e-03
     7.0006500e+02      6.9989100e+02      3.2910000e-15      3.4687000e-03
     7.0006500e+02      6.9989100e+02      2.6328000e-15      5.0839000e-03
     7.0006500e+02      6.9989100e+02      2.1940000e-15      6.5970000e-03
     7.0006500e+02      6.9989100e+02      1.6455000e-15      9.1113000e-03
     7.0006500e+02      6.9989100e+02      1.3164000e-15      1.0934000e-02
     7.0006500e+02      6.9989100e+02      1.0970000e-15      1.2172000e-02
     7.0006500e+02      6.9989100e+02      9.4028571e-16      1.3043000e-02
     7.0006500e+02      6.9989100e+02      8.2275000e-16      1.3629000e-02
     7.0006500e+02      6.9989100e+02      7.3133333e-16      1.3974000e-02
     7.0006500e+02      6.9989100e+02      6.5820000e-16      1.4144000e-02
     7.0006500e+02      6.9989100e+02      4.3880000e-16      1.3864000e-02
     7.0006500e+02      6.9989100e+02      3.2910000e-16      1.2922000e-02
     7.0006500e+02      6.9989100e+02      2.6328000e-16      1.1889000e-02
     7.0006500e+02      6.9989100e+02      2.1940000e-16      1.0927000e-02
     7.0006500e+02      6.9989100e+02      1.6455000e-16      9.3243000e-03
     7.0006500e+02      6.9989100e+02      1.3164000e-16      8.1128000e-03
     7.0006500e+02      6.9989100e+02      1.0970000e-16      7.1531000e-03
     7.0006500e+02      6.9989100e+02      9.4028571e-17      6.4195000e-03
     7.0006500e+02      6.9989100e+02      8.2275000e-17      5.8000000e-03
     7.0006500e+02      6.9989100e+02      7.3133333e-17      5.2872000e-03
     7.0006500e+02      6.9989100e+02      6.5820000e-17      4.8549000e-03
