#: table_doi: 10.17182/hepdata.86565.v1/t19
#: name: Table 18
#: description: Flavor composition of 800 GeV stop R-hadrons simulated using the generic model as a function of radial distance from the interaction point.
#: data_file: data18.yaml
#: data_license:   
#: keyword reactions: P P --> STOP+ STOP-
#: keyword observables: RATIO
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY | LLP
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],,,13000.0
DISTANCE R [M],DISTANCE R [M] LOW,DISTANCE R [M] HIGH,(STOP DBAR)+,error +,error -
1.375,1.35,1.4,0.402,0.010,-0.010
1.425,1.4,1.45,0.400,0.010,-0.010
1.475,1.45,1.5,0.395,0.010,-0.010
1.525,1.5,1.55,0.387,0.010,-0.010
1.575,1.55,1.6,0.379,0.010,-0.010
1.625,1.6,1.65,0.372,0.010,-0.010
1.675,1.65,1.7,0.363,0.010,-0.010
1.725,1.7,1.75,0.353,0.010,-0.010
1.775,1.75,1.8,0.340,0.009,-0.009
1.825,1.8,1.85,0.333,0.009,-0.009
1.875,1.85,1.9,0.321,0.009,-0.009
1.925,1.9,1.95,0.312,0.009,-0.009
1.975,1.95,2.0,0.304,0.009,-0.009
2.025,2.0,2.05,0.298,0.009,-0.009
2.075,2.05,2.1,0.293,0.009,-0.009
2.125,2.1,2.15,0.289,0.009,-0.009
2.175,2.15,2.2,0.283,0.009,-0.009
2.225,2.2,2.25,0.276,0.008,-0.008
2.275,2.25,2.3,0.269,0.008,-0.008
2.325,2.3,2.35,0.252,0.008,-0.008
2.375,2.35,2.4,0.237,0.008,-0.008
2.425,2.4,2.45,0.220,0.008,-0.008
2.475,2.45,2.5,0.211,0.007,-0.007
2.525,2.5,2.55,0.199,0.007,-0.007
2.575,2.55,2.6,0.184,0.007,-0.007
2.625,2.6,2.65,0.171,0.007,-0.007
2.675,2.65,2.7,0.160,0.006,-0.006
2.725,2.7,2.75,0.149,0.006,-0.006
2.775,2.75,2.8,0.144,0.006,-0.006
2.825,2.8,2.85,0.136,0.006,-0.006
2.875,2.85,2.9,0.126,0.006,-0.006
2.925,2.9,2.95,0.119,0.006,-0.006
2.975,2.95,3.0,0.116,0.005,-0.005
3.025,3.0,3.05,0.110,0.005,-0.005
3.075,3.05,3.1,0.104,0.005,-0.005
3.125,3.1,3.15,0.096,0.005,-0.005
3.175,3.15,3.2,0.091,0.005,-0.005
3.225,3.2,3.25,0.086,0.005,-0.005
3.275,3.25,3.3,0.082,0.005,-0.005
3.325,3.3,3.35,0.078,0.004,-0.004
3.375,3.35,3.4,0.073,0.004,-0.004
3.425,3.4,3.45,0.071,0.004,-0.004
3.475,3.45,3.5,0.066,0.004,-0.004
3.525,3.5,3.55,0.062,0.004,-0.004
3.575,3.55,3.6,0.058,0.004,-0.004
3.625,3.6,3.65,0.056,0.004,-0.004
3.675,3.65,3.7,0.052,0.004,-0.004
3.725,3.7,3.75,0.051,0.004,-0.004
3.775,3.75,3.8,0.047,0.003,-0.003
3.825,3.8,3.85,0.042,0.003,-0.003
3.875,3.85,3.9,0.041,0.003,-0.003
3.925,3.9,3.95,0.040,0.003,-0.003
3.975,3.95,4.0,0.039,0.003,-0.003

#: SQRT(S) [GEV],,,13000.0
DISTANCE R [M],DISTANCE R [M] LOW,DISTANCE R [M] HIGH,(STOP SBAR)+,error +,error -
0.025,0.0,0.05,0.083,0.005,-0.005
0.075,0.05,0.1,0.083,0.005,-0.005
0.125,0.1,0.15,0.083,0.005,-0.005
0.175,0.15,0.2,0.083,0.005,-0.005
0.225,0.2,0.25,0.083,0.005,-0.005
0.275,0.25,0.3,0.083,0.005,-0.005
0.325,0.3,0.35,0.083,0.005,-0.005
0.375,0.35,0.4,0.083,0.005,-0.005
0.425,0.4,0.45,0.083,0.005,-0.005
0.475,0.45,0.5,0.083,0.005,-0.005
0.525,0.5,0.55,0.083,0.005,-0.005
0.575,0.55,0.6,0.083,0.005,-0.005
0.625,0.6,0.65,0.083,0.005,-0.005
0.675,0.65,0.7,0.083,0.005,-0.005
0.725,0.7,0.75,0.083,0.005,-0.005
0.775,0.75,0.8,0.083,0.005,-0.005
0.825,0.8,0.85,0.083,0.005,-0.005
0.875,0.85,0.9,0.083,0.005,-0.005
0.925,0.9,0.95,0.083,0.005,-0.005
0.975,0.95,1.0,0.083,0.005,-0.005
1.025,1.0,1.05,0.083,0.005,-0.005
1.075,1.05,1.1,0.083,0.005,-0.005
1.125,1.1,1.15,0.083,0.005,-0.005
1.175,1.15,1.2,0.083,0.005,-0.005
1.225,1.2,1.25,0.083,0.005,-0.005
1.275,1.25,1.3,0.083,0.005,-0.005
1.325,1.3,1.35,0.083,0.005,-0.005
1.375,1.35,1.4,0.082,0.005,-0.005
1.425,1.4,1.45,0.082,0.005,-0.005
1.475,1.45,1.5,0.082,0.005,-0.005
1.525,1.5,1.55,0.079,0.005,-0.005
1.575,1.55,1.6,0.078,0.004,-0.004
1.625,1.6,1.65,0.077,0.004,-0.004
1.675,1.65,1.7,0.075,0.004,-0.004
1.725,1.7,1.75,0.074,0.004,-0.004
1.775,1.75,1.8,0.073,0.004,-0.004
1.825,1.8,1.85,0.072,0.004,-0.004
1.875,1.85,1.9,0.071,0.004,-0.004
1.925,1.9,1.95,0.070,0.004,-0.004
1.975,1.95,2.0,0.068,0.004,-0.004
2.025,2.0,2.05,0.067,0.004,-0.004
2.075,2.05,2.1,0.066,0.004,-0.004
2.125,2.1,2.15,0.066,0.004,-0.004
2.175,2.15,2.2,0.065,0.004,-0.004
2.225,2.2,2.25,0.065,0.004,-0.004
2.275,2.25,2.3,0.064,0.004,-0.004
2.325,2.3,2.35,0.061,0.004,-0.004
2.375,2.35,2.4,0.059,0.004,-0.004
2.425,2.4,2.45,0.057,0.004,-0.004
2.475,2.45,2.5,0.055,0.004,-0.004
2.525,2.5,2.55,0.052,0.004,-0.004
2.575,2.55,2.6,0.050,0.004,-0.004
2.625,2.6,2.65,0.048,0.004,-0.004
2.675,2.65,2.7,0.046,0.003,-0.003
2.725,2.7,2.75,0.045,0.003,-0.003
2.775,2.75,2.8,0.041,0.003,-0.003
2.825,2.8,2.85,0.040,0.003,-0.003
2.875,2.85,2.9,0.039,0.003,-0.003
2.925,2.9,2.95,0.038,0.003,-0.003
2.975,2.95,3.0,0.036,0.003,-0.003
3.025,3.0,3.05,0.034,0.003,-0.003
3.075,3.05,3.1,0.032,0.003,-0.003
3.125,3.1,3.15,0.031,0.003,-0.003
3.175,3.15,3.2,0.029,0.003,-0.003
3.225,3.2,3.25,0.029,0.003,-0.003
3.275,3.25,3.3,0.027,0.003,-0.003
3.325,3.3,3.35,0.025,0.003,-0.003
3.375,3.35,3.4,0.024,0.003,-0.003
3.425,3.4,3.45,0.023,0.002,-0.002
3.475,3.45,3.5,0.022,0.002,-0.002
3.525,3.5,3.55,0.022,0.002,-0.002
3.575,3.55,3.6,0.021,0.002,-0.002
3.625,3.6,3.65,0.020,0.002,-0.002
3.675,3.65,3.7,0.019,0.002,-0.002
3.725,3.7,3.75,0.018,0.002,-0.002
3.775,3.75,3.8,0.017,0.002,-0.002
3.825,3.8,3.85,0.016,0.002,-0.002
3.875,3.85,3.9,0.016,0.002,-0.002
3.925,3.9,3.95,0.015,0.002,-0.002
3.975,3.95,4.0,0.015,0.002,-0.002

#: SQRT(S) [GEV],,,13000.0
DISTANCE R [M],DISTANCE R [M] LOW,DISTANCE R [M] HIGH,(STOP D D),error +,error -
0.025,0.0,0.05,0.005,0.001,-0.001
0.075,0.05,0.1,0.005,0.001,-0.001
0.125,0.1,0.15,0.005,0.001,-0.001
0.175,0.15,0.2,0.005,0.001,-0.001
0.225,0.2,0.25,0.005,0.001,-0.001
0.275,0.25,0.3,0.005,0.001,-0.001
0.325,0.3,0.35,0.005,0.001,-0.001
0.375,0.35,0.4,0.005,0.001,-0.001
0.425,0.4,0.45,0.005,0.001,-0.001
0.475,0.45,0.5,0.005,0.001,-0.001
0.525,0.5,0.55,0.006,0.001,-0.001
0.575,0.55,0.6,0.006,0.001,-0.001
0.625,0.6,0.65,0.006,0.001,-0.001
0.675,0.65,0.7,0.006,0.001,-0.001
0.725,0.7,0.75,0.006,0.001,-0.001
0.775,0.75,0.8,0.006,0.001,-0.001
0.825,0.8,0.85,0.006,0.001,-0.001
0.875,0.85,0.9,0.006,0.001,-0.001
0.925,0.9,0.95,0.007,0.001,-0.001
0.975,0.95,1.0,0.007,0.001,-0.001
1.025,1.0,1.05,0.008,0.001,-0.001
1.075,1.05,1.1,0.008,0.001,-0.001
1.125,1.1,1.15,0.009,0.002,-0.002
1.175,1.15,1.2,0.010,0.002,-0.002
1.225,1.2,1.25,0.012,0.002,-0.002
1.275,1.25,1.3,0.014,0.002,-0.002
1.325,1.3,1.35,0.014,0.002,-0.002
1.375,1.35,1.4,0.016,0.002,-0.002
1.425,1.4,1.45,0.018,0.002,-0.002
1.475,1.45,1.5,0.024,0.002,-0.002
1.525,1.5,1.55,0.029,0.003,-0.003
1.575,1.55,1.6,0.032,0.003,-0.003
1.625,1.6,1.65,0.037,0.003,-0.003
1.675,1.65,1.7,0.045,0.003,-0.003
1.725,1.7,1.75,0.052,0.004,-0.004
1.775,1.75,1.8,0.059,0.004,-0.004
1.825,1.8,1.85,0.066,0.004,-0.004
1.875,1.85,1.9,0.077,0.004,-0.004
1.925,1.9,1.95,0.084,0.005,-0.005
1.975,1.95,2.0,0.089,0.005,-0.005
2.025,2.0,2.05,0.097,0.005,-0.005
2.075,2.05,2.1,0.103,0.005,-0.005
2.125,2.1,2.15,0.107,0.005,-0.005
2.175,2.15,2.2,0.110,0.005,-0.005
2.225,2.2,2.25,0.115,0.005,-0.005
2.275,2.25,2.3,0.118,0.006,-0.006
2.325,2.3,2.35,0.130,0.006,-0.006
2.375,2.35,2.4,0.145,0.006,-0.006
2.425,2.4,2.45,0.159,0.006,-0.006
2.475,2.45,2.5,0.168,0.007,-0.007
2.525,2.5,2.55,0.179,0.007,-0.007
2.575,2.55,2.6,0.194,0.007,-0.007
2.625,2.6,2.65,0.202,0.007,-0.007
2.675,2.65,2.7,0.209,0.007,-0.007
2.725,2.7,2.75,0.220,0.008,-0.008
2.775,2.75,2.8,0.225,0.008,-0.008
2.825,2.8,2.85,0.231,0.008,-0.008
2.875,2.85,2.9,0.240,0.008,-0.008
2.925,2.9,2.95,0.247,0.008,-0.008
2.975,2.95,3.0,0.254,0.008,-0.008
3.025,3.0,3.05,0.260,0.008,-0.008
3.075,3.05,3.1,0.273,0.008,-0.008
3.125,3.1,3.15,0.277,0.008,-0.008
3.175,3.15,3.2,0.281,0.008,-0.008
3.225,3.2,3.25,0.285,0.009,-0.009
3.275,3.25,3.3,0.293,0.009,-0.009
3.325,3.3,3.35,0.292,0.009,-0.009
3.375,3.35,3.4,0.297,0.009,-0.009
3.425,3.4,3.45,0.298,0.009,-0.009
3.475,3.45,3.5,0.304,0.009,-0.009
3.525,3.5,3.55,0.307,0.009,-0.009
3.575,3.55,3.6,0.308,0.009,-0.009
3.625,3.6,3.65,0.308,0.009,-0.009
3.675,3.65,3.7,0.314,0.009,-0.009
3.725,3.7,3.75,0.312,0.009,-0.009
3.775,3.75,3.8,0.311,0.009,-0.009
3.825,3.8,3.85,0.316,0.009,-0.009
3.875,3.85,3.9,0.317,0.009,-0.009
3.925,3.9,3.95,0.317,0.009,-0.009
3.975,3.95,4.0,0.315,0.009,-0.009

#: SQRT(S) [GEV],,,13000.0
DISTANCE R [M],DISTANCE R [M] LOW,DISTANCE R [M] HIGH,(STOP U D)+,error +,error -
0.025,0.0,0.05,0.042,0.003,-0.003
0.075,0.05,0.1,0.042,0.003,-0.003
0.125,0.1,0.15,0.042,0.003,-0.003
0.175,0.15,0.2,0.042,0.003,-0.003
0.225,0.2,0.25,0.042,0.003,-0.003
0.275,0.25,0.3,0.042,0.003,-0.003
0.325,0.3,0.35,0.042,0.003,-0.003
0.375,0.35,0.4,0.042,0.003,-0.003
0.425,0.4,0.45,0.042,0.003,-0.003
0.475,0.45,0.5,0.042,0.003,-0.003
0.525,0.5,0.55,0.042,0.003,-0.003
0.575,0.55,0.6,0.043,0.003,-0.003
0.625,0.6,0.65,0.043,0.003,-0.003
0.675,0.65,0.7,0.043,0.003,-0.003
0.725,0.7,0.75,0.043,0.003,-0.003
0.775,0.75,0.8,0.043,0.003,-0.003
0.825,0.8,0.85,0.043,0.003,-0.003
0.875,0.85,0.9,0.044,0.003,-0.003
0.925,0.9,0.95,0.044,0.003,-0.003
0.975,0.95,1.0,0.044,0.003,-0.003
1.025,1.0,1.05,0.045,0.003,-0.003
1.075,1.05,1.1,0.046,0.003,-0.003
1.125,1.1,1.15,0.046,0.003,-0.003
1.175,1.15,1.2,0.047,0.003,-0.003
1.225,1.2,1.25,0.048,0.004,-0.004
1.275,1.25,1.3,0.051,0.004,-0.004
1.325,1.3,1.35,0.051,0.004,-0.004
1.375,1.35,1.4,0.053,0.004,-0.004
1.425,1.4,1.45,0.055,0.004,-0.004
1.475,1.45,1.5,0.060,0.004,-0.004
1.525,1.5,1.55,0.068,0.004,-0.004
1.575,1.55,1.6,0.076,0.004,-0.004
1.625,1.6,1.65,0.083,0.005,-0.005
1.675,1.65,1.7,0.090,0.005,-0.005
1.725,1.7,1.75,0.098,0.005,-0.005
1.775,1.75,1.8,0.110,0.005,-0.005
1.825,1.8,1.85,0.117,0.005,-0.005
1.875,1.85,1.9,0.123,0.006,-0.006
1.925,1.9,1.95,0.128,0.006,-0.006
1.975,1.95,2.0,0.136,0.006,-0.006
2.025,2.0,2.05,0.141,0.006,-0.006
2.075,2.05,2.1,0.146,0.006,-0.006
2.125,2.1,2.15,0.149,0.006,-0.006
2.175,2.15,2.2,0.155,0.006,-0.006
2.225,2.2,2.25,0.159,0.006,-0.006
2.275,2.25,2.3,0.166,0.007,-0.007
2.325,2.3,2.35,0.180,0.007,-0.007
2.375,2.35,2.4,0.195,0.007,-0.007
2.425,2.4,2.45,0.207,0.007,-0.007
2.475,2.45,2.5,0.217,0.007,-0.007
2.525,2.5,2.55,0.227,0.008,-0.008
2.575,2.55,2.6,0.237,0.008,-0.008
2.625,2.6,2.65,0.245,0.008,-0.008
2.675,2.65,2.7,0.258,0.008,-0.008
2.725,2.7,2.75,0.262,0.008,-0.008
2.775,2.75,2.8,0.269,0.008,-0.008
2.825,2.8,2.85,0.272,0.008,-0.008
2.875,2.85,2.9,0.274,0.008,-0.008
2.925,2.9,2.95,0.278,0.008,-0.008
2.975,2.95,3.0,0.275,0.008,-0.008
3.025,3.0,3.05,0.280,0.008,-0.008
3.075,3.05,3.1,0.279,0.008,-0.008
3.125,3.1,3.15,0.282,0.009,-0.009
3.175,3.15,3.2,0.291,0.009,-0.009
3.225,3.2,3.25,0.294,0.009,-0.009
3.275,3.25,3.3,0.290,0.009,-0.009
3.325,3.3,3.35,0.297,0.009,-0.009
3.375,3.35,3.4,0.297,0.009,-0.009
3.425,3.4,3.45,0.300,0.009,-0.009
3.475,3.45,3.5,0.301,0.009,-0.009
3.525,3.5,3.55,0.305,0.009,-0.009
3.575,3.55,3.6,0.302,0.009,-0.009
3.625,3.6,3.65,0.314,0.009,-0.009
3.675,3.65,3.7,0.314,0.009,-0.009
3.725,3.7,3.75,0.323,0.009,-0.009
3.775,3.75,3.8,0.329,0.009,-0.009
3.825,3.8,3.85,0.330,0.009,-0.009
3.875,3.85,3.9,0.331,0.009,-0.009
3.925,3.9,3.95,0.334,0.009,-0.009
3.975,3.95,4.0,0.335,0.009,-0.009

#: SQRT(S) [GEV],,,13000.0
DISTANCE R [M],DISTANCE R [M] LOW,DISTANCE R [M] HIGH,(STOP U U)++,error +,error -
0.025,0.0,0.05,0.003,0.001,-0.001
0.075,0.05,0.1,0.003,0.001,-0.001
0.125,0.1,0.15,0.003,0.001,-0.001
0.175,0.15,0.2,0.003,0.001,-0.001
0.225,0.2,0.25,0.003,0.001,-0.001
0.275,0.25,0.3,0.003,0.001,-0.001
0.325,0.3,0.35,0.003,0.001,-0.001
0.375,0.35,0.4,0.003,0.001,-0.001
0.425,0.4,0.45,0.003,0.001,-0.001
0.475,0.45,0.5,0.003,0.001,-0.001
0.525,0.5,0.55,0.003,0.001,-0.001
0.575,0.55,0.6,0.003,0.001,-0.001
0.625,0.6,0.65,0.003,0.001,-0.001
0.675,0.65,0.7,0.003,0.001,-0.001
0.725,0.7,0.75,0.003,0.001,-0.001
0.775,0.75,0.8,0.003,0.001,-0.001
0.825,0.8,0.85,0.003,0.001,-0.001
0.875,0.85,0.9,0.004,0.001,-0.001
0.925,0.9,0.95,0.004,0.001,-0.001
0.975,0.95,1.0,0.004,0.001,-0.001
1.025,1.0,1.05,0.004,0.001,-0.001
1.075,1.05,1.1,0.004,0.001,-0.001
1.125,1.1,1.15,0.005,0.001,-0.001
1.175,1.15,1.2,0.005,0.001,-0.001
1.225,1.2,1.25,0.006,0.001,-0.001
1.275,1.25,1.3,0.009,0.002,-0.002
1.325,1.3,1.35,0.009,0.002,-0.002
1.375,1.35,1.4,0.011,0.002,-0.002
1.425,1.4,1.45,0.013,0.002,-0.002
1.475,1.45,1.5,0.015,0.002,-0.002
1.525,1.5,1.55,0.021,0.002,-0.002
1.575,1.55,1.6,0.023,0.002,-0.002
1.625,1.6,1.65,0.028,0.003,-0.003
1.675,1.65,1.7,0.034,0.003,-0.003
1.725,1.7,1.75,0.038,0.003,-0.003
1.775,1.75,1.8,0.046,0.003,-0.003
1.825,1.8,1.85,0.053,0.004,-0.004
1.875,1.85,1.9,0.062,0.004,-0.004
1.925,1.9,1.95,0.068,0.004,-0.004
1.975,1.95,2.0,0.077,0.004,-0.004
2.025,2.0,2.05,0.078,0.004,-0.004
2.075,2.05,2.1,0.081,0.005,-0.005
2.125,2.1,2.15,0.085,0.005,-0.005
2.175,2.15,2.2,0.087,0.005,-0.005
2.225,2.2,2.25,0.090,0.005,-0.005
2.275,2.25,2.3,0.092,0.005,-0.005
2.325,2.3,2.35,0.103,0.005,-0.005
2.375,2.35,2.4,0.108,0.005,-0.005
2.425,2.4,2.45,0.114,0.005,-0.005
2.475,2.45,2.5,0.122,0.006,-0.006
2.525,2.5,2.55,0.129,0.006,-0.006
2.575,2.55,2.6,0.137,0.006,-0.006
2.625,2.6,2.65,0.145,0.006,-0.006
2.675,2.65,2.7,0.149,0.006,-0.006
2.725,2.7,2.75,0.156,0.006,-0.006
2.775,2.75,2.8,0.163,0.006,-0.006
2.825,2.8,2.85,0.170,0.007,-0.007
2.875,2.85,2.9,0.179,0.007,-0.007
2.925,2.9,2.95,0.182,0.007,-0.007
2.975,2.95,3.0,0.188,0.007,-0.007
3.025,3.0,3.05,0.193,0.007,-0.007
3.075,3.05,3.1,0.198,0.007,-0.007
3.125,3.1,3.15,0.207,0.007,-0.007
3.175,3.15,3.2,0.207,0.007,-0.007
3.225,3.2,3.25,0.210,0.007,-0.007
3.275,3.25,3.3,0.217,0.007,-0.007
3.325,3.3,3.35,0.221,0.008,-0.008
3.375,3.35,3.4,0.225,0.008,-0.008
3.425,3.4,3.45,0.229,0.008,-0.008
3.475,3.45,3.5,0.228,0.008,-0.008
3.525,3.5,3.55,0.229,0.008,-0.008
3.575,3.55,3.6,0.238,0.008,-0.008
3.625,3.6,3.65,0.233,0.008,-0.008
3.675,3.65,3.7,0.234,0.008,-0.008
3.725,3.7,3.75,0.235,0.008,-0.008
3.775,3.75,3.8,0.236,0.008,-0.008
3.825,3.8,3.85,0.238,0.008,-0.008
3.875,3.85,3.9,0.240,0.008,-0.008
3.925,3.9,3.95,0.242,0.008,-0.008
3.975,3.95,4.0,0.244,0.008,-0.008

