#: table_doi: 10.17182/hepdata.86565.v1/t21
#: name: Table 20
#: description: Flavor composition of 800 GeV stop R-hadrons simulated using the Regge model as a function of radial distance from the interaction point.
#: data_file: data20.yaml
#: data_license:   
#: keyword reactions: P P --> STOP+ STOP-
#: keyword observables: RATIO
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY | LLP
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],,,13000.0
DISTANCE R [M],DISTANCE R [M] LOW,DISTANCE R [M] HIGH,(STOP DBAR)+,error +,error -
3.475,3.45,3.5,0.339,0.009,-0.009
3.525,3.5,3.55,0.337,0.009,-0.009
3.575,3.55,3.6,0.334,0.009,-0.009
3.625,3.6,3.65,0.326,0.009,-0.009
3.675,3.65,3.7,0.321,0.009,-0.009
3.725,3.7,3.75,0.319,0.009,-0.009
3.775,3.75,3.8,0.316,0.009,-0.009
3.825,3.8,3.85,0.313,0.009,-0.009
3.875,3.85,3.9,0.312,0.009,-0.009
3.925,3.9,3.95,0.306,0.009,-0.009
3.975,3.95,4.0,0.303,0.009,-0.009

#: SQRT(S) [GEV],,,13000.0
DISTANCE R [M],DISTANCE R [M] LOW,DISTANCE R [M] HIGH,(STOP U D)+,error +,error -
0.025,0.0,0.05,0.046,0.003,-0.003
0.075,0.05,0.1,0.046,0.003,-0.003
0.125,0.1,0.15,0.046,0.003,-0.003
0.175,0.15,0.2,0.046,0.003,-0.003
0.225,0.2,0.25,0.046,0.003,-0.003
0.275,0.25,0.3,0.046,0.003,-0.003
0.325,0.3,0.35,0.046,0.003,-0.003
0.375,0.35,0.4,0.047,0.003,-0.003
0.425,0.4,0.45,0.047,0.003,-0.003
0.475,0.45,0.5,0.047,0.003,-0.003
0.525,0.5,0.55,0.047,0.003,-0.003
0.575,0.55,0.6,0.047,0.003,-0.003
0.625,0.6,0.65,0.047,0.003,-0.003
0.675,0.65,0.7,0.047,0.003,-0.003
0.725,0.7,0.75,0.047,0.003,-0.003
0.775,0.75,0.8,0.047,0.003,-0.003
0.825,0.8,0.85,0.047,0.003,-0.003
0.875,0.85,0.9,0.047,0.003,-0.003
0.925,0.9,0.95,0.047,0.003,-0.003
0.975,0.95,1.0,0.047,0.003,-0.003
1.025,1.0,1.05,0.047,0.003,-0.003
1.075,1.05,1.1,0.047,0.003,-0.003
1.125,1.1,1.15,0.048,0.004,-0.004
1.175,1.15,1.2,0.048,0.004,-0.004
1.225,1.2,1.25,0.048,0.004,-0.004
1.275,1.25,1.3,0.048,0.004,-0.004
1.325,1.3,1.35,0.048,0.004,-0.004
1.375,1.35,1.4,0.048,0.004,-0.004
1.425,1.4,1.45,0.050,0.004,-0.004
1.475,1.45,1.5,0.052,0.004,-0.004
1.525,1.5,1.55,0.054,0.004,-0.004
1.575,1.55,1.6,0.056,0.004,-0.004
1.625,1.6,1.65,0.059,0.004,-0.004
1.675,1.65,1.7,0.064,0.004,-0.004
1.725,1.7,1.75,0.066,0.004,-0.004
1.775,1.75,1.8,0.070,0.004,-0.004
1.825,1.8,1.85,0.076,0.004,-0.004
1.875,1.85,1.9,0.080,0.005,-0.005
1.925,1.9,1.95,0.085,0.005,-0.005
1.975,1.95,2.0,0.088,0.005,-0.005
2.025,2.0,2.05,0.093,0.005,-0.005
2.075,2.05,2.1,0.096,0.005,-0.005
2.125,2.1,2.15,0.100,0.005,-0.005
2.175,2.15,2.2,0.103,0.005,-0.005
2.225,2.2,2.25,0.105,0.005,-0.005
2.275,2.25,2.3,0.109,0.005,-0.005
2.325,2.3,2.35,0.119,0.006,-0.006
2.375,2.35,2.4,0.131,0.006,-0.006
2.425,2.4,2.45,0.142,0.006,-0.006
2.475,2.45,2.5,0.150,0.006,-0.006
2.525,2.5,2.55,0.160,0.006,-0.006
2.575,2.55,2.6,0.167,0.007,-0.007
2.625,2.6,2.65,0.176,0.007,-0.007
2.675,2.65,2.7,0.187,0.007,-0.007
2.725,2.7,2.75,0.199,0.007,-0.007
2.775,2.75,2.8,0.210,0.007,-0.007
2.825,2.8,2.85,0.217,0.007,-0.007
2.875,2.85,2.9,0.225,0.008,-0.008
2.925,2.9,2.95,0.232,0.008,-0.008
2.975,2.95,3.0,0.241,0.008,-0.008
3.025,3.0,3.05,0.249,0.008,-0.008
3.075,3.05,3.1,0.258,0.008,-0.008
3.125,3.1,3.15,0.268,0.008,-0.008
3.175,3.15,3.2,0.277,0.008,-0.008
3.225,3.2,3.25,0.286,0.009,-0.009
3.275,3.25,3.3,0.292,0.009,-0.009
3.325,3.3,3.35,0.300,0.009,-0.009
3.375,3.35,3.4,0.307,0.009,-0.009
3.425,3.4,3.45,0.315,0.009,-0.009
3.475,3.45,3.5,0.323,0.009,-0.009
3.525,3.5,3.55,0.330,0.009,-0.009
3.575,3.55,3.6,0.339,0.009,-0.009
3.625,3.6,3.65,0.346,0.009,-0.009
3.675,3.65,3.7,0.355,0.010,-0.010
3.725,3.7,3.75,0.360,0.010,-0.010
3.775,3.75,3.8,0.370,0.010,-0.010
3.825,3.8,3.85,0.377,0.010,-0.010
3.875,3.85,3.9,0.386,0.010,-0.010
3.925,3.9,3.95,0.396,0.010,-0.010
3.975,3.95,4.0,0.399,0.010,-0.010

