#Data digitized from
#http://cms-results.web.cern.ch/cms-results/public-results/publications/EXO-19-001/CMS-EXO-19-001_Figure_003.pdf
#using PDFLimitReader
#      mass (GeV)        width (GeV)                eff
     1.1000000e+03     3.2122132e-17     7.0711055e-02
     1.3000000e+03     3.2122132e-17     9.8468356e-02
     1.6500000e+03     3.2122132e-17     1.3712375e-01
     2.3500000e+03     3.2122132e-17     1.9095396e-01
     1.0000000e+03     2.9771750e-17     5.0777502e-02
     1.1500000e+03     2.9771750e-17     7.0711055e-02
     1.4100000e+03     2.9771750e-17     9.8468356e-02
     1.8000000e+03     2.9771750e-17     1.3712375e-01
     2.5500000e+03     2.9771750e-17     1.9095396e-01
     1.0000000e+03     2.7593346e-17     5.0777502e-02
     1.1500000e+03     2.7593346e-17     7.0711055e-02
     1.4100000e+03     2.7593346e-17     9.8468356e-02
     1.8000000e+03     2.7593346e-17     1.3712375e-01
     2.5500000e+03     2.7593346e-17     1.9095396e-01
     1.0000000e+03     2.5574336e-17     3.6463247e-02
     1.0500000e+03     2.5574336e-17     5.0777502e-02
     1.2000000e+03     2.5574336e-17     7.0711055e-02
     1.5100000e+03     2.5574336e-17     9.8468356e-02
     1.9600000e+03     2.5574336e-17     1.3712375e-01
     2.9000000e+03     2.5574336e-17     1.9095396e-01
     1.0000000e+03     2.3703057e-17     3.6463247e-02
     1.0500000e+03     2.3703057e-17     5.0777502e-02
     1.2000000e+03     2.3703057e-17     7.0711055e-02
     1.5100000e+03     2.3703057e-17     9.8468356e-02
     1.9600000e+03     2.3703057e-17     1.3712375e-01
     2.9000000e+03     2.3703057e-17     1.9095396e-01
     1.0000000e+03     2.1968700e-17     3.6463247e-02
     1.1000000e+03     2.1968700e-17     5.0777502e-02
     1.3000000e+03     2.1968700e-17     7.0711055e-02
     1.6000000e+03     2.1968700e-17     9.8468356e-02
     2.2000000e+03     2.1968700e-17     1.3712375e-01
     1.0000000e+03     2.0361246e-17     3.6463247e-02
     1.1000000e+03     2.0361246e-17     5.0777502e-02
     1.3000000e+03     2.0361246e-17     7.0711055e-02
     1.6000000e+03     2.0361246e-17     9.8468356e-02
     2.2000000e+03     2.0361246e-17     1.3712375e-01
     1.0000000e+03     1.8871410e-17     3.6463247e-02
     1.1500000e+03     1.8871410e-17     5.0777502e-02
     1.3600000e+03     1.8871410e-17     7.0711055e-02
     1.7500000e+03     1.8871410e-17     9.8468356e-02
     2.4600000e+03     1.8871410e-17     1.3712375e-01
     1.0000000e+03     1.7490586e-17     3.6463247e-02
     1.1500000e+03     1.7490586e-17     5.0777502e-02
     1.3600000e+03     1.7490586e-17     7.0711055e-02
     1.7500000e+03     1.7490586e-17     9.8468356e-02
     2.4600000e+03     1.7490586e-17     1.3712375e-01
     1.0000000e+03     1.6210797e-17     2.6184203e-02
     1.0500000e+03     1.6210797e-17     3.6463247e-02
     1.2000000e+03     1.6210797e-17     5.0777502e-02
     1.4600000e+03     1.6210797e-17     7.0711055e-02
     1.8500000e+03     1.6210797e-17     9.8468356e-02
     2.6500000e+03     1.6210797e-17     1.3712375e-01
     1.0000000e+03     1.5024650e-17     2.6184203e-02
     1.0500000e+03     1.5024650e-17     3.6463247e-02
     1.2500000e+03     1.5024650e-17     5.0777502e-02
     1.5100000e+03     1.5024650e-17     7.0711055e-02
     2.0600000e+03     1.5024650e-17     9.8468356e-02
     1.0000000e+03     1.3925294e-17     2.6184203e-02
     1.0500000e+03     1.3925294e-17     3.6463247e-02
     1.2500000e+03     1.3925294e-17     5.0777502e-02
     1.5100000e+03     1.3925294e-17     7.0711055e-02
     2.0600000e+03     1.3925294e-17     9.8468356e-02
     1.0000000e+03     1.2906377e-17     2.6184203e-02
     1.1000000e+03     1.2906377e-17     3.6463247e-02
     1.3000000e+03     1.2906377e-17     5.0777502e-02
     1.6500000e+03     1.2906377e-17     7.0711055e-02
     2.2500000e+03     1.2906377e-17     9.8468356e-02
     1.0000000e+03     1.1962015e-17     2.6184203e-02
     1.1000000e+03     1.1962015e-17     3.6463247e-02
     1.3000000e+03     1.1962015e-17     5.0777502e-02
     1.6500000e+03     1.1962015e-17     7.0711055e-02
     2.2500000e+03     1.1962015e-17     9.8468356e-02
     1.0000000e+03     1.1086753e-17     2.6184203e-02
     1.1500000e+03     1.1086753e-17     3.6463247e-02
     1.4100000e+03     1.1086753e-17     5.0777502e-02
     1.8000000e+03     1.1086753e-17     7.0711055e-02
     2.5100000e+03     1.1086753e-17     9.8468356e-02
     1.0000000e+03     1.0275533e-17     2.6184203e-02
     1.1500000e+03     1.0275533e-17     3.6463247e-02
     1.4100000e+03     1.0275533e-17     5.0777502e-02
     1.8000000e+03     1.0275533e-17     7.0711055e-02
     2.5100000e+03     1.0275533e-17     9.8468356e-02
     1.0000000e+03     9.5236705e-18     1.8803123e-02
     1.0500000e+03     9.5236705e-18     2.6184203e-02
     1.2000000e+03     9.5236705e-18     3.6463247e-02
     1.5100000e+03     9.5236705e-18     5.0777502e-02
     2.0100000e+03     9.5236705e-18     7.0711055e-02
     2.9000000e+03     9.5236705e-18     9.8468356e-02
     1.0000000e+03     8.8268218e-18     1.8803123e-02
     1.0500000e+03     8.8268218e-18     2.6184203e-02
     1.2000000e+03     8.8268218e-18     3.6463247e-02
     1.5100000e+03     8.8268218e-18     5.0777502e-02
     2.0100000e+03     8.8268218e-18     7.0711055e-02
     2.9000000e+03     8.8268218e-18     9.8468356e-02
     1.0000000e+03     8.1809617e-18     1.8803123e-02
     1.1000000e+03     8.1809617e-18     2.6184203e-02
     1.3600000e+03     8.1809617e-18     3.6463247e-02
     1.6500000e+03     8.1809617e-18     5.0777502e-02
     2.3000000e+03     8.1809617e-18     7.0711055e-02
     1.0000000e+03     7.5823593e-18     1.8803123e-02
     1.1000000e+03     7.5823593e-18     2.6184203e-02
     1.3600000e+03     7.5823593e-18     3.6463247e-02
     1.6500000e+03     7.5823593e-18     5.0777502e-02
     2.3000000e+03     7.5823593e-18     7.0711055e-02
     1.0000000e+03     7.0275567e-18     1.3502494e-02
     1.0500000e+03     7.0275567e-18     1.8803123e-02
     1.2000000e+03     7.0275567e-18     2.6184203e-02
     1.4600000e+03     7.0275567e-18     3.6463247e-02
     1.9100000e+03     7.0275567e-18     5.0777502e-02
     2.6500000e+03     7.0275567e-18     7.0711055e-02
     1.0000000e+03     6.5133492e-18     1.3502494e-02
     1.0500000e+03     6.5133492e-18     1.8803123e-02
     1.2000000e+03     6.5133492e-18     2.6184203e-02
     1.4600000e+03     6.5133492e-18     3.6463247e-02
     1.9100000e+03     6.5133492e-18     5.0777502e-02
     2.6500000e+03     6.5133492e-18     7.0711055e-02
     1.0000000e+03     6.0367663e-18     1.3502494e-02
     1.1000000e+03     6.0367663e-18     1.8803123e-02
     1.3000000e+03     6.0367663e-18     2.6184203e-02
     1.5600000e+03     6.0367663e-18     3.6463247e-02
     2.0600000e+03     6.0367663e-18     5.0777502e-02
     1.0000000e+03     5.5950550e-18     1.3502494e-02
     1.1000000e+03     5.5950550e-18     1.8803123e-02
     1.3000000e+03     5.5950550e-18     2.6184203e-02
     1.5600000e+03     5.5950550e-18     3.6463247e-02
     2.0600000e+03     5.5950550e-18     5.0777502e-02
     1.0000000e+03     5.1856638e-18     1.3502494e-02
     1.1500000e+03     5.1856638e-18     1.8803123e-02
     1.3600000e+03     5.1856638e-18     2.6184203e-02
     1.6500000e+03     5.1856638e-18     3.6463247e-02
     2.3000000e+03     5.1856638e-18     5.0777502e-02
     1.0000000e+03     4.8062279e-18     1.3502494e-02
     1.1500000e+03     4.8062279e-18     1.8803123e-02
     1.3600000e+03     4.8062279e-18     2.6184203e-02
     1.6500000e+03     4.8062279e-18     3.6463247e-02
     2.3000000e+03     4.8062279e-18     5.0777502e-02
     1.0000000e+03     4.4545554e-18     9.6961354e-03
     1.0500000e+03     4.4545554e-18     1.3502494e-02
     1.2000000e+03     4.4545554e-18     1.8803123e-02
     1.4100000e+03     4.4545554e-18     2.6184203e-02
     1.7500000e+03     4.4545554e-18     3.6463247e-02
     2.4600000e+03     4.4545554e-18     5.0777502e-02
     1.0000000e+03     4.1286148e-18     9.6961354e-03
     1.0500000e+03     4.1286148e-18     1.3502494e-02
     1.2000000e+03     4.1286148e-18     1.8803123e-02
     1.4100000e+03     4.1286148e-18     2.6184203e-02
     1.7500000e+03     4.1286148e-18     3.6463247e-02
     2.4600000e+03     4.1286148e-18     5.0777502e-02
     1.0000000e+03     3.8265233e-18     9.6961354e-03
     1.0500000e+03     3.8265233e-18     1.3502494e-02
     1.2500000e+03     3.8265233e-18     1.8803123e-02
     1.5100000e+03     3.8265233e-18     2.6184203e-02
     2.0100000e+03     3.8265233e-18     3.6463247e-02
     2.8000000e+03     3.8265233e-18     5.0777502e-02
     1.0000000e+03     3.5465359e-18     9.6961354e-03
     1.0500000e+03     3.5465359e-18     1.3502494e-02
     1.2500000e+03     3.5465359e-18     1.8803123e-02
     1.5100000e+03     3.5465359e-18     2.6184203e-02
     2.0100000e+03     3.5465359e-18     3.6463247e-02
     2.8000000e+03     3.5465359e-18     5.0777502e-02
     1.0000000e+03     3.2870352e-18     9.6961354e-03
     1.1500000e+03     3.2870352e-18     1.3502494e-02
     1.3600000e+03     3.2870352e-18     1.8803123e-02
     1.6000000e+03     3.2870352e-18     2.6184203e-02
     2.2500000e+03     3.2870352e-18     3.6463247e-02
     1.0000000e+03     3.0465223e-18     9.6961354e-03
     1.1500000e+03     3.0465223e-18     1.3502494e-02
     1.3600000e+03     3.0465223e-18     1.8803123e-02
     1.6000000e+03     3.0465223e-18     2.6184203e-02
     2.2500000e+03     3.0465223e-18     3.6463247e-02
     1.0000000e+03     2.8236077e-18     9.6961354e-03
     1.2000000e+03     2.8236077e-18     1.3502494e-02
     1.4100000e+03     2.8236077e-18     1.8803123e-02
     1.8500000e+03     2.8236077e-18     2.6184203e-02
     2.6000000e+03     2.8236077e-18     3.6463247e-02
     1.0000000e+03     2.6170038e-18     6.9628014e-03
     1.1000000e+03     2.6170038e-18     9.6961354e-03
     1.3000000e+03     2.6170038e-18     1.3502494e-02
     1.5600000e+03     2.6170038e-18     1.8803123e-02
     2.2000000e+03     2.6170038e-18     2.6184203e-02
     1.0000000e+03     2.4255172e-18     6.9628014e-03
     1.1000000e+03     2.4255172e-18     9.6961354e-03
     1.3000000e+03     2.4255172e-18     1.3502494e-02
     1.5600000e+03     2.4255172e-18     1.8803123e-02
     2.2000000e+03     2.4255172e-18     2.6184203e-02
     1.0000000e+03     2.2480417e-18     5.0000000e-03
     1.0500000e+03     2.2480417e-18     6.9628014e-03
     1.2000000e+03     2.2480417e-18     9.6961354e-03
     1.4100000e+03     2.2480417e-18     1.3502494e-02
     1.9100000e+03     2.2480417e-18     1.8803123e-02
     2.6000000e+03     2.2480417e-18     2.6184203e-02
     1.0000000e+03     2.0835521e-18     5.0000000e-03
     1.0500000e+03     2.0835521e-18     6.9628014e-03
     1.2000000e+03     2.0835521e-18     9.6961354e-03
     1.4100000e+03     2.0835521e-18     1.3502494e-02
     1.9100000e+03     2.0835521e-18     1.8803123e-02
     2.6000000e+03     2.0835521e-18     2.6184203e-02
