txName: T2tt
constraint: [[['t']],[['t']]]
condition: None
conditionDescription: None
susyProcess: pp --> stop stop, stop  --> top lsp
figureUrl: http://cms-results.web.cern.ch/cms-results/public-results/superseded/SUS-16-050/CMS-PAS-SUS-16-050_Figure_007.png
dataUrl: http://cms-results.web.cern.ch/cms-results/public-results/superseded/SUS-16-050/CMS-PAS-SUS-16-050_Figure_007.root
source: CMS
validated: True
axes: [[x, y], [x, y]]
upperLimits: [[[[2.1250E+02*GeV,0.0000E+00*GeV],[2.1250E+02*GeV,0.0000E+00*GeV]],2.7152E+02*pb],
[[[2.8750E+02*GeV,3.7500E+01*GeV],[2.8750E+02*GeV,3.7500E+01*GeV]],2.2997E+00*pb],
[[[2.8750E+02*GeV,5.0000E+01*GeV],[2.8750E+02*GeV,5.0000E+01*GeV]],2.6489E+00*pb],
[[[2.8750E+02*GeV,6.2500E+01*GeV],[2.8750E+02*GeV,6.2500E+01*GeV]],2.9360E+00*pb],
[[[2.8750E+02*GeV,7.5000E+01*GeV],[2.8750E+02*GeV,7.5000E+01*GeV]],5.9193E+00*pb],
[[[3.0000E+02*GeV,0.0000E+00*GeV],[3.0000E+02*GeV,0.0000E+00*GeV]],1.2629E+00*pb],
[[[3.0000E+02*GeV,1.2500E+01*GeV],[3.0000E+02*GeV,1.2500E+01*GeV]],1.3322E+00*pb],
[[[3.0000E+02*GeV,2.5000E+01*GeV],[3.0000E+02*GeV,2.5000E+01*GeV]],1.2357E+00*pb],
[[[3.0000E+02*GeV,3.7500E+01*GeV],[3.0000E+02*GeV,3.7500E+01*GeV]],1.5040E+00*pb],
[[[3.0000E+02*GeV,5.0000E+01*GeV],[3.0000E+02*GeV,5.0000E+01*GeV]],1.4724E+00*pb],
[[[3.0000E+02*GeV,6.2500E+01*GeV],[3.0000E+02*GeV,6.2500E+01*GeV]],1.9086E+00*pb],
[[[3.0000E+02*GeV,7.5000E+01*GeV],[3.0000E+02*GeV,7.5000E+01*GeV]],1.9843E+00*pb],
[[[3.0000E+02*GeV,8.7500E+01*GeV],[3.0000E+02*GeV,8.7500E+01*GeV]],3.6864E+00*pb],
[[[3.1250E+02*GeV,0.0000E+00*GeV],[3.1250E+02*GeV,0.0000E+00*GeV]],1.0262E+00*pb],
[[[3.1250E+02*GeV,1.2500E+01*GeV],[3.1250E+02*GeV,1.2500E+01*GeV]],1.0174E+00*pb],
[[[3.1250E+02*GeV,2.5000E+01*GeV],[3.1250E+02*GeV,2.5000E+01*GeV]],1.0083E+00*pb],
[[[3.1250E+02*GeV,3.7500E+01*GeV],[3.1250E+02*GeV,3.7500E+01*GeV]],1.0082E+00*pb],
[[[3.1250E+02*GeV,5.0000E+01*GeV],[3.1250E+02*GeV,5.0000E+01*GeV]],1.1258E+00*pb],
[[[3.1250E+02*GeV,6.2500E+01*GeV],[3.1250E+02*GeV,6.2500E+01*GeV]],1.2418E+00*pb],
[[[3.1250E+02*GeV,7.5000E+01*GeV],[3.1250E+02*GeV,7.5000E+01*GeV]],1.4624E+00*pb],
[[[3.1250E+02*GeV,8.7500E+01*GeV],[3.1250E+02*GeV,8.7500E+01*GeV]],1.6126E+00*pb],
[[[3.1250E+02*GeV,1.0000E+02*GeV],[3.1250E+02*GeV,1.0000E+02*GeV]],2.4436E+00*pb],
[[[3.1250E+02*GeV,1.2500E+02*GeV],[3.1250E+02*GeV,1.2500E+02*GeV]],4.2792E+00*pb],
[[[3.1250E+02*GeV,1.3750E+02*GeV],[3.1250E+02*GeV,1.3750E+02*GeV]],5.3379E+00*pb],
[[[3.2500E+02*GeV,0.0000E+00*GeV],[3.2500E+02*GeV,0.0000E+00*GeV]],7.9840E-01*pb],
[[[3.2500E+02*GeV,1.2500E+01*GeV],[3.2500E+02*GeV,1.2500E+01*GeV]],8.0557E-01*pb],
[[[3.2500E+02*GeV,2.5000E+01*GeV],[3.2500E+02*GeV,2.5000E+01*GeV]],7.7177E-01*pb],
[[[3.2500E+02*GeV,3.7500E+01*GeV],[3.2500E+02*GeV,3.7500E+01*GeV]],7.9676E-01*pb],
[[[3.2500E+02*GeV,5.0000E+01*GeV],[3.2500E+02*GeV,5.0000E+01*GeV]],7.8074E-01*pb],
[[[3.2500E+02*GeV,6.2500E+01*GeV],[3.2500E+02*GeV,6.2500E+01*GeV]],9.2514E-01*pb],
[[[3.2500E+02*GeV,7.5000E+01*GeV],[3.2500E+02*GeV,7.5000E+01*GeV]],1.0111E+00*pb],
[[[3.2500E+02*GeV,8.7500E+01*GeV],[3.2500E+02*GeV,8.7500E+01*GeV]],1.1890E+00*pb],
[[[3.2500E+02*GeV,1.0000E+02*GeV],[3.2500E+02*GeV,1.0000E+02*GeV]],1.2409E+00*pb],
[[[3.2500E+02*GeV,1.1250E+02*GeV],[3.2500E+02*GeV,1.1250E+02*GeV]],2.1275E+00*pb],
[[[3.2500E+02*GeV,1.2500E+02*GeV],[3.2500E+02*GeV,1.2500E+02*GeV]],2.8253E+00*pb],
[[[3.2500E+02*GeV,1.3750E+02*GeV],[3.2500E+02*GeV,1.3750E+02*GeV]],3.8128E+00*pb],
[[[3.2500E+02*GeV,1.5000E+02*GeV],[3.2500E+02*GeV,1.5000E+02*GeV]],4.9708E+00*pb],
[[[3.3750E+02*GeV,0.0000E+00*GeV],[3.3750E+02*GeV,0.0000E+00*GeV]],5.9788E-01*pb],
[[[3.3750E+02*GeV,1.2500E+01*GeV],[3.3750E+02*GeV,1.2500E+01*GeV]],6.3477E-01*pb],
[[[3.3750E+02*GeV,2.5000E+01*GeV],[3.3750E+02*GeV,2.5000E+01*GeV]],6.2600E-01*pb],
[[[3.3750E+02*GeV,3.7500E+01*GeV],[3.3750E+02*GeV,3.7500E+01*GeV]],6.2633E-01*pb],
[[[3.3750E+02*GeV,5.0000E+01*GeV],[3.3750E+02*GeV,5.0000E+01*GeV]],6.3874E-01*pb],
[[[3.3750E+02*GeV,6.2500E+01*GeV],[3.3750E+02*GeV,6.2500E+01*GeV]],6.6698E-01*pb],
[[[3.3750E+02*GeV,7.5000E+01*GeV],[3.3750E+02*GeV,7.5000E+01*GeV]],7.8072E-01*pb],
[[[3.3750E+02*GeV,8.7500E+01*GeV],[3.3750E+02*GeV,8.7500E+01*GeV]],8.9159E-01*pb],
[[[3.3750E+02*GeV,1.0000E+02*GeV],[3.3750E+02*GeV,1.0000E+02*GeV]],1.0249E+00*pb],
[[[3.3750E+02*GeV,1.1250E+02*GeV],[3.3750E+02*GeV,1.1250E+02*GeV]],1.1951E+00*pb],
[[[3.3750E+02*GeV,1.2500E+02*GeV],[3.3750E+02*GeV,1.2500E+02*GeV]],1.8217E+00*pb],
[[[3.3750E+02*GeV,1.3750E+02*GeV],[3.3750E+02*GeV,1.3750E+02*GeV]],2.1172E+00*pb],
[[[3.3750E+02*GeV,1.5000E+02*GeV],[3.3750E+02*GeV,1.5000E+02*GeV]],3.0661E+00*pb],
[[[3.3750E+02*GeV,1.6250E+02*GeV],[3.3750E+02*GeV,1.6250E+02*GeV]],3.7674E+00*pb],
[[[3.5000E+02*GeV,0.0000E+00*GeV],[3.5000E+02*GeV,0.0000E+00*GeV]],3.6049E-01*pb],
[[[3.5000E+02*GeV,1.2500E+01*GeV],[3.5000E+02*GeV,1.2500E+01*GeV]],4.4558E-01*pb],
[[[3.5000E+02*GeV,2.5000E+01*GeV],[3.5000E+02*GeV,2.5000E+01*GeV]],4.7113E-01*pb],
[[[3.5000E+02*GeV,3.7500E+01*GeV],[3.5000E+02*GeV,3.7500E+01*GeV]],4.9294E-01*pb],
[[[3.5000E+02*GeV,5.0000E+01*GeV],[3.5000E+02*GeV,5.0000E+01*GeV]],4.8090E-01*pb],
[[[3.5000E+02*GeV,6.2500E+01*GeV],[3.5000E+02*GeV,6.2500E+01*GeV]],5.2642E-01*pb],
[[[3.5000E+02*GeV,7.5000E+01*GeV],[3.5000E+02*GeV,7.5000E+01*GeV]],5.5322E-01*pb],
[[[3.5000E+02*GeV,8.7500E+01*GeV],[3.5000E+02*GeV,8.7500E+01*GeV]],6.8237E-01*pb],
[[[3.5000E+02*GeV,1.0000E+02*GeV],[3.5000E+02*GeV,1.0000E+02*GeV]],7.7209E-01*pb],
[[[3.5000E+02*GeV,1.1250E+02*GeV],[3.5000E+02*GeV,1.1250E+02*GeV]],9.6532E-01*pb],
[[[3.5000E+02*GeV,1.2500E+02*GeV],[3.5000E+02*GeV,1.2500E+02*GeV]],1.1492E+00*pb],
[[[3.5000E+02*GeV,1.3750E+02*GeV],[3.5000E+02*GeV,1.3750E+02*GeV]],1.4171E+00*pb],
[[[3.5000E+02*GeV,1.5000E+02*GeV],[3.5000E+02*GeV,1.5000E+02*GeV]],1.4090E+00*pb],
[[[3.5000E+02*GeV,1.6250E+02*GeV],[3.5000E+02*GeV,1.6250E+02*GeV]],2.2576E+00*pb],
[[[3.5000E+02*GeV,1.7500E+02*GeV],[3.5000E+02*GeV,1.7500E+02*GeV]],2.5639E+00*pb],
[[[3.6250E+02*GeV,0.0000E+00*GeV],[3.6250E+02*GeV,0.0000E+00*GeV]],3.1415E-01*pb],
[[[3.6250E+02*GeV,1.2500E+01*GeV],[3.6250E+02*GeV,1.2500E+01*GeV]],3.1593E-01*pb],
[[[3.6250E+02*GeV,2.5000E+01*GeV],[3.6250E+02*GeV,2.5000E+01*GeV]],3.6296E-01*pb],
[[[3.6250E+02*GeV,3.7500E+01*GeV],[3.6250E+02*GeV,3.7500E+01*GeV]],3.9342E-01*pb],
[[[3.6250E+02*GeV,5.0000E+01*GeV],[3.6250E+02*GeV,5.0000E+01*GeV]],3.9865E-01*pb],
[[[3.6250E+02*GeV,6.2500E+01*GeV],[3.6250E+02*GeV,6.2500E+01*GeV]],4.0459E-01*pb],
[[[3.6250E+02*GeV,7.5000E+01*GeV],[3.6250E+02*GeV,7.5000E+01*GeV]],4.4967E-01*pb],
[[[3.6250E+02*GeV,8.7500E+01*GeV],[3.6250E+02*GeV,8.7500E+01*GeV]],5.1257E-01*pb],
[[[3.6250E+02*GeV,1.0000E+02*GeV],[3.6250E+02*GeV,1.0000E+02*GeV]],6.2537E-01*pb],
[[[3.6250E+02*GeV,1.1250E+02*GeV],[3.6250E+02*GeV,1.1250E+02*GeV]],7.4488E-01*pb],
[[[3.6250E+02*GeV,1.2500E+02*GeV],[3.6250E+02*GeV,1.2500E+02*GeV]],9.0123E-01*pb],
[[[3.6250E+02*GeV,1.3750E+02*GeV],[3.6250E+02*GeV,1.3750E+02*GeV]],9.9313E-01*pb],
[[[3.6250E+02*GeV,1.5000E+02*GeV],[3.6250E+02*GeV,1.5000E+02*GeV]],1.1323E+00*pb],
[[[3.6250E+02*GeV,1.6250E+02*GeV],[3.6250E+02*GeV,1.6250E+02*GeV]],1.2900E+00*pb],
[[[3.6250E+02*GeV,1.7500E+02*GeV],[3.6250E+02*GeV,1.7500E+02*GeV]],1.8713E+00*pb],
[[[3.6250E+02*GeV,1.8750E+02*GeV],[3.6250E+02*GeV,1.8750E+02*GeV]],2.4602E+00*pb],
[[[3.7500E+02*GeV,0.0000E+00*GeV],[3.7500E+02*GeV,0.0000E+00*GeV]],2.6605E-01*pb],
[[[3.7500E+02*GeV,1.2500E+01*GeV],[3.7500E+02*GeV,1.2500E+01*GeV]],2.7007E-01*pb],
[[[3.7500E+02*GeV,2.5000E+01*GeV],[3.7500E+02*GeV,2.5000E+01*GeV]],2.7137E-01*pb],
[[[3.7500E+02*GeV,3.7500E+01*GeV],[3.7500E+02*GeV,3.7500E+01*GeV]],3.0182E-01*pb],
[[[3.7500E+02*GeV,5.0000E+01*GeV],[3.7500E+02*GeV,5.0000E+01*GeV]],3.1570E-01*pb],
[[[3.7500E+02*GeV,6.2500E+01*GeV],[3.7500E+02*GeV,6.2500E+01*GeV]],3.2973E-01*pb],
[[[3.7500E+02*GeV,7.5000E+01*GeV],[3.7500E+02*GeV,7.5000E+01*GeV]],3.2828E-01*pb],
[[[3.7500E+02*GeV,8.7500E+01*GeV],[3.7500E+02*GeV,8.7500E+01*GeV]],3.9832E-01*pb],
[[[3.7500E+02*GeV,1.0000E+02*GeV],[3.7500E+02*GeV,1.0000E+02*GeV]],4.7192E-01*pb],
[[[3.7500E+02*GeV,1.1250E+02*GeV],[3.7500E+02*GeV,1.1250E+02*GeV]],5.8716E-01*pb],
[[[3.7500E+02*GeV,1.2500E+02*GeV],[3.7500E+02*GeV,1.2500E+02*GeV]],7.1767E-01*pb],
[[[3.7500E+02*GeV,1.3750E+02*GeV],[3.7500E+02*GeV,1.3750E+02*GeV]],7.9781E-01*pb],
[[[3.7500E+02*GeV,1.5000E+02*GeV],[3.7500E+02*GeV,1.5000E+02*GeV]],8.3702E-01*pb],
[[[3.7500E+02*GeV,1.6250E+02*GeV],[3.7500E+02*GeV,1.6250E+02*GeV]],1.0296E+00*pb],
[[[3.7500E+02*GeV,1.7500E+02*GeV],[3.7500E+02*GeV,1.7500E+02*GeV]],1.1711E+00*pb],
[[[3.7500E+02*GeV,1.8750E+02*GeV],[3.7500E+02*GeV,1.8750E+02*GeV]],1.7905E+00*pb],
[[[3.7500E+02*GeV,2.0000E+02*GeV],[3.7500E+02*GeV,2.0000E+02*GeV]],2.3565E+00*pb],
[[[3.8750E+02*GeV,0.0000E+00*GeV],[3.8750E+02*GeV,0.0000E+00*GeV]],2.1976E-01*pb],
[[[3.8750E+02*GeV,1.2500E+01*GeV],[3.8750E+02*GeV,1.2500E+01*GeV]],2.2696E-01*pb],
[[[3.8750E+02*GeV,2.5000E+01*GeV],[3.8750E+02*GeV,2.5000E+01*GeV]],2.2825E-01*pb],
[[[3.8750E+02*GeV,3.7500E+01*GeV],[3.8750E+02*GeV,3.7500E+01*GeV]],2.2681E-01*pb],
[[[3.8750E+02*GeV,5.0000E+01*GeV],[3.8750E+02*GeV,5.0000E+01*GeV]],2.4877E-01*pb],
[[[3.8750E+02*GeV,6.2500E+01*GeV],[3.8750E+02*GeV,6.2500E+01*GeV]],2.7033E-01*pb],
[[[3.8750E+02*GeV,7.5000E+01*GeV],[3.8750E+02*GeV,7.5000E+01*GeV]],2.7602E-01*pb],
[[[3.8750E+02*GeV,8.7500E+01*GeV],[3.8750E+02*GeV,8.7500E+01*GeV]],2.8050E-01*pb],
[[[3.8750E+02*GeV,1.0000E+02*GeV],[3.8750E+02*GeV,1.0000E+02*GeV]],3.4983E-01*pb],
[[[3.8750E+02*GeV,1.1250E+02*GeV],[3.8750E+02*GeV,1.1250E+02*GeV]],4.1417E-01*pb],
[[[3.8750E+02*GeV,1.2500E+02*GeV],[3.8750E+02*GeV,1.2500E+02*GeV]],5.3292E-01*pb],
[[[3.8750E+02*GeV,1.3750E+02*GeV],[3.8750E+02*GeV,1.3750E+02*GeV]],6.4341E-01*pb],
[[[3.8750E+02*GeV,1.5000E+02*GeV],[3.8750E+02*GeV,1.5000E+02*GeV]],7.1746E-01*pb],
[[[3.8750E+02*GeV,1.6250E+02*GeV],[3.8750E+02*GeV,1.6250E+02*GeV]],8.2027E-01*pb],
[[[3.8750E+02*GeV,1.7500E+02*GeV],[3.8750E+02*GeV,1.7500E+02*GeV]],9.9231E-01*pb],
[[[3.8750E+02*GeV,1.8750E+02*GeV],[3.8750E+02*GeV,1.8750E+02*GeV]],1.1744E+00*pb],
[[[3.8750E+02*GeV,2.0000E+02*GeV],[3.8750E+02*GeV,2.0000E+02*GeV]],1.6413E+00*pb],
[[[3.8750E+02*GeV,2.1250E+02*GeV],[3.8750E+02*GeV,2.1250E+02*GeV]],1.8566E+00*pb],
[[[4.0000E+02*GeV,0.0000E+00*GeV],[4.0000E+02*GeV,0.0000E+00*GeV]],1.6628E-01*pb],
[[[4.0000E+02*GeV,1.2500E+01*GeV],[4.0000E+02*GeV,1.2500E+01*GeV]],1.8251E-01*pb],
[[[4.0000E+02*GeV,2.5000E+01*GeV],[4.0000E+02*GeV,2.5000E+01*GeV]],1.8787E-01*pb],
[[[4.0000E+02*GeV,3.7500E+01*GeV],[4.0000E+02*GeV,3.7500E+01*GeV]],1.9044E-01*pb],
[[[4.0000E+02*GeV,5.0000E+01*GeV],[4.0000E+02*GeV,5.0000E+01*GeV]],1.8225E-01*pb],
[[[4.0000E+02*GeV,6.2500E+01*GeV],[4.0000E+02*GeV,6.2500E+01*GeV]],2.1175E-01*pb],
[[[4.0000E+02*GeV,7.5000E+01*GeV],[4.0000E+02*GeV,7.5000E+01*GeV]],2.2497E-01*pb],
[[[4.0000E+02*GeV,8.7500E+01*GeV],[4.0000E+02*GeV,8.7500E+01*GeV]],2.3500E-01*pb],
[[[4.0000E+02*GeV,1.0000E+02*GeV],[4.0000E+02*GeV,1.0000E+02*GeV]],2.3272E-01*pb],
[[[4.0000E+02*GeV,1.1250E+02*GeV],[4.0000E+02*GeV,1.1250E+02*GeV]],3.0421E-01*pb],
[[[4.0000E+02*GeV,1.2500E+02*GeV],[4.0000E+02*GeV,1.2500E+02*GeV]],3.5643E-01*pb],
[[[4.0000E+02*GeV,1.3750E+02*GeV],[4.0000E+02*GeV,1.3750E+02*GeV]],4.7184E-01*pb],
[[[4.0000E+02*GeV,1.5000E+02*GeV],[4.0000E+02*GeV,1.5000E+02*GeV]],5.6915E-01*pb],
[[[4.0000E+02*GeV,1.6250E+02*GeV],[4.0000E+02*GeV,1.6250E+02*GeV]],6.8426E-01*pb],
[[[4.0000E+02*GeV,1.7500E+02*GeV],[4.0000E+02*GeV,1.7500E+02*GeV]],8.0352E-01*pb],
[[[4.0000E+02*GeV,1.8750E+02*GeV],[4.0000E+02*GeV,1.8750E+02*GeV]],9.7067E-01*pb],
[[[4.0000E+02*GeV,2.0000E+02*GeV],[4.0000E+02*GeV,2.0000E+02*GeV]],1.1778E+00*pb],
[[[4.0000E+02*GeV,2.1250E+02*GeV],[4.0000E+02*GeV,2.1250E+02*GeV]],1.3466E+00*pb],
[[[4.0000E+02*GeV,2.2500E+02*GeV],[4.0000E+02*GeV,2.2500E+02*GeV]],1.3567E+00*pb],
[[[4.1250E+02*GeV,0.0000E+00*GeV],[4.1250E+02*GeV,0.0000E+00*GeV]],1.4819E-01*pb],
[[[4.1250E+02*GeV,1.2500E+01*GeV],[4.1250E+02*GeV,1.2500E+01*GeV]],1.4892E-01*pb],
[[[4.1250E+02*GeV,2.5000E+01*GeV],[4.1250E+02*GeV,2.5000E+01*GeV]],1.5829E-01*pb],
[[[4.1250E+02*GeV,3.7500E+01*GeV],[4.1250E+02*GeV,3.7500E+01*GeV]],1.6484E-01*pb],
[[[4.1250E+02*GeV,5.0000E+01*GeV],[4.1250E+02*GeV,5.0000E+01*GeV]],1.6458E-01*pb],
[[[4.1250E+02*GeV,6.2500E+01*GeV],[4.1250E+02*GeV,6.2500E+01*GeV]],1.6943E-01*pb],
[[[4.1250E+02*GeV,7.5000E+01*GeV],[4.1250E+02*GeV,7.5000E+01*GeV]],1.8820E-01*pb],
[[[4.1250E+02*GeV,8.7500E+01*GeV],[4.1250E+02*GeV,8.7500E+01*GeV]],2.0180E-01*pb],
[[[4.1250E+02*GeV,1.0000E+02*GeV],[4.1250E+02*GeV,1.0000E+02*GeV]],2.0667E-01*pb],
[[[4.1250E+02*GeV,1.1250E+02*GeV],[4.1250E+02*GeV,1.1250E+02*GeV]],2.1349E-01*pb],
[[[4.1250E+02*GeV,1.2500E+02*GeV],[4.1250E+02*GeV,1.2500E+02*GeV]],2.7064E-01*pb],
[[[4.1250E+02*GeV,1.3750E+02*GeV],[4.1250E+02*GeV,1.3750E+02*GeV]],3.1837E-01*pb],
[[[4.1250E+02*GeV,1.5000E+02*GeV],[4.1250E+02*GeV,1.5000E+02*GeV]],4.2798E-01*pb],
[[[4.1250E+02*GeV,1.6250E+02*GeV],[4.1250E+02*GeV,1.6250E+02*GeV]],5.4409E-01*pb],
[[[4.1250E+02*GeV,1.7500E+02*GeV],[4.1250E+02*GeV,1.7500E+02*GeV]],6.4841E-01*pb],
[[[4.1250E+02*GeV,1.8750E+02*GeV],[4.1250E+02*GeV,1.8750E+02*GeV]],7.2700E-01*pb],
[[[4.1250E+02*GeV,2.0000E+02*GeV],[4.1250E+02*GeV,2.0000E+02*GeV]],8.8766E-01*pb],
[[[4.1250E+02*GeV,2.1250E+02*GeV],[4.1250E+02*GeV,2.1250E+02*GeV]],9.9544E-01*pb],
[[[4.1250E+02*GeV,2.2500E+02*GeV],[4.1250E+02*GeV,2.2500E+02*GeV]],1.0793E+00*pb],
[[[4.1250E+02*GeV,2.3750E+02*GeV],[4.1250E+02*GeV,2.3750E+02*GeV]],1.1517E+00*pb],
[[[4.2500E+02*GeV,0.0000E+00*GeV],[4.2500E+02*GeV,0.0000E+00*GeV]],1.2937E-01*pb],
[[[4.2500E+02*GeV,1.2500E+01*GeV],[4.2500E+02*GeV,1.2500E+01*GeV]],1.3090E-01*pb],
[[[4.2500E+02*GeV,2.5000E+01*GeV],[4.2500E+02*GeV,2.5000E+01*GeV]],1.3155E-01*pb],
[[[4.2500E+02*GeV,3.7500E+01*GeV],[4.2500E+02*GeV,3.7500E+01*GeV]],1.3810E-01*pb],
[[[4.2500E+02*GeV,5.0000E+01*GeV],[4.2500E+02*GeV,5.0000E+01*GeV]],1.4181E-01*pb],
[[[4.2500E+02*GeV,6.2500E+01*GeV],[4.2500E+02*GeV,6.2500E+01*GeV]],1.4922E-01*pb],
[[[4.2500E+02*GeV,7.5000E+01*GeV],[4.2500E+02*GeV,7.5000E+01*GeV]],1.5661E-01*pb],
[[[4.2500E+02*GeV,8.7500E+01*GeV],[4.2500E+02*GeV,8.7500E+01*GeV]],1.7021E-01*pb],
[[[4.2500E+02*GeV,1.0000E+02*GeV],[4.2500E+02*GeV,1.0000E+02*GeV]],1.7864E-01*pb],
[[[4.2500E+02*GeV,1.1250E+02*GeV],[4.2500E+02*GeV,1.1250E+02*GeV]],1.8814E-01*pb],
[[[4.2500E+02*GeV,1.2500E+02*GeV],[4.2500E+02*GeV,1.2500E+02*GeV]],1.9426E-01*pb],
[[[4.2500E+02*GeV,1.3750E+02*GeV],[4.2500E+02*GeV,1.3750E+02*GeV]],2.4435E-01*pb],
[[[4.2500E+02*GeV,1.5000E+02*GeV],[4.2500E+02*GeV,1.5000E+02*GeV]],2.8031E-01*pb],
[[[4.2500E+02*GeV,1.6250E+02*GeV],[4.2500E+02*GeV,1.6250E+02*GeV]],4.0458E-01*pb],
[[[4.2500E+02*GeV,1.7500E+02*GeV],[4.2500E+02*GeV,1.7500E+02*GeV]],5.1904E-01*pb],
[[[4.2500E+02*GeV,1.8750E+02*GeV],[4.2500E+02*GeV,1.8750E+02*GeV]],5.8712E-01*pb],
[[[4.2500E+02*GeV,2.0000E+02*GeV],[4.2500E+02*GeV,2.0000E+02*GeV]],6.5047E-01*pb],
[[[4.2500E+02*GeV,2.1250E+02*GeV],[4.2500E+02*GeV,2.1250E+02*GeV]],7.6318E-01*pb],
[[[4.2500E+02*GeV,2.2500E+02*GeV],[4.2500E+02*GeV,2.2500E+02*GeV]],8.1312E-01*pb],
[[[4.2500E+02*GeV,2.3750E+02*GeV],[4.2500E+02*GeV,2.3750E+02*GeV]],9.0510E-01*pb],
[[[4.2500E+02*GeV,2.5000E+02*GeV],[4.2500E+02*GeV,2.5000E+02*GeV]],9.4678E-01*pb],
[[[4.3750E+02*GeV,0.0000E+00*GeV],[4.3750E+02*GeV,0.0000E+00*GeV]],1.1114E-01*pb],
[[[4.3750E+02*GeV,1.2500E+01*GeV],[4.3750E+02*GeV,1.2500E+01*GeV]],1.1377E-01*pb],
[[[4.3750E+02*GeV,2.5000E+01*GeV],[4.3750E+02*GeV,2.5000E+01*GeV]],1.1442E-01*pb],
[[[4.3750E+02*GeV,3.7500E+01*GeV],[4.3750E+02*GeV,3.7500E+01*GeV]],1.1419E-01*pb],
[[[4.3750E+02*GeV,5.0000E+01*GeV],[4.3750E+02*GeV,5.0000E+01*GeV]],1.2046E-01*pb],
[[[4.3750E+02*GeV,6.2500E+01*GeV],[4.3750E+02*GeV,6.2500E+01*GeV]],1.2903E-01*pb],
[[[4.3750E+02*GeV,7.5000E+01*GeV],[4.3750E+02*GeV,7.5000E+01*GeV]],1.3642E-01*pb],
