#        width_GeV    Gluino_mass_GeV  Observed_limit_fb
     3.6421504e-17      1.2000000e+03      2.5530000e+00
     2.6813770e-17      1.2000000e+03      2.9370000e+00
     2.1946126e-17      1.2000000e+03      3.4270000e+00
     2.6863208e-15      1.3000000e+03      1.7130000e-01
     1.9708695e-15      1.3000000e+03      1.8030000e-01
     1.6453484e-15      1.3000000e+03      1.8540000e-01
     1.0684590e-15      1.3000000e+03      2.1140000e-01
     6.5820000e-16      1.3000000e+03      2.6090000e-01
     4.2516536e-16      1.3000000e+03      3.2500000e-01
     3.1264960e-16      1.3000000e+03      3.6830000e-01
     2.1941074e-16      1.3000000e+03      4.5870000e-01
     1.2449671e-16      1.3000000e+03      7.5860000e-01
     9.1592071e-17      1.3000000e+03      9.3520000e-01
     6.5820000e-17      1.3000000e+03      1.2660000e+00
     7.8544880e-16      1.3000000e+03      2.3630000e-01
     1.6926138e-16      1.3000000e+03      5.7050000e-01
     4.9585863e-17      1.3000000e+03      1.6810000e+00
     6.5820000e-17      2.0000000e+03      8.5360000e-01
     4.9585863e-17      2.0000000e+03      1.1280000e+00
     3.6421504e-17      2.0000000e+03      1.5970000e+00
     2.6813770e-17      2.0000000e+03      1.7250000e+00
     2.1946126e-17      2.0000000e+03      2.1120000e+00
     7.8544880e-16      1.4000000e+03      2.2910000e-01
     6.5820000e-16      1.4000000e+03      2.4790000e-01
     1.0684590e-15      1.8000000e+03      1.8660000e-01
     7.8544880e-16      1.8000000e+03      2.0310000e-01
     6.5820000e-16      1.8000000e+03      2.1440000e-01
     4.2516536e-16      1.8000000e+03      2.6170000e-01
     1.0684590e-15      2.0000000e+03      1.8050000e-01
     7.8544880e-16      2.0000000e+03      1.9770000e-01
     6.5820000e-16      2.0000000e+03      2.0960000e-01
     4.2516536e-16      2.0000000e+03      2.5310000e-01
     1.2449671e-16      1.6000000e+03      5.7210000e-01
     9.1592071e-17      1.6000000e+03      7.4340000e-01
     6.7368655e-17      1.6000000e+03      9.6440000e-01
     4.9585863e-17      1.6000000e+03      1.2510000e+00
     3.6421504e-17      1.6000000e+03      1.5870000e+00
     2.6813770e-17      1.6000000e+03      2.3560000e+00
     2.1946126e-17      1.6000000e+03      2.8450000e+00
     4.2516536e-16      1.7000000e+03      2.6190000e-01
     3.1264960e-16      1.7000000e+03      3.0670000e-01
     2.3006888e-16      1.7000000e+03      3.7660000e-01
     1.6926138e-16      1.7000000e+03      4.6480000e-01
     1.2449671e-16      1.7000000e+03      5.9790000e-01
     9.1592071e-17      1.7000000e+03      7.7130000e-01
     6.7368655e-17      1.7000000e+03      1.0120000e+00
     4.9585863e-17      1.7000000e+03      1.3130000e+00
     3.6421504e-17      1.7000000e+03      1.6760000e+00
     2.6813770e-17      1.7000000e+03      2.5590000e+00
     2.1946126e-17      1.7000000e+03      2.9880000e+00
     3.1264960e-16      1.8000000e+03      3.1310000e-01
     2.3006888e-16      1.8000000e+03      3.8080000e-01
     1.6926138e-16      1.8000000e+03      4.7240000e-01
     1.2449671e-16      1.8000000e+03      7.6190000e-01
     9.1592071e-17      1.8000000e+03      7.8950000e-01
     6.7368655e-17      1.8000000e+03      1.0090000e+00
     4.9585863e-17      1.8000000e+03      1.3430000e+00
     3.6421504e-17      1.8000000e+03      1.6560000e+00
     2.6813770e-17      1.8000000e+03      2.3470000e+00
     2.1946126e-17      1.8000000e+03      2.8100000e+00
     1.2449671e-16      1.9000000e+03      5.3410000e-01
     9.1592071e-17      1.9000000e+03      6.9560000e-01
     6.7368655e-17      1.9000000e+03      9.2180000e-01
     4.9585863e-17      1.9000000e+03      1.2490000e+00
     3.6421504e-17      1.9000000e+03      1.6980000e+00
     2.6813770e-17      1.9000000e+03      1.8280000e+00
     2.1946126e-17      1.9000000e+03      2.1430000e+00
     1.2449671e-16      2.0000000e+03      4.7660000e-01
     9.1592071e-17      2.0000000e+03      6.1490000e-01
     4.3889222e-14      1.2000000e+03      6.9460000e-01
     4.3889222e-14      1.4000000e+03      7.7280000e-01
     4.3889222e-14      1.6000000e+03      6.7150000e-01
     4.3889222e-14      1.8000000e+03      8.2610000e-01
     4.3889222e-14      2.0000000e+03      8.4160000e-01
     3.1358688e-14      1.2000000e+03      4.3690000e-01
     2.2717361e-14      1.2000000e+03      3.1580000e-01
     1.6879434e-14      1.2000000e+03      2.4790000e-01
     1.2426759e-14      1.2000000e+03      2.1060000e-01
     9.1486682e-15      1.2000000e+03      1.9150000e-01
     3.1358688e-14      1.4000000e+03      4.4690000e-01
     2.2717361e-14      1.4000000e+03      3.1340000e-01
     1.6879434e-14      1.4000000e+03      2.4240000e-01
     1.2426759e-14      1.4000000e+03      2.0340000e-01
     9.1486682e-15      1.4000000e+03      1.7930000e-01
     3.1358688e-14      1.6000000e+03      4.2970000e-01
     2.2717361e-14      1.6000000e+03      3.0830000e-01
     1.6879434e-14      1.6000000e+03      2.3750000e-01
     1.2426759e-14      1.6000000e+03      1.9850000e-01
     9.1486682e-15      1.6000000e+03      1.7620000e-01
     3.1358688e-14      1.8000000e+03      4.5450000e-01
     2.2717361e-14      1.8000000e+03      3.1270000e-01
     1.6879434e-14      1.8000000e+03      2.3920000e-01
     1.2426759e-14      1.8000000e+03      1.9690000e-01
     9.1486682e-15      1.8000000e+03      1.7540000e-01
     3.1358688e-14      2.0000000e+03      4.6300000e-01
     2.2717361e-14      2.0000000e+03      3.2190000e-01
     1.6879434e-14      2.0000000e+03      2.4500000e-01
     1.2426759e-14      2.0000000e+03      2.0240000e-01
     9.1486682e-15      2.0000000e+03      1.7430000e-01
     6.7198237e-15      1.2000000e+03      1.8030000e-01
     4.9483212e-15      1.2000000e+03      1.7440000e-01
     3.6362847e-15      1.2000000e+03      1.6980000e-01
     6.7198237e-15      1.4000000e+03      1.7150000e-01
     4.9483212e-15      1.4000000e+03      1.6360000e-01
     3.6362847e-15      1.4000000e+03      1.6500000e-01
     6.7198237e-15      1.6000000e+03      1.6550000e-01
     4.9483212e-15      1.6000000e+03      1.5800000e-01
     3.6362847e-15      1.6000000e+03      1.5260000e-01
     6.7198237e-15      1.8000000e+03      1.6060000e-01
     4.9483212e-15      1.8000000e+03      1.5560000e-01
     3.6362847e-15      1.8000000e+03      1.5500000e-01
     6.7198237e-15      2.0000000e+03      1.5760000e-01
     4.9483212e-15      2.0000000e+03      1.5070000e-01
     3.6362847e-15      2.0000000e+03      1.5010000e-01
     1.2426759e-14      2.2000000e+03      1.9960000e-01
     9.1486682e-15      2.2000000e+03      1.7400000e-01
     6.7198237e-15      2.2000000e+03      1.5860000e-01
     4.9483212e-15      2.2000000e+03      1.5130000e-01
     3.6362847e-15      2.2000000e+03      1.4610000e-01
     1.2449671e-16      2.2000000e+03      4.9780000e-01
     9.1592071e-17      2.2000000e+03      6.4400000e-01
     6.7368655e-17      2.2000000e+03      8.4420000e-01
     4.9585863e-17      2.2000000e+03      1.1560000e+00
     3.6421504e-17      2.2000000e+03      1.5790000e+00
     1.0684590e-15      2.4000000e+03      1.6870000e-01
     7.8544880e-16      2.4000000e+03      1.8250000e-01
     6.5820000e-16      2.4000000e+03      1.9160000e-01
     4.2516536e-16      2.4000000e+03      2.2870000e-01
     1.0684590e-15      2.6000000e+03      1.6050000e-01
     7.8544880e-16      2.6000000e+03      1.7430000e-01
     6.5820000e-16      2.6000000e+03      1.8290000e-01
     4.2516536e-16      2.6000000e+03      2.2030000e-01
     1.2449671e-16      2.6000000e+03      4.5890000e-01
     9.1592071e-17      2.6000000e+03      5.9110000e-01
     6.7368655e-17      2.6000000e+03      7.4160000e-01
     4.9585863e-17      2.6000000e+03      9.9210000e-01
     3.6421504e-17      2.6000000e+03      1.3350000e+00
     2.6813770e-17      2.2000000e+03      1.9510000e+00
     2.1946126e-17      2.2000000e+03      2.3070000e+00
     3.6421504e-17      2.4000000e+03      1.2290000e+00
     2.6813770e-17      2.4000000e+03      1.5950000e+00
     2.1946126e-17      2.4000000e+03      1.8630000e+00
     4.3889222e-14      2.2000000e+03      7.5660000e-01
     3.1358688e-14      2.2000000e+03      5.0930000e-01
     2.2717361e-14      2.2000000e+03      3.3490000e-01
     1.6879434e-14      2.2000000e+03      2.4870000e-01
     9.1486682e-15      2.4000000e+03      1.6610000e-01
     1.2426759e-14      2.4000000e+03      1.9590000e-01
     4.3889222e-14      2.6000000e+03      7.8920000e-01
     9.1486682e-15      2.6000000e+03      1.7110000e-01
     3.1358688e-14      2.6000000e+03      5.5530000e-01
     1.6879434e-14      2.4000000e+03      2.5000000e-01
     1.2426759e-14      2.6000000e+03      2.0170000e-01
     2.2717361e-14      2.6000000e+03      3.6350000e-01
     1.6879434e-14      2.6000000e+03      2.5700000e-01
     2.2717361e-14      2.4000000e+03      3.4150000e-01
     3.1358688e-14      2.4000000e+03      5.1610000e-01
