# mgluino (GeV), width (GeV), limit (pb)
1200.000000,7.85463e-16,0.000246
1200.000000,6.58212e-16,0.000270
1200.000000,4.25173e-16,0.000345
1200.000000,3.12655e-16,0.000389
1200.000000,2.30073e-16,0.000481
1200.000000,1.69264e-16,0.000619
1200.000000,1.24499e-16,0.000803
1200.000000,9.15937e-17,0.001061
1200.000000,6.73699e-17,0.001449
1200.000000,4.95868e-17,0.001879
1200.000000,3.64222e-17,0.002553
1200.000000,2.68143e-17,0.002937
1200.000000,2.19465e-17,0.003427
1200.000000,4.389e-14,0.000695
1200.000000,3.13593e-14,0.000437
1200.000000,2.27178e-14,0.000316
1200.000000,1.68797e-14,0.000248
1200.000000,1.2427e-14,0.000211
1200.000000,9.14883e-15,0.000191
1200.000000,6.71995e-15,0.000180
1200.000000,4.94841e-15,0.000174
1200.000000,3.63635e-15,0.000170
1800.000000,1.06848e-15,0.000187
1800.000000,7.85463e-16,0.000203
1800.000000,6.58212e-16,0.000214
1800.000000,4.25173e-16,0.000262
1800.000000,3.12655e-16,0.000313
1800.000000,2.30073e-16,0.000381
1800.000000,1.69264e-16,0.000472
1800.000000,1.24499e-16,0.000762
1800.000000,9.15937e-17,0.000789
1800.000000,6.73699e-17,0.001009
1800.000000,4.95868e-17,0.001343
1800.000000,3.64222e-17,0.001656
1800.000000,2.68143e-17,0.002347
1800.000000,2.19465e-17,0.002810
1800.000000,4.389e-14,0.000826
1800.000000,3.13593e-14,0.000454
1800.000000,2.27178e-14,0.000313
1800.000000,1.68797e-14,0.000239
1800.000000,1.2427e-14,0.000197
1800.000000,9.14883e-15,0.000175
1800.000000,6.71995e-15,0.000161
1800.000000,4.94841e-15,0.000156
1800.000000,3.63635e-15,0.000155
1700.000000,4.25173e-16,0.000262
1700.000000,3.12655e-16,0.000307
1700.000000,2.30073e-16,0.000377
1700.000000,1.69264e-16,0.000465
1700.000000,1.24499e-16,0.000598
1700.000000,9.15937e-17,0.000771
1700.000000,6.73699e-17,0.001012
1700.000000,4.95868e-17,0.001313
1700.000000,3.64222e-17,0.001676
1700.000000,2.68143e-17,0.002559
1700.000000,2.19465e-17,0.002988
1900.000000,1.24499e-16,0.000534
1900.000000,9.15937e-17,0.000696
1900.000000,6.73699e-17,0.000922
1900.000000,4.95868e-17,0.001249
1900.000000,3.64222e-17,0.001698
1900.000000,2.68143e-17,0.001828
1900.000000,2.19465e-17,0.002143
2200.000000,1.2427e-14,0.000200
2200.000000,9.14883e-15,0.000174
2200.000000,6.71995e-15,0.000159
2200.000000,4.94841e-15,0.000151
2200.000000,3.63635e-15,0.000146
2200.000000,1.24499e-16,0.000498
2200.000000,9.15937e-17,0.000644
2200.000000,6.73699e-17,0.000844
2200.000000,4.95868e-17,0.001156
2200.000000,3.64222e-17,0.001579
2200.000000,2.68143e-17,0.001951
2200.000000,2.19465e-17,0.002307
2200.000000,4.389e-14,0.000757
2200.000000,3.13593e-14,0.000509
2200.000000,2.27178e-14,0.000335
2200.000000,1.68797e-14,0.000249
2400.000000,1.06848e-15,0.000169
2400.000000,7.85463e-16,0.000182
2400.000000,6.58212e-16,0.000192
2400.000000,4.25173e-16,0.000229
2400.000000,3.64222e-17,0.001229
2400.000000,2.68143e-17,0.001595
2400.000000,2.19465e-17,0.001863
2400.000000,9.14883e-15,0.000166
2400.000000,1.2427e-14,0.000196
2400.000000,1.68797e-14,0.000250
2400.000000,2.27178e-14,0.000342
2400.000000,3.13593e-14,0.000516
2600.000000,1.06848e-15,0.000160
2600.000000,7.85463e-16,0.000174
2600.000000,6.58212e-16,0.000183
2600.000000,4.25173e-16,0.000220
2600.000000,1.24499e-16,0.000459
2600.000000,9.15937e-17,0.000591
2600.000000,6.73699e-17,0.000742
2600.000000,4.95868e-17,0.000992
2600.000000,3.64222e-17,0.001335
2600.000000,4.389e-14,0.000789
2600.000000,9.14883e-15,0.000171
2600.000000,3.13593e-14,0.000555
2600.000000,1.2427e-14,0.000202
2600.000000,2.27178e-14,0.000363
2600.000000,1.68797e-14,0.000257
