txName: T6bbWW
conditionDescription: None
condition: None
constraint: [[['b'],['W']],[['b'],['W']]]
dataUrl: https://twiki.cern.ch/twiki/bin/view/CMSPublic/PhysicsResultsSUS13013
validated: None
axes: 2*Eq(mother,x)_Eq(inter0,y)_Eq(lsp,50);2*Eq(mother,x)_Eq(inter0,2.0*y)_Eq(lsp,y);2*Eq(mother,x)_Eq(inter0,1.25*y)_Eq(lsp,y)
publishedData: True
upperLimits: [[[[325.0*GeV, 150.0*GeV, 50*GeV], [325.0*GeV, 150.0*GeV, 50*GeV]], 0.145311*pb],
[[[550.0*GeV, 325.0*GeV, 50*GeV], [550.0*GeV, 325.0*GeV, 50*GeV]], 0.0493916*pb],
[[[550.0*GeV, 350.0*GeV, 50*GeV], [550.0*GeV, 350.0*GeV, 50*GeV]], 0.0495024*pb],
[[[550.0*GeV, 375.0*GeV, 50*GeV], [550.0*GeV, 375.0*GeV, 50*GeV]], 0.0503631*pb],
[[[575.0*GeV, 150.0*GeV, 50*GeV], [575.0*GeV, 150.0*GeV, 50*GeV]], 0.0415785*pb],
[[[575.0*GeV, 175.0*GeV, 50*GeV], [575.0*GeV, 175.0*GeV, 50*GeV]], 0.0439336*pb],
[[[575.0*GeV, 200.0*GeV, 50*GeV], [575.0*GeV, 200.0*GeV, 50*GeV]], 0.0427737*pb],
[[[575.0*GeV, 225.0*GeV, 50*GeV], [575.0*GeV, 225.0*GeV, 50*GeV]], 0.0443758*pb],
[[[575.0*GeV, 250.0*GeV, 50*GeV], [575.0*GeV, 250.0*GeV, 50*GeV]], 0.0436119*pb],
[[[575.0*GeV, 275.0*GeV, 50*GeV], [575.0*GeV, 275.0*GeV, 50*GeV]], 0.0451209*pb],
[[[575.0*GeV, 300.0*GeV, 50*GeV], [575.0*GeV, 300.0*GeV, 50*GeV]], 0.0464332*pb],
[[[575.0*GeV, 325.0*GeV, 50*GeV], [575.0*GeV, 325.0*GeV, 50*GeV]], 0.0474687*pb],
[[[575.0*GeV, 350.0*GeV, 50*GeV], [575.0*GeV, 350.0*GeV, 50*GeV]], 0.0467592*pb],
[[[575.0*GeV, 375.0*GeV, 50*GeV], [575.0*GeV, 375.0*GeV, 50*GeV]], 0.0441484*pb],
[[[575.0*GeV, 400.0*GeV, 50*GeV], [575.0*GeV, 400.0*GeV, 50*GeV]], 0.0449641*pb],
[[[600.0*GeV, 150.0*GeV, 50*GeV], [600.0*GeV, 150.0*GeV, 50*GeV]], 0.0394037*pb],
[[[600.0*GeV, 175.0*GeV, 50*GeV], [600.0*GeV, 175.0*GeV, 50*GeV]], 0.0398985*pb],
[[[600.0*GeV, 200.0*GeV, 50*GeV], [600.0*GeV, 200.0*GeV, 50*GeV]], 0.0398491*pb],
[[[600.0*GeV, 225.0*GeV, 50*GeV], [600.0*GeV, 225.0*GeV, 50*GeV]], 0.041316*pb],
[[[600.0*GeV, 250.0*GeV, 50*GeV], [600.0*GeV, 250.0*GeV, 50*GeV]], 0.0427642*pb],
[[[600.0*GeV, 275.0*GeV, 50*GeV], [600.0*GeV, 275.0*GeV, 50*GeV]], 0.040702*pb],
[[[600.0*GeV, 300.0*GeV, 50*GeV], [600.0*GeV, 300.0*GeV, 50*GeV]], 0.0412316*pb],
[[[600.0*GeV, 325.0*GeV, 50*GeV], [600.0*GeV, 325.0*GeV, 50*GeV]], 0.0381031*pb],
[[[600.0*GeV, 350.0*GeV, 50*GeV], [600.0*GeV, 350.0*GeV, 50*GeV]], 0.0579*pb],
[[[600.0*GeV, 375.0*GeV, 50*GeV], [600.0*GeV, 375.0*GeV, 50*GeV]], 0.0436*pb],
[[[600.0*GeV, 400.0*GeV, 50*GeV], [600.0*GeV, 400.0*GeV, 50*GeV]], 0.0436279*pb],
[[[600.0*GeV, 425.0*GeV, 50*GeV], [600.0*GeV, 425.0*GeV, 50*GeV]], 0.0457155*pb],
[[[625.0*GeV, 150.0*GeV, 50*GeV], [625.0*GeV, 150.0*GeV, 50*GeV]], 0.0388549*pb],
[[[625.0*GeV, 175.0*GeV, 50*GeV], [625.0*GeV, 175.0*GeV, 50*GeV]], 0.036334*pb],
[[[625.0*GeV, 200.0*GeV, 50*GeV], [625.0*GeV, 200.0*GeV, 50*GeV]], 0.0373922*pb],
[[[625.0*GeV, 225.0*GeV, 50*GeV], [625.0*GeV, 225.0*GeV, 50*GeV]], 0.03812*pb],
[[[625.0*GeV, 250.0*GeV, 50*GeV], [625.0*GeV, 250.0*GeV, 50*GeV]], 0.037509*pb],
[[[625.0*GeV, 275.0*GeV, 50*GeV], [625.0*GeV, 275.0*GeV, 50*GeV]], 0.0379407*pb],
[[[625.0*GeV, 300.0*GeV, 50*GeV], [625.0*GeV, 300.0*GeV, 50*GeV]], 0.0400303*pb],
[[[625.0*GeV, 325.0*GeV, 50*GeV], [625.0*GeV, 325.0*GeV, 50*GeV]], 0.0380364*pb],
[[[625.0*GeV, 350.0*GeV, 50*GeV], [625.0*GeV, 350.0*GeV, 50*GeV]], 0.0399866*pb],
[[[625.0*GeV, 375.0*GeV, 50*GeV], [625.0*GeV, 375.0*GeV, 50*GeV]], 0.0390848*pb],
[[[625.0*GeV, 400.0*GeV, 50*GeV], [625.0*GeV, 400.0*GeV, 50*GeV]], 0.0400809*pb],
[[[625.0*GeV, 425.0*GeV, 50*GeV], [625.0*GeV, 425.0*GeV, 50*GeV]], 0.041284*pb],
[[[625.0*GeV, 450.0*GeV, 50*GeV], [625.0*GeV, 450.0*GeV, 50*GeV]], 0.0429339*pb],
[[[650.0*GeV, 150.0*GeV, 50*GeV], [650.0*GeV, 150.0*GeV, 50*GeV]], 0.0387939*pb],
[[[650.0*GeV, 175.0*GeV, 50*GeV], [650.0*GeV, 175.0*GeV, 50*GeV]], 0.0359753*pb],
[[[650.0*GeV, 200.0*GeV, 50*GeV], [650.0*GeV, 200.0*GeV, 50*GeV]], 0.0363405*pb],
[[[650.0*GeV, 225.0*GeV, 50*GeV], [650.0*GeV, 225.0*GeV, 50*GeV]], 0.0354788*pb],
[[[650.0*GeV, 250.0*GeV, 50*GeV], [650.0*GeV, 250.0*GeV, 50*GeV]], 0.0364107*pb],
[[[650.0*GeV, 275.0*GeV, 50*GeV], [650.0*GeV, 275.0*GeV, 50*GeV]], 0.0368104*pb],
[[[650.0*GeV, 300.0*GeV, 50*GeV], [650.0*GeV, 300.0*GeV, 50*GeV]], 0.0357824*pb],
[[[650.0*GeV, 325.0*GeV, 50*GeV], [650.0*GeV, 325.0*GeV, 50*GeV]], 0.0352502*pb],
[[[650.0*GeV, 350.0*GeV, 50*GeV], [650.0*GeV, 350.0*GeV, 50*GeV]], 0.0381156*pb],
[[[650.0*GeV, 375.0*GeV, 50*GeV], [650.0*GeV, 375.0*GeV, 50*GeV]], 0.0370019*pb],
[[[650.0*GeV, 400.0*GeV, 50*GeV], [650.0*GeV, 400.0*GeV, 50*GeV]], 0.0376772*pb],
[[[650.0*GeV, 425.0*GeV, 50*GeV], [650.0*GeV, 425.0*GeV, 50*GeV]], 0.0386457*pb],
[[[650.0*GeV, 450.0*GeV, 50*GeV], [650.0*GeV, 450.0*GeV, 50*GeV]], 0.0399745*pb],
[[[650.0*GeV, 475.0*GeV, 50*GeV], [650.0*GeV, 475.0*GeV, 50*GeV]], 0.0403576*pb],
[[[675.0*GeV, 150.0*GeV, 50*GeV], [675.0*GeV, 150.0*GeV, 50*GeV]], 0.0321085*pb],
[[[675.0*GeV, 175.0*GeV, 50*GeV], [675.0*GeV, 175.0*GeV, 50*GeV]], 0.03418*pb],
[[[675.0*GeV, 200.0*GeV, 50*GeV], [675.0*GeV, 200.0*GeV, 50*GeV]], 0.0340621*pb],
[[[675.0*GeV, 225.0*GeV, 50*GeV], [675.0*GeV, 225.0*GeV, 50*GeV]], 0.0343648*pb],
[[[675.0*GeV, 250.0*GeV, 50*GeV], [675.0*GeV, 250.0*GeV, 50*GeV]], 0.0330907*pb],
[[[675.0*GeV, 275.0*GeV, 50*GeV], [675.0*GeV, 275.0*GeV, 50*GeV]], 0.0348813*pb],
[[[675.0*GeV, 300.0*GeV, 50*GeV], [675.0*GeV, 300.0*GeV, 50*GeV]], 0.0334012*pb],
[[[675.0*GeV, 325.0*GeV, 50*GeV], [675.0*GeV, 325.0*GeV, 50*GeV]], 0.0349812*pb],
[[[675.0*GeV, 350.0*GeV, 50*GeV], [675.0*GeV, 350.0*GeV, 50*GeV]], 0.0353657*pb],
[[[675.0*GeV, 375.0*GeV, 50*GeV], [675.0*GeV, 375.0*GeV, 50*GeV]], 0.0346535*pb],
[[[675.0*GeV, 400.0*GeV, 50*GeV], [675.0*GeV, 400.0*GeV, 50*GeV]], 0.0345013*pb],
[[[675.0*GeV, 425.0*GeV, 50*GeV], [675.0*GeV, 425.0*GeV, 50*GeV]], 0.0343603*pb],
[[[675.0*GeV, 450.0*GeV, 50*GeV], [675.0*GeV, 450.0*GeV, 50*GeV]], 0.0376849*pb],
[[[675.0*GeV, 475.0*GeV, 50*GeV], [675.0*GeV, 475.0*GeV, 50*GeV]], 0.0379644*pb],
[[[675.0*GeV, 500.0*GeV, 50*GeV], [675.0*GeV, 500.0*GeV, 50*GeV]], 0.0402748*pb],
[[[300.0*GeV, 50.0*GeV, 25.0*GeV], [300.0*GeV, 50.0*GeV, 25.0*GeV]], 0.345809*pb],
[[[300.0*GeV, 100.0*GeV, 50.0*GeV], [300.0*GeV, 100.0*GeV, 50.0*GeV]], 0.343898*pb],
[[[300.0*GeV, 150.0*GeV, 75.0*GeV], [300.0*GeV, 150.0*GeV, 75.0*GeV]], 0.361199*pb],
[[[300.0*GeV, 200.0*GeV, 100.0*GeV], [300.0*GeV, 200.0*GeV, 100.0*GeV]], 0.662392*pb],
[[[325.0*GeV, 50.0*GeV, 25.0*GeV], [325.0*GeV, 50.0*GeV, 25.0*GeV]], 0.267982*pb],
[[[325.0*GeV, 100.0*GeV, 50.0*GeV], [325.0*GeV, 100.0*GeV, 50.0*GeV]], 0.283481*pb],
[[[325.0*GeV, 150.0*GeV, 75.0*GeV], [325.0*GeV, 150.0*GeV, 75.0*GeV]], 0.239688*pb],
[[[325.0*GeV, 200.0*GeV, 100.0*GeV], [325.0*GeV, 200.0*GeV, 100.0*GeV]], 0.462861*pb],
[[[350.0*GeV, 50.0*GeV, 25.0*GeV], [350.0*GeV, 50.0*GeV, 25.0*GeV]], 0.183401*pb],
[[[350.0*GeV, 100.0*GeV, 50.0*GeV], [350.0*GeV, 100.0*GeV, 50.0*GeV]], 0.197079*pb],
[[[350.0*GeV, 150.0*GeV, 75.0*GeV], [350.0*GeV, 150.0*GeV, 75.0*GeV]], 0.158816*pb],
[[[350.0*GeV, 200.0*GeV, 100.0*GeV], [350.0*GeV, 200.0*GeV, 100.0*GeV]], 0.249007*pb],
[[[350.0*GeV, 250.0*GeV, 125.0*GeV], [350.0*GeV, 250.0*GeV, 125.0*GeV]], 0.671766*pb],
[[[375.0*GeV, 50.0*GeV, 25.0*GeV], [375.0*GeV, 50.0*GeV, 25.0*GeV]], 0.156342*pb],
[[[375.0*GeV, 100.0*GeV, 50.0*GeV], [375.0*GeV, 100.0*GeV, 50.0*GeV]], 0.143545*pb],
[[[375.0*GeV, 150.0*GeV, 75.0*GeV], [375.0*GeV, 150.0*GeV, 75.0*GeV]], 0.150459*pb],
[[[375.0*GeV, 200.0*GeV, 100.0*GeV], [375.0*GeV, 200.0*GeV, 100.0*GeV]], 0.129169*pb],
[[[375.0*GeV, 250.0*GeV, 125.0*GeV], [375.0*GeV, 250.0*GeV, 125.0*GeV]], 0.319356*pb],
[[[400.0*GeV, 50.0*GeV, 25.0*GeV], [400.0*GeV, 50.0*GeV, 25.0*GeV]], 0.125665*pb],
[[[400.0*GeV, 100.0*GeV, 50.0*GeV], [400.0*GeV, 100.0*GeV, 50.0*GeV]], 0.126796*pb],
[[[400.0*GeV, 150.0*GeV, 75.0*GeV], [400.0*GeV, 150.0*GeV, 75.0*GeV]], 0.126701*pb],
[[[400.0*GeV, 200.0*GeV, 100.0*GeV], [400.0*GeV, 200.0*GeV, 100.0*GeV]], 0.131032*pb],
[[[400.0*GeV, 250.0*GeV, 125.0*GeV], [400.0*GeV, 250.0*GeV, 125.0*GeV]], 0.175871*pb],
[[[400.0*GeV, 300.0*GeV, 150.0*GeV], [400.0*GeV, 300.0*GeV, 150.0*GeV]], 0.457991*pb],
[[[425.0*GeV, 50.0*GeV, 25.0*GeV], [425.0*GeV, 50.0*GeV, 25.0*GeV]], 0.103512*pb],
[[[425.0*GeV, 100.0*GeV, 50.0*GeV], [425.0*GeV, 100.0*GeV, 50.0*GeV]], 0.11324*pb],
[[[425.0*GeV, 150.0*GeV, 75.0*GeV], [425.0*GeV, 150.0*GeV, 75.0*GeV]], 0.0981018*pb],
[[[425.0*GeV, 200.0*GeV, 100.0*GeV], [425.0*GeV, 200.0*GeV, 100.0*GeV]], 0.101918*pb],
[[[425.0*GeV, 250.0*GeV, 125.0*GeV], [425.0*GeV, 250.0*GeV, 125.0*GeV]], 0.105533*pb],
[[[425.0*GeV, 300.0*GeV, 150.0*GeV], [425.0*GeV, 300.0*GeV, 150.0*GeV]], 0.254155*pb],
[[[450.0*GeV, 50.0*GeV, 25.0*GeV], [450.0*GeV, 50.0*GeV, 25.0*GeV]], 0.0833561*pb],
[[[450.0*GeV, 100.0*GeV, 50.0*GeV], [450.0*GeV, 100.0*GeV, 50.0*GeV]], 0.104447*pb],
[[[450.0*GeV, 150.0*GeV, 75.0*GeV], [450.0*GeV, 150.0*GeV, 75.0*GeV]], 0.0906822*pb],
[[[450.0*GeV, 200.0*GeV, 100.0*GeV], [450.0*GeV, 200.0*GeV, 100.0*GeV]], 0.0864973*pb],
[[[450.0*GeV, 250.0*GeV, 125.0*GeV], [450.0*GeV, 250.0*GeV, 125.0*GeV]], 0.0864209*pb],
[[[450.0*GeV, 300.0*GeV, 150.0*GeV], [450.0*GeV, 300.0*GeV, 150.0*GeV]], 0.12488*pb],
[[[450.0*GeV, 350.0*GeV, 175.0*GeV], [450.0*GeV, 350.0*GeV, 175.0*GeV]], 0.265052*pb],
[[[475.0*GeV, 50.0*GeV, 25.0*GeV], [475.0*GeV, 50.0*GeV, 25.0*GeV]], 0.0773502*pb],
[[[475.0*GeV, 100.0*GeV, 50.0*GeV], [475.0*GeV, 100.0*GeV, 50.0*GeV]], 0.0746549*pb],
[[[475.0*GeV, 150.0*GeV, 75.0*GeV], [475.0*GeV, 150.0*GeV, 75.0*GeV]], 0.0765332*pb],
[[[475.0*GeV, 200.0*GeV, 100.0*GeV], [475.0*GeV, 200.0*GeV, 100.0*GeV]], 0.0791559*pb],
[[[475.0*GeV, 250.0*GeV, 125.0*GeV], [475.0*GeV, 250.0*GeV, 125.0*GeV]], 0.0845226*pb],
[[[475.0*GeV, 300.0*GeV, 150.0*GeV], [475.0*GeV, 300.0*GeV, 150.0*GeV]], 0.0840902*pb],
[[[475.0*GeV, 350.0*GeV, 175.0*GeV], [475.0*GeV, 350.0*GeV, 175.0*GeV]], 0.174128*pb],
[[[500.0*GeV, 50.0*GeV, 25.0*GeV], [500.0*GeV, 50.0*GeV, 25.0*GeV]], 0.0648983*pb],
[[[500.0*GeV, 100.0*GeV, 50.0*GeV], [500.0*GeV, 100.0*GeV, 50.0*GeV]], 0.0707745*pb],
[[[500.0*GeV, 150.0*GeV, 75.0*GeV], [500.0*GeV, 150.0*GeV, 75.0*GeV]], 0.0690986*pb],
[[[500.0*GeV, 200.0*GeV, 100.0*GeV], [500.0*GeV, 200.0*GeV, 100.0*GeV]], 0.064522*pb],
[[[500.0*GeV, 250.0*GeV, 125.0*GeV], [500.0*GeV, 250.0*GeV, 125.0*GeV]], 0.0750582*pb],
[[[500.0*GeV, 300.0*GeV, 150.0*GeV], [500.0*GeV, 300.0*GeV, 150.0*GeV]], 0.0771676*pb],
[[[500.0*GeV, 350.0*GeV, 175.0*GeV], [500.0*GeV, 350.0*GeV, 175.0*GeV]], 0.123186*pb],
[[[500.0*GeV, 400.0*GeV, 200.0*GeV], [500.0*GeV, 400.0*GeV, 200.0*GeV]], 0.168894*pb],
[[[525.0*GeV, 50.0*GeV, 25.0*GeV], [525.0*GeV, 50.0*GeV, 25.0*GeV]], 0.0630911*pb],
[[[525.0*GeV, 100.0*GeV, 50.0*GeV], [525.0*GeV, 100.0*GeV, 50.0*GeV]], 0.0623947*pb],
[[[525.0*GeV, 150.0*GeV, 75.0*GeV], [525.0*GeV, 150.0*GeV, 75.0*GeV]], 0.0574962*pb],
[[[525.0*GeV, 200.0*GeV, 100.0*GeV], [525.0*GeV, 200.0*GeV, 100.0*GeV]], 0.0604229*pb],
[[[525.0*GeV, 250.0*GeV, 125.0*GeV], [525.0*GeV, 250.0*GeV, 125.0*GeV]], 0.0642495*pb],
[[[525.0*GeV, 300.0*GeV, 150.0*GeV], [525.0*GeV, 300.0*GeV, 150.0*GeV]], 0.0714055*pb],
[[[525.0*GeV, 350.0*GeV, 175.0*GeV], [525.0*GeV, 350.0*GeV, 175.0*GeV]], 0.0633706*pb],
[[[525.0*GeV, 400.0*GeV, 200.0*GeV], [525.0*GeV, 400.0*GeV, 200.0*GeV]], 0.138956*pb],
[[[550.0*GeV, 50.0*GeV, 25.0*GeV], [550.0*GeV, 50.0*GeV, 25.0*GeV]], 0.0568125*pb],
[[[550.0*GeV, 100.0*GeV, 50.0*GeV], [550.0*GeV, 100.0*GeV, 50.0*GeV]], 0.0587478*pb],
[[[550.0*GeV, 150.0*GeV, 75.0*GeV], [550.0*GeV, 150.0*GeV, 75.0*GeV]], 0.0518846*pb],
[[[550.0*GeV, 200.0*GeV, 100.0*GeV], [550.0*GeV, 200.0*GeV, 100.0*GeV]], 0.0558731*pb],
[[[550.0*GeV, 250.0*GeV, 125.0*GeV], [550.0*GeV, 250.0*GeV, 125.0*GeV]], 0.0570824*pb],
[[[550.0*GeV, 300.0*GeV, 150.0*GeV], [550.0*GeV, 300.0*GeV, 150.0*GeV]], 0.0632364*pb],
[[[550.0*GeV, 350.0*GeV, 175.0*GeV], [550.0*GeV, 350.0*GeV, 175.0*GeV]], 0.067386*pb],
[[[550.0*GeV, 400.0*GeV, 200.0*GeV], [550.0*GeV, 400.0*GeV, 200.0*GeV]], 0.106243*pb],
[[[550.0*GeV, 450.0*GeV, 225.0*GeV], [550.0*GeV, 450.0*GeV, 225.0*GeV]], 0.133947*pb],
[[[575.0*GeV, 50.0*GeV, 25.0*GeV], [575.0*GeV, 50.0*GeV, 25.0*GeV]], 0.0487437*pb],
[[[575.0*GeV, 100.0*GeV, 50.0*GeV], [575.0*GeV, 100.0*GeV, 50.0*GeV]], 0.0496458*pb],
[[[575.0*GeV, 150.0*GeV, 75.0*GeV], [575.0*GeV, 150.0*GeV, 75.0*GeV]], 0.0477317*pb],
[[[575.0*GeV, 200.0*GeV, 100.0*GeV], [575.0*GeV, 200.0*GeV, 100.0*GeV]], 0.0476937*pb],
[[[575.0*GeV, 250.0*GeV, 125.0*GeV], [575.0*GeV, 250.0*GeV, 125.0*GeV]], 0.0517277*pb],
[[[575.0*GeV, 300.0*GeV, 150.0*GeV], [575.0*GeV, 300.0*GeV, 150.0*GeV]], 0.0526813*pb],
[[[575.0*GeV, 350.0*GeV, 175.0*GeV], [575.0*GeV, 350.0*GeV, 175.0*GeV]], 0.0600525*pb],
[[[575.0*GeV, 400.0*GeV, 200.0*GeV], [575.0*GeV, 400.0*GeV, 200.0*GeV]], 0.0572889*pb],
[[[575.0*GeV, 450.0*GeV, 225.0*GeV], [575.0*GeV, 450.0*GeV, 225.0*GeV]], 0.122272*pb],
[[[600.0*GeV, 50.0*GeV, 25.0*GeV], [600.0*GeV, 50.0*GeV, 25.0*GeV]], 0.0426883*pb],
[[[600.0*GeV, 100.0*GeV, 50.0*GeV], [600.0*GeV, 100.0*GeV, 50.0*GeV]], 0.0466361*pb],
[[[600.0*GeV, 150.0*GeV, 75.0*GeV], [600.0*GeV, 150.0*GeV, 75.0*GeV]], 0.0461574*pb],
[[[600.0*GeV, 200.0*GeV, 100.0*GeV], [600.0*GeV, 200.0*GeV, 100.0*GeV]], 0.0478202*pb],
[[[600.0*GeV, 250.0*GeV, 125.0*GeV], [600.0*GeV, 250.0*GeV, 125.0*GeV]], 0.0471531*pb],
[[[600.0*GeV, 300.0*GeV, 150.0*GeV], [600.0*GeV, 300.0*GeV, 150.0*GeV]], 0.052516*pb],
[[[600.0*GeV, 350.0*GeV, 175.0*GeV], [600.0*GeV, 350.0*GeV, 175.0*GeV]], 0.0546982*pb],
[[[600.0*GeV, 400.0*GeV, 200.0*GeV], [600.0*GeV, 400.0*GeV, 200.0*GeV]], 0.0565014*pb],
