#          mHc_GeV            mH0_GeV          width_GeV                eff
     2.0000000e+02      1.9984300e+02      4.3880000e-14      3.6192000e-06
     2.0000000e+02      1.9984300e+02      3.2910000e-14      1.6532000e-05
     2.0000000e+02      1.9984300e+02      2.6328000e-14      4.1001000e-05
     2.0000000e+02      1.9984300e+02      2.1940000e-14      8.6329000e-05
     2.0000000e+02      1.9984300e+02      1.6455000e-14      2.4266000e-04
     2.0000000e+02      1.9984300e+02      1.3164000e-14      4.7193000e-04
     2.0000000e+02      1.9984300e+02      1.0970000e-14      7.5731000e-04
     2.0000000e+02      1.9984300e+02      9.4028571e-15      1.0964000e-03
     2.0000000e+02      1.9984300e+02      8.2275000e-15      1.4544000e-03
     2.0000000e+02      1.9984300e+02      7.3133333e-15      1.8312000e-03
     2.0000000e+02      1.9984300e+02      6.5820000e-15      2.2067000e-03
     2.0000000e+02      1.9984300e+02      4.3880000e-15      3.9079000e-03
     2.0000000e+02      1.9984300e+02      3.2910000e-15      5.1526000e-03
     2.0000000e+02      1.9984300e+02      2.6328000e-15      6.0421000e-03
     2.0000000e+02      1.9984300e+02      2.1940000e-15      6.5979000e-03
     2.0000000e+02      1.9984300e+02      1.6455000e-15      7.1401000e-03
     2.0000000e+02      1.9984300e+02      1.3164000e-15      7.2901000e-03
     2.0000000e+02      1.9984300e+02      1.0970000e-15      7.2176000e-03
     2.0000000e+02      1.9984300e+02      9.4028571e-16      7.0755000e-03
     2.0000000e+02      1.9984300e+02      8.2275000e-16      6.8358000e-03
     2.0000000e+02      1.9984300e+02      7.3133333e-16      6.6238000e-03
     2.0000000e+02      1.9984300e+02      6.5820000e-16      6.3563000e-03
     2.0000000e+02      1.9984300e+02      4.3880000e-16      5.2928000e-03
     2.0000000e+02      1.9984300e+02      3.2910000e-16      4.4616000e-03
     2.0000000e+02      1.9984300e+02      2.6328000e-16      3.8671000e-03
     2.0000000e+02      1.9984300e+02      2.1940000e-16      3.3849000e-03
     2.0000000e+02      1.9984300e+02      1.6455000e-16      2.7308000e-03
     2.0000000e+02      1.9984300e+02      1.3164000e-16      2.2754000e-03
     2.0000000e+02      1.9984300e+02      1.0970000e-16      1.9584000e-03
     2.0000000e+02      1.9984300e+02      9.4028571e-17      1.7065000e-03
     2.0000000e+02      1.9984300e+02      8.2275000e-17      1.5335000e-03
     2.0000000e+02      1.9984300e+02      7.3133333e-17      1.3730000e-03
     2.0000000e+02      1.9984300e+02      6.5820000e-17      1.2510000e-03
     3.0000000e+02      2.9984300e+02      6.5820000e-14      1.1503000e-07
     3.0000000e+02      2.9984300e+02      4.3880000e-14      1.8107000e-06
     3.0000000e+02      2.9984300e+02      3.2910000e-14      8.8647000e-06
     3.0000000e+02      2.9984300e+02      2.6328000e-14      2.7511000e-05
     3.0000000e+02      2.9984300e+02      2.1940000e-14      6.1509000e-05
     3.0000000e+02      2.9984300e+02      1.6455000e-14      1.8770000e-04
     3.0000000e+02      2.9984300e+02      1.3164000e-14      3.9629000e-04
     3.0000000e+02      2.9984300e+02      1.0970000e-14      6.7715000e-04
     3.0000000e+02      2.9984300e+02      9.4028571e-15      1.0254000e-03
     3.0000000e+02      2.9984300e+02      8.2275000e-15      1.4148000e-03
     3.0000000e+02      2.9984300e+02      7.3133333e-15      1.8369000e-03
     3.0000000e+02      2.9984300e+02      6.5820000e-15      2.2799000e-03
     3.0000000e+02      2.9984300e+02      4.3880000e-15      4.4654000e-03
     3.0000000e+02      2.9984300e+02      3.2910000e-15      6.2574000e-03
     3.0000000e+02      2.9984300e+02      2.6328000e-15      7.6015000e-03
     3.0000000e+02      2.9984300e+02      2.1940000e-15      8.5558000e-03
     3.0000000e+02      2.9984300e+02      1.6455000e-15      9.6538000e-03
     3.0000000e+02      2.9984300e+02      1.3164000e-15      1.0098000e-02
     3.0000000e+02      2.9984300e+02      1.0970000e-15      1.0175000e-02
     3.0000000e+02      2.9984300e+02      9.4028571e-16      1.0089000e-02
     3.0000000e+02      2.9984300e+02      8.2275000e-16      9.8618000e-03
     3.0000000e+02      2.9984300e+02      7.3133333e-16      9.5901000e-03
     3.0000000e+02      2.9984300e+02      6.5820000e-16      9.3160000e-03
     3.0000000e+02      2.9984300e+02      4.3880000e-16      7.8889000e-03
     3.0000000e+02      2.9984300e+02      3.2910000e-16      6.7312000e-03
     3.0000000e+02      2.9984300e+02      2.6328000e-16      5.8516000e-03
     3.0000000e+02      2.9984300e+02      2.1940000e-16      5.1680000e-03
     3.0000000e+02      2.9984300e+02      1.6455000e-16      4.1737000e-03
     3.0000000e+02      2.9984300e+02      1.3164000e-16      3.5002000e-03
     3.0000000e+02      2.9984300e+02      1.0970000e-16      3.0081000e-03
     3.0000000e+02      2.9984300e+02      9.4028571e-17      2.6423000e-03
     3.0000000e+02      2.9984300e+02      8.2275000e-17      2.3536000e-03
     3.0000000e+02      2.9984300e+02      7.3133333e-17      2.1268000e-03
     3.0000000e+02      2.9984300e+02      6.5820000e-17      1.9341000e-03
     4.0000000e+02      3.9984300e+02      6.5820000e-14      2.7596000e-08
     4.0000000e+02      3.9984300e+02      4.3880000e-14      6.7014000e-07
     4.0000000e+02      3.9984300e+02      3.2910000e-14      4.5220000e-06
     4.0000000e+02      3.9984300e+02      2.6328000e-14      1.4939000e-05
     4.0000000e+02      3.9984300e+02      2.1940000e-14      3.6733000e-05
     4.0000000e+02      3.9984300e+02      1.6455000e-14      1.2627000e-04
     4.0000000e+02      3.9984300e+02      1.3164000e-14      2.9627000e-04
     4.0000000e+02      3.9984300e+02      1.0970000e-14      5.4504000e-04
     4.0000000e+02      3.9984300e+02      9.4028571e-15      8.6700000e-04
     4.0000000e+02      3.9984300e+02      8.2275000e-15      1.2471000e-03
     4.0000000e+02      3.9984300e+02      7.3133333e-15      1.6771000e-03
     4.0000000e+02      3.9984300e+02      6.5820000e-15      2.1332000e-03
     4.0000000e+02      3.9984300e+02      4.3880000e-15      4.5722000e-03
     4.0000000e+02      3.9984300e+02      3.2910000e-15      6.7549000e-03
     4.0000000e+02      3.9984300e+02      2.6328000e-15      8.4672000e-03
     4.0000000e+02      3.9984300e+02      2.1940000e-15      9.7580000e-03
     4.0000000e+02      3.9984300e+02      1.6455000e-15      1.1354000e-02
     4.0000000e+02      3.9984300e+02      1.3164000e-15      1.2094000e-02
     4.0000000e+02      3.9984300e+02      1.0970000e-15      1.2371000e-02
     4.0000000e+02      3.9984300e+02      9.4028571e-16      1.2375000e-02
     4.0000000e+02      3.9984300e+02      8.2275000e-16      1.2206000e-02
     4.0000000e+02      3.9984300e+02      7.3133333e-16      1.1963000e-02
     4.0000000e+02      3.9984300e+02      6.5820000e-16      1.1662000e-02
     4.0000000e+02      3.9984300e+02      4.3880000e-16      1.0041000e-02
     4.0000000e+02      3.9984300e+02      3.2910000e-16      8.6705000e-03
     4.0000000e+02      3.9984300e+02      2.6328000e-16      7.5741000e-03
     4.0000000e+02      3.9984300e+02      2.1940000e-16      6.7196000e-03
     4.0000000e+02      3.9984300e+02      1.6455000e-16      5.4568000e-03
     4.0000000e+02      3.9984300e+02      1.3164000e-16      4.5875000e-03
     4.0000000e+02      3.9984300e+02      1.0970000e-16      3.9508000e-03
     4.0000000e+02      3.9984300e+02      9.4028571e-17      3.4862000e-03
     4.0000000e+02      3.9984300e+02      8.2275000e-17      3.1064000e-03
     4.0000000e+02      3.9984300e+02      7.3133333e-17      2.8013000e-03
     4.0000000e+02      3.9984300e+02      6.5820000e-17      2.5524000e-03
     5.0000000e+02      4.9984300e+02      6.5820000e-14      2.0323000e-08
     5.0000000e+02      4.9984300e+02      4.3880000e-14      4.9078000e-07
     5.0000000e+02      4.9984300e+02      3.2910000e-14      2.3359000e-06
     5.0000000e+02      4.9984300e+02      2.6328000e-14      9.5378000e-06
     5.0000000e+02      4.9984300e+02      2.1940000e-14      2.4457000e-05
     5.0000000e+02      4.9984300e+02      1.6455000e-14      9.4250000e-05
     5.0000000e+02      4.9984300e+02      1.3164000e-14      2.3338000e-04
     5.0000000e+02      4.9984300e+02      1.0970000e-14      4.4893000e-04
     5.0000000e+02      4.9984300e+02      9.4028571e-15      7.4602000e-04
     5.0000000e+02      4.9984300e+02      8.2275000e-15      1.1065000e-03
     5.0000000e+02      4.9984300e+02      7.3133333e-15      1.5195000e-03
     5.0000000e+02      4.9984300e+02      6.5820000e-15      1.9786000e-03
     5.0000000e+02      4.9984300e+02      4.3880000e-15      4.5311000e-03
     5.0000000e+02      4.9984300e+02      3.2910000e-15      6.9560000e-03
     5.0000000e+02      4.9984300e+02      2.6328000e-15      8.9690000e-03
     5.0000000e+02      4.9984300e+02      2.1940000e-15      1.0525000e-02
     5.0000000e+02      4.9984300e+02      1.6455000e-15      1.2563000e-02
     5.0000000e+02      4.9984300e+02      1.3164000e-15      1.3636000e-02
     5.0000000e+02      4.9984300e+02      1.0970000e-15      1.4105000e-02
     5.0000000e+02      4.9984300e+02      9.4028571e-16      1.4234000e-02
     5.0000000e+02      4.9984300e+02      8.2275000e-16      1.4144000e-02
     5.0000000e+02      4.9984300e+02      7.3133333e-16      1.3923000e-02
     5.0000000e+02      4.9984300e+02      6.5820000e-16      1.3640000e-02
     5.0000000e+02      4.9984300e+02      4.3880000e-16      1.1903000e-02
     5.0000000e+02      4.9984300e+02      3.2910000e-16      1.0336000e-02
     5.0000000e+02      4.9984300e+02      2.6328000e-16      9.0803000e-03
     5.0000000e+02      4.9984300e+02      2.1940000e-16      8.0676000e-03
     5.0000000e+02      4.9984300e+02      1.6455000e-16      6.5744000e-03
     5.0000000e+02      4.9984300e+02      1.3164000e-16      5.5482000e-03
     5.0000000e+02      4.9984300e+02      1.0970000e-16      4.7927000e-03
     5.0000000e+02      4.9984300e+02      9.4028571e-17      4.2210000e-03
     5.0000000e+02      4.9984300e+02      8.2275000e-17      3.7653000e-03
     5.0000000e+02      4.9984300e+02      7.3133333e-17      3.4017000e-03
     5.0000000e+02      4.9984300e+02      6.5820000e-17      3.0998000e-03
     6.0000000e+02      5.9984300e+02      6.5820000e-14      2.3539000e-08
     6.0000000e+02      5.9984300e+02      4.3880000e-14      1.5311000e-07
     6.0000000e+02      5.9984300e+02      3.2910000e-14      1.4744000e-06
     6.0000000e+02      5.9984300e+02      2.6328000e-14      5.3072000e-06
     6.0000000e+02      5.9984300e+02      2.1940000e-14      1.8712000e-05
     6.0000000e+02      5.9984300e+02      1.6455000e-14      7.1200000e-05
     6.0000000e+02      5.9984300e+02      1.3164000e-14      1.9525000e-04
     6.0000000e+02      5.9984300e+02      1.0970000e-14      3.9318000e-04
     6.0000000e+02      5.9984300e+02      9.4028571e-15      6.7895000e-04
     6.0000000e+02      5.9984300e+02      8.2275000e-15      1.0230000e-03
     6.0000000e+02      5.9984300e+02      7.3133333e-15      1.4382000e-03
     6.0000000e+02      5.9984300e+02      6.5820000e-15      1.8933000e-03
     6.0000000e+02      5.9984300e+02      4.3880000e-15      4.6020000e-03
     6.0000000e+02      5.9984300e+02      3.2910000e-15      7.2503000e-03
     6.0000000e+02      5.9984300e+02      2.6328000e-15      9.4978000e-03
     6.0000000e+02      5.9984300e+02      2.1940000e-15      1.1330000e-02
     6.0000000e+02      5.9984300e+02      1.6455000e-15      1.3740000e-02
     6.0000000e+02      5.9984300e+02      1.3164000e-15      1.5094000e-02
     6.0000000e+02      5.9984300e+02      1.0970000e-15      1.5684000e-02
     6.0000000e+02      5.9984300e+02      9.4028571e-16      1.5986000e-02
     6.0000000e+02      5.9984300e+02      8.2275000e-16      1.5993000e-02
     6.0000000e+02      5.9984300e+02      7.3133333e-16      1.5780000e-02
     6.0000000e+02      5.9984300e+02      6.5820000e-16      1.5485000e-02
     6.0000000e+02      5.9984300e+02      4.3880000e-16      1.3665000e-02
     6.0000000e+02      5.9984300e+02      3.2910000e-16      1.1974000e-02
     6.0000000e+02      5.9984300e+02      2.6328000e-16      1.0494000e-02
     6.0000000e+02      5.9984300e+02      2.1940000e-16      9.3822000e-03
     6.0000000e+02      5.9984300e+02      1.6455000e-16      7.6913000e-03
     6.0000000e+02      5.9984300e+02      1.3164000e-16      6.5016000e-03
     6.0000000e+02      5.9984300e+02      1.0970000e-16      5.6079000e-03
     6.0000000e+02      5.9984300e+02      9.4028571e-17      4.9531000e-03
     6.0000000e+02      5.9984300e+02      8.2275000e-17      4.4340000e-03
     6.0000000e+02      5.9984300e+02      7.3133333e-17      4.0179000e-03
     6.0000000e+02      5.9984300e+02      6.5820000e-17      3.6384000e-03
